"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.06.2022","21,915","21,535","21,995","21,410","51,15K","1,05%"
"31.05.2022","21,688","22,150","22,310","21,455","67,95K","-1,09%"
"30.05.2022","21,927","22,057","22,312","21,915","-","-0,58%"
"29.05.2022","22,054","22,093","22,115","22,029","-","-0,38%"
"27.05.2022","22,138","22,035","22,475","21,940","38,41K","0,79%"
"26.05.2022","21,965","21,975","22,075","21,730","29,70K","0,43%"
"25.05.2022","21,870","22,115","22,145","21,725","32,08K","-0,87%"
"24.05.2022","22,063","21,770","22,215","21,645","36,83K","1,57%"
"23.05.2022","21,723","21,780","22,205","21,660","41,17K","-0,38%"
"22.05.2022","21,805","21,818","21,858","21,769","-","0,60%"
"20.05.2022","21,674","21,965","22,080","21,580","34,79K","-1,07%"
"19.05.2022","21,908","21,430","22,010","21,250","41,28K","1,69%"
"18.05.2022","21,544","21,665","21,750","21,365","33,87K","-0,95%"
"17.05.2022","21,750","21,650","21,925","21,520","39,23K","0,92%"
"16.05.2022","21,551","21,105","21,710","20,835","46,63K","1,55%"
"15.05.2022","21,223","21,175","22,164","21,133","-","1,06%"
"13.05.2022","21,001","20,635","21,125","20,420","58,68K","1,10%"
"12.05.2022","20,773","21,555","21,625","20,590","82,00K","-3,72%"
"11.05.2022","21,575","21,210","21,970","21,200","80,77K","0,70%"
"10.05.2022","21,424","21,770","22,085","21,155","78,50K","-1,81%"
"09.05.2022","21,820","22,395","22,395","21,650","80,20K","-2,09%"
"08.05.2022","22,285","22,390","22,419","22,280","-","-0,37%"
"06.05.2022","22,367","22,520","22,665","22,110","59,54K","-0,34%"
"05.05.2022","22,443","23,040","23,345","22,325","71,88K","0,18%"
"04.05.2022","22,402","22,600","23,125","22,220","58,06K","-1,16%"
"03.05.2022","22,665","22,700","22,890","22,440","43,73K","0,36%"
"02.05.2022","22,584","22,785","22,880","22,130","56,21K","-1,06%"
"01.05.2022","22,825","22,797","22,907","22,755","-","-1,13%"
"29.04.2022","23,085","23,230","23,650","22,710","55,33K","-0,41%"
"28.04.2022","23,181","23,365","23,455","22,940","57,59K","-1,29%"
"27.04.2022","23,483","23,650","23,780","23,325","0,67K","-0,38%"
"26.04.2022","23,572","23,790","23,980","23,495","0,39K","-0,53%"
"25.04.2022","23,698","24,180","24,180","23,540","0,18K","-2,03%"
"24.04.2022","24,190","24,275","24,275","24,133","-","-0,37%"
"22.04.2022","24,280","24,640","24,690","24,145","0,52K","-1,53%"
"21.04.2022","24,657","25,300","25,300","24,520","0,33K","-2,55%"
"20.04.2022","25,303","25,210","25,390","25,065","0,15K","-0,48%"
"19.04.2022","25,426","26,045","26,170","25,295","0,22K","-2,88%"
"18.04.2022","26,181","26,110","26,480","26,095","0,18K","0,25%"
"17.04.2022","26,115","25,863","26,115","25,775","-","1,01%"
"15.04.2022","25,855","25,855","25,855","25,855","-","0,47%"
"14.04.2022","25,735","25,950","26,135","25,580","0,06K","-1,25%"
"13.04.2022","26,060","25,620","26,065","25,620","0,14K","1,13%"
"12.04.2022","25,769","25,275","25,830","25,130","0,08K","2,99%"
"11.04.2022","25,022","24,985","25,580","24,860","0,20K","0,50%"
"10.04.2022","24,898","24,920","24,980","24,885","-","0,13%"
"08.04.2022","24,866","24,795","24,960","24,700","0,31K","0,33%"
"07.04.2022","24,785","24,515","24,780","24,515","0,30K","1,13%"
"06.04.2022","24,509","24,625","24,625","24,625","0,29K","-0,32%"
"05.04.2022","24,588","24,900","25,065","24,500","0,29K","-0,19%"
"04.04.2022","24,636","24,750","25,010","24,490","0,46K","-0,42%"
"03.04.2022","24,740","24,720","24,780","24,705","-","0,21%"
"01.04.2022","24,689","24,980","24,980","24,935","0,01K","-1,86%"
"31.03.2022","25,158","24,780","25,130","24,780","0,03K","0,05%"
"30.03.2022","25,146","25,010","25,325","24,925","4,55K","1,66%"
"29.03.2022","24,736","25,010","25,135","24,045","76,19K","-1,83%"
"28.03.2022","25,196","25,725","25,795","24,940","46,26K","-1,85%"
"27.03.2022","25,672","25,625","25,790","25,622","-","0,22%"
"25.03.2022","25,615","25,850","26,035","25,470","37,91K","-1,18%"
"24.03.2022","25,920","25,285","26,160","25,170","61,00K","2,90%"
"23.03.2022","25,189","24,915","25,370","24,780","34,15K","1,14%"
"22.03.2022","24,904","25,410","25,590","24,695","45,76K","-1,62%"
"21.03.2022","25,313","25,150","25,520","25,050","34,84K","1,06%"
"20.03.2022","25,047","25,090","25,293","25,047","-","-0,16%"
"18.03.2022","25,087","25,595","25,640","24,980","38,06K","-2,07%"
"17.03.2022","25,616","25,240","25,750","25,165","40,14K","3,67%"
"16.03.2022","24,710","25,115","25,250","24,550","46,30K","-1,78%"
"15.03.2022","25,158","25,260","25,315","24,750","47,79K","-0,55%"
"14.03.2022","25,298","26,280","26,290","25,160","52,36K","-2,32%"
"13.03.2022","25,900","26,145","26,282","25,855","-","-0,99%"
"11.03.2022","26,160","26,255","26,350","25,695","51,55K","-0,37%"
"10.03.2022","26,256","26,060","26,425","25,600","55,85K","1,70%"
"09.03.2022","25,816","26,925","27,390","25,730","87,11K","-4,01%"
"08.03.2022","26,895","25,805","27,495","25,550","127,21K","4,57%"
"07.03.2022","25,720","26,025","26,370","25,465","81,50K","-1,96%"
"06.03.2022","26,235","25,863","26,275","25,863","-","1,73%"
"04.03.2022","25,789","25,285","25,920","25,155","70,86K","2,29%"
"03.03.2022","25,212","25,450","25,665","25,075","57,47K","0,09%"
"02.03.2022","25,190","25,505","25,545","24,960","69,47K","-1,37%"
"01.03.2022","25,541","24,455","25,650","24,345","68,56K","4,82%"
"28.02.2022","24,366","24,620","24,880","24,155","55,28K","-0,38%"
"27.02.2022","24,460","24,195","24,795","24,195","-","1,84%"
"25.02.2022","24,017","24,330","24,550","23,920","67,32K","-2,75%"
"24.02.2022","24,697","24,655","25,680","23,960","0,81K","0,50%"
"23.02.2022","24,574","24,140","24,630","24,090","0,38K","1,00%"
"22.02.2022","24,331","24,080","24,400","23,760","0,37K","1,22%"
"21.02.2022","24,038","24,032","24,207","23,707","-","0,02%"
"20.02.2022","24,032","23,940","24,090","23,920","-","0,05%"
"18.02.2022","24,019","23,865","24,100","23,735","0,09K","0,49%"
"17.02.2022","23,903","23,580","23,950","23,580","0,10K","1,14%"
"16.02.2022","23,633","23,425","23,680","23,425","0,09K","1,13%"
"15.02.2022","23,369","24,010","24,010","23,140","0,06K","-2,13%"
"14.02.2022","23,877","23,700","23,925","23,700","0,22K","0,96%"
"13.02.2022","23,650","23,617","23,655","23,555","-","1,10%"
"11.02.2022","23,392","23,040","23,040","23,040","0,00K","-0,65%"
"10.02.2022","23,545","23,680","23,695","23,620","0,02K","0,78%"
"09.02.2022","23,362","23,290","23,350","23,120","0,02K","0,61%"
"08.02.2022","23,221","22,845","23,240","22,845","0,01K","0,53%"
"07.02.2022","23,098","22,575","22,985","22,575","0,01K","2,24%"
"06.02.2022","22,593","22,510","22,605","22,500","-","0,43%"
"04.02.2022","22,497","22,465","22,640","22,150","0,03K","0,45%"
"03.02.2022","22,397","22,635","22,645","22,050","0,06K","-1,47%"
"02.02.2022","22,730","22,765","22,950","22,640","0,01K","0,50%"
"01.02.2022","22,618","22,750","22,800","22,640","0,02K","0,89%"
"31.01.2022","22,419","22,575","22,575","22,575","0,01K","0,03%"
"30.01.2022","22,413","22,367","22,475","22,367","-","0,42%"
"28.01.2022","22,320","22,775","22,885","22,265","0,55K","-1,57%"
"27.01.2022","22,676","23,565","23,625","22,585","82,12K","-4,75%"
"26.01.2022","23,807","23,850","24,025","23,460","55,62K","-0,37%"
"25.01.2022","23,896","24,045","24,045","23,635","53,18K","0,40%"
"24.01.2022","23,800","24,305","24,360","23,595","72,35K","-2,22%"
"23.01.2022","24,340","24,330","24,360","24,235","-","0,08%"
"21.01.2022","24,320","24,525","24,640","24,205","62,05K","-1,60%"
"20.01.2022","24,716","24,185","24,755","24,125","75,61K","2,00%"
"19.01.2022","24,231","23,505","24,265","23,430","73,90K","3,15%"
"18.01.2022","23,492","22,995","23,680","22,820","105,83K","1,95%"
"17.01.2022","23,043","22,970","23,133","22,855","-","0,33%"
"16.01.2022","22,968","22,942","22,988","22,935","-","0,22%"
"14.01.2022","22,918","23,115","23,345","22,845","50,67K","-1,05%"
"13.01.2022","23,162","23,190","23,315","23,025","53,38K","-0,19%"
"12.01.2022","23,207","22,820","23,260","22,680","55,76K","1,73%"
"11.01.2022","22,812","22,500","22,860","22,480","48,87K","1,56%"
"10.01.2022","22,462","22,385","22,540","22,205","44,53K","0,35%"
"09.01.2022","22,383","22,387","22,420","22,328","-","-0,12%"
"07.01.2022","22,409","22,195","22,460","21,945","57,76K","0,99%"
"06.01.2022","22,190","22,810","22,850","22,000","73,89K","-4,23%"
"05.01.2022","23,170","23,095","23,300","22,750","41,19K","0,49%"
"04.01.2022","23,056","22,920","23,140","22,655","44,91K","1,08%"
"03.01.2022","22,810","23,385","23,440","22,690","46,32K","-2,22%"
"02.01.2022","23,328","23,375","23,435","23,323","-","-0,10%"
"31.12.2021","23,352","23,095","23,390","23,070","30,39K","1,27%"
"30.12.2021","23,060","22,870","23,155","22,630","30,54K","0,92%"
"29.12.2021","22,850","23,000","23,135","22,640","0,13K","-1,14%"
"28.12.2021","23,113","23,170","23,465","23,095","0,10K","0,57%"
"27.12.2021","22,981","22,880","23,100","22,680","0,20K","0,45%"
"26.12.2021","22,878","22,933","22,940","22,810","-","-0,14%"
"24.12.2021","22,910","22,910","22,910","22,910","-","-0,11%"
"23.12.2021","22,935","22,895","22,950","22,700","0,10K","0,57%"
"22.12.2021","22,804","22,455","22,840","22,455","0,03K","1,29%"
"21.12.2021","22,513","22,240","22,730","22,210","0,10K","1,04%"
"20.12.2021","22,281","22,260","22,280","22,215","0,02K","-0,37%"
"19.12.2021","22,363","22,370","22,410","22,352","-","-0,71%"
"17.12.2021","22,522","22,450","22,485","22,450","0,09K","0,23%"
"16.12.2021","22,471","22,165","22,465","22,155","0,02K","4,37%"
