periodo;fproceso;anio_ing;id_df;distrito_fiscal;tipo_fiscalia;materia;especialidad;tipo_caso;sistema;tipo_especializada;ingresado;atendido
01/01/2018 - 31/12/2018;11/01/2019;2018;01;AMAZONAS;SUPERIOR;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;1;1
01/01/2018 - 31/12/2018;11/01/2019;2018;01;AMAZONAS;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;16;16
01/01/2018 - 31/12/2018;11/01/2019;2018;01;AMAZONAS;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;;500;493
01/01/2018 - 31/12/2018;11/01/2019;2018;01;AMAZONAS;SUPERIOR;PENAL;PENAL;APELACION EXPEDIENTE;SGF;;1;1
01/01/2018 - 31/12/2018;11/01/2019;2018;01;AMAZONAS;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;;161;157
01/01/2018 - 31/12/2018;11/01/2019;2018;01;AMAZONAS;SUPERIOR;PENAL;PENAL;EXCLUSION FISCAL;SGF;;28;28
01/01/2018 - 31/12/2018;11/01/2019;2018;01;AMAZONAS;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;;148;119
01/01/2018 - 31/12/2018;11/01/2019;2018;01;AMAZONAS;SUPERIOR;PENAL;PENAL;INCIDENTE-EXPEDIENTE;SGF;;1;1
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;CIVIL;CIVIL;EXPEDIENTE;SIATF;;1674;1567
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;FAMILIA;ACTOS CONTRA LA LIBERTAD SEXUAL;DENUNCIA;SIATF;;6;5
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;634;607
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;FAMILIA;FAMILIA PENAL;DENUNCIA;SIATF;;389;333
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;197;188
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;DENUNCIA;SIATF;;341;302
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;181;174
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;DENUNCIA;SIATF;;128;117
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;73;73
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;929;883
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;54;54
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;3;3
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;;16835;16460
01/01/2018 - 31/12/2018;11/01/2019;2018;02;ANCASH;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;;46;34
