Ciclo,Inicio_consumo,Cant_cursos,Bebida,cafeina_mg,Consumo_dia,desp_con_bebida,dormido_con_bebida,dormido_sin_bebida,Consumo_1_5,Consumo_6_10,Consumo_11_16,Nota_Promedio,Ranking,Incio_horas_consumo,Creeencia_de_Efectividad
2,1,7,Volt,103,0.1,4,4,7,2,4,6,13.9,Ninguno de ellos,20,No estoy seguro
8,3,5,Red Bull,300,0.5,5,3,7,3,3.6,4,13,Ninguno de ellos,16,No estoy seguro
7,1,5,Cafe,20,0.4,3,5,7,1.75,9,1.1,14.2,Ninguno de ellos,7,si
3,1,4,Monster Energy Drink,290,NA,3,5,8,3,2,3,15,Ninguno de ellos,22,No estoy seguro
3,1,5,Red Bull,300,0.5,2,6,7,2,2.5,2,14.8,Ninguno de ellos,17,No
4,1,6,Cafe,NA,1,3,8,8,1,1,1,15,QUINTO SUPERIOR,18,si
4,1,3,Cafe,NA,1,15,9,8,3,3,5,14,Ninguno de ellos,10,si
7,4,5,Cafe,NA,0.1,5,5,8,0.4,0.7,0.7,13,DECIMO SUPERIOR,22,si
2,1,7,Cafe,24,NA,4,4,5.5,1.42,5.6784,9.464,16,QUINTO SUPERIOR,17,No estoy seguro
2,2,7,Cafe,NA,1.5,3,6,6,1.75,4,6,15.9,Ninguno de ellos,21,No estoy seguro
3,3,6,Monster Energy Drink,290,NA,4,6,8,2,2.8,3,14,DECIMO SUPERIOR,21,No
3,3,6,Cafe,NA,0.5,3,7,8,3,3,4,17.04,DECIMO SUPERIOR,21,No estoy seguro
5,1,5,Monster Energy Drink,290,0.5,1,8,8,5,5,5,14,Ninguno de ellos,17,No estoy seguro
4,1,7,Volt,103,0.15000000000000002,2,4,6,0.5,0.5,1,16,QUINTO SUPERIOR,21,No
2,1,6,Cafe,100,0.75,3,6,8,5.25,5.25,5.25,17.5,DECIMO SUPERIOR,22,si
2,1,6,Cafe,5,0.4,2,4,7,2,4,4.5,NA,QUINTO SUPERIOR,20,No estoy seguro
2,1,7,Cafe,20,0.25,5,4,6,2,2,2,14,Ninguno de ellos,20,No estoy seguro
2,1,6,Cafe,30,0.25,7,4,5,0.25,0.25,0.2,16.6,DECIMO SUPERIOR,6,si
2,1,7,Cafe,300,1,2,5,7,4,5,6,16.419999999999998,TERCIO SUPERIOR,20,No estoy seguro
1,1,6,Cafe,10,NA,3,4,8,6,4,NA,17.75,DECIMO SUPERIOR,8,No
3,1,6,Cafe,NA,1,2,7,7,6,8,8,13,QUINTO SUPERIOR,8,No estoy seguro
3,1,5,Cafe,90,0.5,2,7,7,1.25,1.25,1.25,18.3,DECIMO SUPERIOR,9,No
2,1,6,pepsi,110,NA,5,6,7,2,2,4,14,QUINTO SUPERIOR,18,No estoy seguro
7,1,6,Cafe,20,0.5,4,6,8,2,2,2.4,14.9,TERCIO SUPERIOR,22,si
2,1,6,Cafe,500,0.5,3,6,8,5,2,1,17.89,DECIMO SUPERIOR,22,si
4,3,8,Cafe,20,0.25,5,8,8,3,2,1,15,Ninguno de ellos,19,No estoy seguro
2,1,7,Volt,103,1,3,5,7,3,2,4,14,Ninguno de ellos,11,si
4,1,7,Monster Energy Drink,290,0.25,18,6,12,2,2,1,17.84,DECIMO SUPERIOR,16,si
2,2,6,Cafe,100,1,3,5,8,4,2,3,13,Ninguno de ellos,12,No
10,6,4,Volt,103,0.1,2,4,8,1,1,1,12,Ninguno de ellos,18,No
3,10,6,No Consumo,NA,NA,NA,NA,9.5,NA,NA,NA,16,DECIMO SUPERIOR,0,No
7,5,6,Monster Energy Drink,290,NA,NA,7,7,NA,NA,0.5,14,Ninguno de ellos,23,No estoy seguro
3,1,6,Red Bull,300,1,3,4,7.5,4,7,1,14,TERCIO SUPERIOR,20,No estoy seguro
2,1,7,Cafe,200,1,5,8,10,3,8,6,17.4,DECIMO SUPERIOR,15,No estoy seguro
2,1,7,Cafe,1,0.5,2,6,8,NA,NA,NA,14,Ninguno de ellos,7,No
3,1,5,Volt,103,0.5,4,2,5,5,2,2,NA,TERCIO SUPERIOR,8,si
4,4,8,Cafe,20,0.4,5,7,9,NA,6,1,14.67,Ninguno de ellos,20,No estoy seguro
3,2,4,No Consumo,NA,NA,NA,8,8,NA,NA,NA,14,Ninguno de ellos,0,No
3,10,4,No Consumo,NA,NA,NA,NA,8,NA,NA,NA,16.979999999999997,QUINTO SUPERIOR,0,No estoy seguro
1,1,7,Cafe,50,1,5,5,8,6,7,NA,16,TERCIO SUPERIOR,19,si
1,1,7,Cafe,50,1,5,6,8,6,7,NA,15,TERCIO SUPERIOR,19,si
8,4,5,Cafe,100,0.5,3,5,7,2,2,1,14,Ninguno de ellos,18,si
4,2,7,Monster Energy Drink,290,0.473,5,3,6,1,1.5,2,NA,QUINTO SUPERIOR,22,si
6,3,7,Cafe,50,1,3,4,6,4,5,7,15,Ninguno de ellos,22,No estoy seguro
1,1,5,Volt,103,0.25,1,4,6,1,1.5,2,11,Ninguno de ellos,21,No estoy seguro
2,1,6,Volt,103,0.2,3,6,7,1,1,2,NA,Ninguno de ellos,7,No estoy seguro
3,1,5,Cafe,NA,0.1,1,4,8,2,2,2,14,DECIMO SUPERIOR,7,No estoy seguro
3,3,3,Cafe,30,0.625,4,8,10,1,NA,NA,NA,TERCIO SUPERIOR,8,No
2,1,7,Coca cola,80,0.05,3,5,7,2,3,4,12,Ninguno de ellos,13,No estoy seguro
3,3,5,Monster Energy Drink,290,0.1,1,5,10,1,1,1,11,Ninguno de ellos,16,No
6,2,4,Volt,103,0.473,2,6,7,2.5,1.5,2,11.5,Ninguno de ellos,14,No estoy seguro
2,1,7,Cafe,200,1,3,4,7,NA,2,1,16,TERCIO SUPERIOR,21,No estoy seguro
6,3,6,Volt,103,0.01,3,4,8,NA,NA,NA,13.92,TERCIO SUPERIOR,0,No
2,1,5,Cafe,12,0.5,3,6,7,8,8,9,14.350000000000001,Ninguno de ellos,20,No estoy seguro
5,4,7,Monster Energy Drink,290,0.473,3,5,7,NA,1.4189999999999998,2.8379999999999996,15.26,TERCIO SUPERIOR,17,No estoy seguro
3,3,7,Monster Energy Drink,290,0.2,2,6,NA,4.8,5.8,NA,16,TERCIO SUPERIOR,7,si
4,2,5,Cafe,30,0.25,4,5,8,1,1.2,1.75,15.69,TERCIO SUPERIOR,18,No estoy seguro
5,10,7,No Consumo,NA,NA,NA,NA,8,NA,NA,NA,16.53,QUINTO SUPERIOR,0,No
5,1,4,Cafe,5,0.5,1,8,8,2.5,4,4.5,10,Ninguno de ellos,9,No estoy seguro
3,3,6,Red Bull,300,NA,2,7,4,5,5,8,NA,TERCIO SUPERIOR,8,No
4,4,7,Red Bull,300,0.01,4,2,7,NA,0.25,0.25,16.12,TERCIO SUPERIOR,17,No estoy seguro
2,2,7,Volt,103,0.5,3,5,8,2,5,7,16,Ninguno de ellos,10,No
4,4,7,Volt,103,1,3,6,8,NA,NA,NA,16.16,QUINTO SUPERIOR,18,No estoy seguro
5,5,8,Monster Energy Drink,290,0.473,4,4,8,0.473,4.73,0.473,15,TERCIO SUPERIOR,22,No estoy seguro
5,4,5,NA,NA,0.5,2,7,8,1,NA,NA,15.7,DECIMO SUPERIOR,16,No estoy seguro
6,4,5,Cafe,NA,NA,3,5,NA,6,9,2.4,15,QUINTO SUPERIOR,20,si
2,1,6,Cafe,5,1,2,8,6,2,2,2,17,QUINTO SUPERIOR,4,No estoy seguro
6,3,6,Cafe,40,0.7,3,6,8.5,5,2.1,13,14,Ninguno de ellos,18,si
4,1,8,Volt,103,0.5,4,4,8,2,2,2,14,QUINTO SUPERIOR,20,si
3,1,6,Cafe,30,1,8,9,7,2,3,3,15,Ninguno de ellos,20,si
4,1,5,Red Bull,300,0.5,6,5,6,2,2.8,3,14.81,Ninguno de ellos,10,si
3,2,6,Volt,103,NA,2,7,8,NA,0.3,0.3,15.11,TERCIO SUPERIOR,16,No
6,4,5,Cafe,250,0.5,2,5,9,0.5,1,1.5,17,Ninguno de ellos,8,si
4,1,5,Volt,103,0.5,3,7,9,5,5,5,14.11,Ninguno de ellos,18,No estoy seguro
5,1,5,Cafe,NA,0.3,2,6,6,2,2.4,3,14.48,TERCIO SUPERIOR,20,No estoy seguro
2,2,7,Sporade,800,NA,NA,9,9,1,NA,NA,NA,QUINTO SUPERIOR,0,No
2,1,6,Cafe,50,0.5,4,3,6,5,7,4,16,TERCIO SUPERIOR,24,si
2,2,6,Volt,103,0.5,NA,6,7,NA,1,1,15.18,TERCIO SUPERIOR,19,No
3,1,8,Red Bull,300,0.35,4,6,9,2.3,3.16,2.26,14.2,Ninguno de ellos,20,si
3,1,4,Cafe,20,0.5,3,6,7,3,4,3,13,Ninguno de ellos,7,No estoy seguro
3,1,6,Cafe,NA,0.2,4,6,8,5,7,5,15,Ninguno de ellos,20,No estoy seguro
2,3,5,Cafe,50,0.5,3,4,8,0.5,1,1.5,13.02,Ninguno de ellos,18,No estoy seguro
3,1,6,Red Bull,300,NA,12,6,8,0.5,0.5,0.5,17,DECIMO SUPERIOR,20,No estoy seguro
3,2,7,NA,NA,1,3,3,5,6,8,1,NA,DECIMO SUPERIOR,23,No estoy seguro
3,1,6,Cafe,11,1,3,5,8,4,7,5,10,Ninguno de ellos,19,No estoy seguro
6,3,5,Monster Energy Drink,290,0.5,4,4,7,1,2,2,14,Ninguno de ellos,21,No estoy seguro
3,2,5,Magnus,85,0.2,4,3,5,1,3.5,4,12.67,QUINTO SUPERIOR,18,si
2,2,6,Cafe,10,NA,3,4,7,4,3,1,17,DECIMO SUPERIOR,18,No estoy seguro
5,3,6,Cafe,7,0.5,1,7,7,0.6,0.8,0.8,15.3,TERCIO SUPERIOR,8,No
4,1,7,Cafe,10,0.5,4,7,8,3,3,3,16.5,QUINTO SUPERIOR,8,No estoy seguro
3,1,6,Volt,103,1,4,4,9,2,6,6,15.219999999999999,Ninguno de ellos,5,No estoy seguro
4,2,7,Volt,103,0.3,3,5,8,3,4.5,6,16.650000000000002,DECIMO SUPERIOR,22,si
3,4,6,No Consumo,NA,NA,NA,8,8,NA,NA,NA,17.23,QUINTO SUPERIOR,0,No
6,5,6,Cafe,20,0.5,4,7,9,2,5,6,NA,Ninguno de ellos,18,No estoy seguro
3,1,6,Volt,103,0.4,1,7,7,2,2,3,16.1,TERCIO SUPERIOR,17,No estoy seguro
5,1,6,Cafe,20,0.5,4,5,7,4,6,7,6,TERCIO SUPERIOR,20,No estoy seguro
5,2,6,Cafe,20,0.5,2,4,7,4,2,8,17.459999999999997,DECIMO SUPERIOR,17,No estoy seguro
3,1,7,Cafe,100,0.25,1,7,7,1,1,1,13.639999999999999,Ninguno de ellos,6,No
6,6,NA,Cafe,100,0.5,2,NA,6,5,5,5,13,Ninguno de ellos,22,No estoy seguro
7,1,7,Volt,103,0.5,2,6,8,1,4,8,14.92,Ninguno de ellos,18,No
