Item,Actividad,Responsable,Start,End
1,Planteamiento del proyecto,Todos,2022.03.22,2022.03.30
2,Lanzamiento de la encuesta y recojo de datos,Yashira,2022.04.22,2022.04.30
3,Depuración y limpieza de datos,Dangelo,2022.05.02,2022.05.03
4,Análisis descriptivo,Todos,2022.05.03,2022.05.04
5,Creación del informe P1,Todos,2022.05.04,2022.05.06
6,Presentación de informe P1,Anthony,2022.05.06,2022.05.07
7,Introducción y planificación para P1,Anthony,2022.05.02,2022.05.03
8,Descripción de variables en R,Niunier,2022.05.02,2022.05.03
9,"Definición de población, muestra, método de muestreo, etc.",Luis,2022.05.02,2022.05.03
10,Rectificación de datos de las encuestas,Yashira,2022.05.01,2022.05.02
11,Correcciones de la P1,Todos,2022.06.09,2022.06.13
12,Analisis de la data y rectificacion de datos,Todos,2022.06.15,2022.06.16
13,Correccion de graficos y esquemas,Dangelo,2022.06.17,2022.06.18
14,Avances de P2,Luis,2022.06.18,2022.06.19
15,Creacion de distribucion normal para P2,Anthony,2022.06.19,2022.06.20
16,Consideraciones finales para P2,Todos,2022.06.20,2022.06.21
17,Creacion de la presentación 2,Yashira,2022.06.23,2022.06.24
18,Exposicion final,Luis,2022.06.24,2022.06.25
