"Marca temporal","Género","Edad","¿En qué universidad estudias?","¿Qué carrera estudias?","¿Cuánto es tu promedio ponderado general? (Utilice el punto decimal)","¿Te consideras un 'GAMER'?","¿A qué edad dirías que empezaste a jugar videojuegos?","¿En qué plataformas juegas videojuegos regularmente?","¿Cuál es tu género de videojuego favorito?","¿Cuánto dinero has invertido en videojuegos? ","¿Cuántas horas semanales dirías que jugabas videojuegos al inicio de la pandemia?","¿Cuántas horas semanales dirías que juegas videojuegos actualmente?","¿Cuántas horas le dedicas al estudio semanalmente?","En la escala del 1 al 5, ¿cuánto crees que jugar videojuegos ha afectado a tus estudios?"
"2022/06/12 8:55:39 p. m. GMT-5","Masculino","19","UTEC","ingenieria mecatronica","15.3","No","6","PC","Shooters","Más de S/.10000","6","8","24","2"
"2022/06/12 8:57:04 p. m. GMT-5","Femenino","20","UTEC","Ingeniería industrial ","15.45","No","10","Dispositivo móvil","Carreras","S/.0","14","7","40","1"
"2022/06/12 8:57:26 p. m. GMT-5","Masculino","20","UPN","Administración y negocios internacionales","18","Sí","5","PC","Shooters","Entre S/.2000 y S/.5000","35","20","20","5"
"2022/06/12 8:59:03 p. m. GMT-5","Masculino","21","UTEC","Ciencias de la Computación","14.78","Sí","6","PC","MOBA","Más de S/.10000","56","28","2","2"
"2022/06/12 8:59:26 p. m. GMT-5","Masculino","18","UTEC","Ingeniería Mecatrónica","15.28","Sí","10","PC","MMO RPG","Entre S/.2000 y S/.5000","70","4","15","2"
"2022/06/12 9:03:51 p. m. GMT-5","Masculino","19","UTEC","Ciencias de la Computación","18.57","Sí","6","Nintendo","Estrategia","Más de S/.10000","60","15","15","3"
"2022/06/12 9:03:54 p. m. GMT-5","Masculino","19","UTEC","Ingeniería Industrial","16.43","Sí","8","Playstation","Deportivo","Entre S/.2000 y S/.5000","10","15","3","4"
"2022/06/12 9:05:19 p. m. GMT-5","Masculino","20","UTEC","Ingeniería Civil","13.5","Sí","15","PC","Deportivo","Entre S/.0 y S/.100","16","10","6","3"
"2022/06/12 9:10:36 p. m. GMT-5","Femenino","17","Otra","Derecho ","17.5","No","12","Dispositivo móvil","Survival","Entre S/.0 y S/.100","6","4","49","3"
"2022/06/12 9:29:09 p. m. GMT-5","Masculino","19","UTEC","Ingeniería Industrial","14.5","No","11","Dispositivo móvil","Estrategia","S/.0","2","5","30","5"
"2022/06/12 9:35:09 p. m. GMT-5","Masculino","19","UTEC","Ingeniería Industrial","15.9","Sí","9","PC","Carreras","Entre S/.100 y S/.1000","2","4","50","3"
"2022/06/12 9:36:03 p. m. GMT-5","Femenino","20","UTEC","Ingeneria industrial","16","No","10","PC","Estrategia","Entre S/.0 y S/.100","20","7","14","2"
