key,Description,Start,End,Done
1,Planear el proyecto,2022-03-28,2022-04-01,Completed
2,Definir las actividades a realizar,2022-03-28,2022-04-06,Completed
3,Definir la secuencia de actividades,2022-04-01,2022-04-07,Completed
4,Definir tres temas de interes grupal,2022-03-31,2022-04-08,Completed
5,Fase de ejecución,2022-04-09,2022-04-15,Completed
6,Establecer población y muestra,2022-04-14,2022-04-23,Completed
7,Elaboracion de encuestas,2022-04-24,2022-04-25,Completed
8,Establecer y clasificar variables,2022-04-24,2022-04-25,Completed
9,Recolección de encuestas,2022-04-25,2022-05-04,Completed
10,Análisis de datos obtenidos,2022-05-02,2022-05-05,Completed
11,Elaborar P1 en R,2022-05-03,2022-05-06,Completed
12,Verificiar el entregable P1 con la rúbrica,2022-05-05,2022-05-06,Completed
13,Análisis de datos,2022-05-07,2022-05-14,Completed
14,Organización de datos procesados,2022-05-15,2022-05-22,Completed
15,Revisión y verificación de procedimientos,2022-05-23,2022-05-27,Completed
16,Establecer modelos que expliquen las variables,2022-05-25,2022-06-29,Completed
17,Presentar los datos procesados,2022-05-30,2022-06-07,Completed
18,Terminar de elaborar el documento en R,2022-06-08,2022-06-23,Completed
19,Elaboración conclusiones,2022-06-21,2022-06-24,Completed
20,Verificación con la rúbrica,2022-06-22,2022-06-24,Completed
21,Presentación de informa final y exposición P2,2022-06-24,2022-06-24,Completed
