Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Lectura,Medida Promedio en Matemática
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,100.0,95.7,638,646
010103,AMAZONAS,CHACHAPOYAS,BALSAS,100.0,85.7,621,651
010104,AMAZONAS,CHACHAPOYAS,CHETO,100.0,90.9,636,723
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,100.0,80.0,557,666
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,100.0,97.1,541,512
010107,AMAZONAS,CHACHAPOYAS,GRANADA,100.0,100.0,574,599
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,100.0,100.0,550,518
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,100.0,94.2,544,552
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,100.0,92.9,626,635
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,100.0,100.0,680,751
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,100.0,100.0,610,670
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,100.0,100.0,549,587
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,100.0,97.6,601,610
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,100.0,100.0,623,718
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,100.0,100.0,521,521
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,100.0,100.0,583,630
010201,AMAZONAS,BAGUA,BAGUA,100.0,96.4,614,613
010202,AMAZONAS,BAGUA,ARAMANGO,100.0,97.9,568,577
010203,AMAZONAS,BAGUA,COPALLIN,100.0,95.5,553,550
010204,AMAZONAS,BAGUA,EL PARCO,100.0,90.9,479,443
010205,AMAZONAS,BAGUA,IMAZA,88.0,84.7,-,-
010206,AMAZONAS,BAGUA,LA PECA,100.0,96.2,603,607
010301,AMAZONAS,BONGARÁ,JUMBILLA,100.0,100.0,634,663
010303,AMAZONAS,BONGARÁ,CHURUJA,100.0,88.9,560,518
010304,AMAZONAS,BONGARÁ,COROSHA,100.0,100.0,596,574
010305,AMAZONAS,BONGARÁ,CUISPES,100.0,100.0,628,673
010306,AMAZONAS,BONGARÁ,FLORIDA,100.0,95.5,575,610
010307,AMAZONAS,BONGARÁ,JAZAN,100.0,97.3,616,641
010309,AMAZONAS,BONGARÁ,SAN CARLOS,100.0,100.0,636,612
010310,AMAZONAS,BONGARÁ,SHIPASBAMBA,100.0,88.9,574,621
010311,AMAZONAS,BONGARÁ,VALERA,100.0,100.0,572,514
010312,AMAZONAS,BONGARÁ,YAMBRASBAMBA,100.0,93.1,581,613
010401,AMAZONAS,CONDORCANQUI,NIEVA,100.0,92.5,509,477
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,100.0,100.0,415,411
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,100.0,90.9,490,474
010501,AMAZONAS,LUYA,LAMUD,100.0,96.3,617,632
010502,AMAZONAS,LUYA,CAMPORREDONDO,100.0,94.0,587,631
010503,AMAZONAS,LUYA,COCABAMBA,100.0,90.6,548,563
010504,AMAZONAS,LUYA,COLCAMAR,100.0,95.7,550,611
010505,AMAZONAS,LUYA,CONILA,100.0,97.1,527,514
010506,AMAZONAS,LUYA,INGUILPATA,100.0,100.0,549,546
010507,AMAZONAS,LUYA,LONGUITA,100.0,92.0,583,604
010508,AMAZONAS,LUYA,LONYA CHICO,100.0,100.0,528,548
010509,AMAZONAS,LUYA,LUYA,100.0,93.2,611,625
010510,AMAZONAS,LUYA,LUYA VIEJO,100.0,75.0,-,-
010511,AMAZONAS,LUYA,MARIA,100.0,100.0,600,613
010512,AMAZONAS,LUYA,OCALLI,100.0,93.7,594,604
010513,AMAZONAS,LUYA,OCUMAL,100.0,95.9,604,624
010514,AMAZONAS,LUYA,PISUQUIA,100.0,98.8,563,565
010515,AMAZONAS,LUYA,PROVIDENCIA,100.0,91.7,516,487
010516,AMAZONAS,LUYA,SAN CRISTOBAL,100.0,100.0,602,616
010520,AMAZONAS,LUYA,SANTA CATALINA,100.0,100.0,526,532
010521,AMAZONAS,LUYA,SANTO TOMAS,100.0,97.3,604,646
010522,AMAZONAS,LUYA,TINGO,100.0,100.0,606,597
