Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
TOTAL,Todos los productos,25709371,29938752,34575706,40106386,46546224,55779580,70018851,55672119,68174447,82981091,79982380,75962981,68404347,56752410,57733363,58644734,61781529,65115327,54883822,77838728
999999,Materias no a otra parte especificadas,255935,698353,620414,629333,788812,919996,1404401,897014,1250275,1816543,2102021,2119715,1867075,956448,678166,943377,13540419,13709223,10748444,13622945
230400,Tortas y demás residuos sólidos de la extracción del aceite de soja (soya); incluso molidos ...,2561391,3259914,3597953,3798335,4362540,5748010,7129406,8053027,8194945,9574925,9849828,10660573,11837833,9674749,9970589,9081182,8902512,8539762,7504563,11351328
100590,Maíz (exc. ??las de siembra para siembra),903286,1215081,1173915,1348257,1210608,2189486,3417535,1482108,3062313,4247825,4702908,5555345,3333388,3058625,4130833,3824224,4176014,5908641,5995689,9022667
150710,"""Aceite de soja """"soya"""" en bruto; incl. desgomado""",1280165,2002452,2229360,2119782,2709795,4260480,4711264,3136202,3959495,4812379,4203544,3943322,3294413,3691393,3966804,3640935,2744171,3230077,3632400,6696290
870421,"""Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) ...",341805,245802,368754,770463,966935,1125718,1292041,1036712,1946178,3010270,3303961,3489729,3158058,2511085,2297913,3000896,3294460,3230581,1960740,3276570
100199,Trigo y morcajo (exc. ??las de siembra para la siembra; y el trigo duro),0,0,0,0,0,0,0,0,0,0,2950281,730661,602471,1017280,1838382,2361073,2417517,2295277,2029019,2971644
120190,Habas de soja; incluso quebrantadas (exc. ??las de siembra para siembra),0,0,0,0,0,0,0,0,0,0,3157537,4061611,3748179,4252319,3211128,2718790,1371165,3388461,2170887,2669638
270900,Aceites crudos de petróleo o de mineral bituminoso,2223884,2298635,2255856,2508983,2406093,1296003,1618156,2466357,2583534,2182224,2611224,1736775,1619633,672606,739877,585042,1464212,1119912,570360,1841724
020230,Carne deshuesada; de bovinos; congelada,124277,164408,409405,574537,530801,411481,523146,802544,409860,403527,303373,320153,373325,356084,413120,625065,1200844,2240939,1928591,1764668
382600,Biodiésel y sus mezclas; sin aceites de petróleo o de mineral bituminoso o con un contenido ...,0,0,0,0,0,0,0,0,0,0,1774496,1055429,1305165,505609,1239560,1224111,896271,732635,467977,1538279
030617,Camarones y langostinos congelados; incluso ahumado; incluso pelados o no; incl. camarones ...,0,0,0,0,0,0,0,0,0,0,476629,616135,759839,763760,1002815,1199770,1289995,1040953,821478,1189096
