Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
TOTAL,Todos los productos,60144461,72772250,95115401,118592084,137574211,159816181,195764624,151791674,200433953,253665437,239952538,232543660,220920757,191134325,185235401,217739177,239889210,223998669,209180242,280814577
260111,"""Minerales de hierro y sus concentrados; sin aglomerar (exc. piritas de hierro tostadas """"cenizas ...",2020825,2282179,3042387,4434980,5750496,7114107,11053596,10582192,21353878,31851760,23809804,25996246,19982660,10378928,11575970,16712952,16714107,19736411,24259115,40715560
120190,Habas de soja; incluso quebrantadas (exc. ??las de siembra para siembra),0,0,0,0,0,0,0,0,0,0,17235122,22805760,23273062,20981829,19327391,25712173,33182501,26112403,28560588,38628923
270900,Aceites crudos de petróleo o de mineral bituminoso,1691371,2121932,2527656,4164752,6894528,8905066,13682759,9351031,16293417,21603316,20289442,12956638,16356786,11781324,10073805,16625024,25130987,24002334,19613858,30608982
170114,Azúcar de caña; en estado sólido; (excepto los de la caña de azúcar 1701 13) sin adición de ...,0,0,0,0,0,0,0,0,0,0,9814268,9155515,7446113,5899282,8279525,9040869,5388918,4518670,7378800,7955408
230400,Tortas y demás residuos sólidos de la extracción del aceite de soja (soya); incluso molidos ...,2198860,2602371,3263536,2858743,2416154,2957017,4361025,4591397,4718533,5689414,6595457,6787272,7000584,5821074,5192781,4973331,6697347,5825935,5909220,7342745
020230,Carne deshuesada; de bovinos; congelada,507352,725416,1362207,1783320,2451936,2682981,3669214,2643815,3360029,3498666,3637355,4470459,4830607,3953397,3570668,4356057,4523509,5592619,6662761,6956072
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,583694,1050592,1242042,1705542,2362464,2392760,3062944,2107879,2686268,4082147,5237430,4229271,3633242,1407137,887217,1540410,3441599,4432716,4370883,6274326
470329,"""Pasta química; de madera distinta de la de coníferas; a la sosa """"soda"""" o al sulfato; semiblanqueada ...",1108002,1684522,1667336,1975669,2428501,2944649,3773453,3071053,4428180,4605115,4321578,4820836,4912606,5342875,5128887,5803548,7834196,7042798,5571086,6228939
090111,Café sin tostar ni descafeinar,1194762,1301563,1748445,2515421,2927564,3375966,4130759,3760550,5178814,7998660,5720081,4580008,6040280,5555374,4842977,4600238,4359508,4543771,4973689,5804673
720712,Productos intermedios de hierro o acero sin alear; con un contenido de carbono < 0;25% en peso; ...,920056,919082,1216192,1076555,1156792,1221146,2547118,1186517,1926448,3230183,2542771,1651669,2053491,1995956,1524292,2736384,3260677,2666010,2463260,5334318
020714,Trozos y despojos comestibles; de gallo o de gallina; de especies domésticas; congelados,879920,1091410,1690092,2225057,1975973,2773429,3606647,2883774,3529251,4451430,4270688,4195629,4459070,3958789,3952487,4618279,4362492,4794250,4127173,5238954
100590,Maíz (exc. ??las de siembra para siembra),259943,369610,581869,102288,460108,1882114,1321950,1258794,2136822,2623454,5287267,6250332,3875969,4937593,3655162,4567019,4034500,7344021,5786083,4097657
260112,"""Minerales de hierro y sus concentrados; aglomeradas (exc. piritas de hierro tostadas """"cenizas ...",1028026,1173742,1716488,2861660,3198375,3443805,5484825,2657571,7513842,9965454,7179488,6495285,5836431,3697175,1713371,2486202,3501555,2443966,1521371,3945087
520100,Algodón sin cardar ni peinar,93713,188214,405074,449630,337895,506274,695411,684535,821480,1587217,2103268,1106216,1356506,1290394,1215457,1357711,1587344,2638323,3226916,3405902
260300,Minerales de cobre y sus concentrados,0,0,171540,303714,519969,1032312,1196341,803013,1237741,1572792,1510644,1825968,1805254,1984114,1928278,2485258,2640445,2253901,2408931,3369104
281820,Óxido de aluminio (exc. corindón artificial),171309,320782,417389,563506,1087731,1285340,1523618,1298459,1716122,2191416,1915267,1809483,2334294,2505473,2219002,2629931,2537601,2411576,2313708,2867940
710812,Oro; incl. el oro platinado; en bruto; para uso no monetario (exc. en polvo),24,0,0,14,70,55,67,11,15853,84938,322823,534993,853083,770697,848619,794486,944612,1524726,2554635,2808112
710813,Oro; incl. el oro platinado; semilabrado; para uso no monetario,349153,327120,412813,458866,658533,790821,1032446,1400497,1786099,2239357,2341158,2132548,1469526,1553638,2044411,2005930,1868043,2069928,2348837,2486145
020329,Carne de porcinos; congelada (exc. canales o medias canales; así como piernas; paletas y sus ...,288568,403341,564012,834369,771061,970658,1148519,981722,1097967,1158871,1168271,1131227,1384518,1116207,1289697,1405440,1032403,1429854,2072932,2417412
720293,Ferroniobio,267649,281263,296035,423723,543998,1064354,1647080,1060222,1556669,1840942,1811073,1606353,1735529,1568414,1331515,1608188,2011848,2271534,1497420,2086410
150710,"""Aceite de soja """"soya"""" en bruto; incl. desgomado""",674222,1041920,1155756,1021594,828702,1221767,1984503,1040869,1190190,1857127,1853711,1215195,998813,1055342,801362,912839,956529,610923,589972,1732924
720110,Fundición en bruto; en lingotes; bloques o demás formas primarias; sin alear; con un contenido ...,472481,572847,1179055,1810416,1637333,1864418,3144982,1089648,971091,1598804,1340155,1068557,1031248,772994,523670,764850,750523,971105,1130659,1641639
870323,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",1635037,2222458,2488969,2872884,3035937,3179636,3351180,2126144,3037094,2937849,2730012,3780860,2280560,2171433,2907358,4053087,2904404,1980990,1254513,1618382
020712,Gallos y gallinas de especies domésticas; sin trocear; congelados,453667,617003,801032,1089052,936414,1439520,2199653,1917871,2250428,2604415,2452032,2799083,2425441,2270666,1992513,1808366,1522261,1536287,1353985,1609179
880240,Aviones y demás aeronaves con motor de un peso en vacío> 15.000 kg (exc. helicópteros; dirigibles ...,360267,14183,1212547,1819119,2362329,3755188,4394146,3107866,3036490,3201026,3579212,2919536,2719662,3031370,3246705,2923389,2837229,2518838,1418181,1595061
240120,Tabaco; total o parcialmente desvenado o desnervado pero sin elaborar de otro modo,898876,975026,1284252,1557850,1579806,2071886,2546962,2852431,2582103,2731486,3028947,3045697,2300957,2016147,1970670,1915712,1809688,1953823,1433568,1280125
170199,Azúcar de caña o remolacha y sacarosa químicamente pura; sólidos (exc. los con adición de aromatizante ...,982079,786427,1123809,1534955,2230285,1966831,1831924,2392987,3454457,3390483,2814146,2677962,2008636,1740249,2153226,2364820,1134889,718538,1362648,1229203
441239,"""Madera contrachapada constituida exclusivamente por hojas de madera de espesor unitario <= ...",0,0,0,0,0,421653,475861,278119,360249,324826,371623,398081,438491,433576,418356,547520,697296,491434,597936,1122984
220710,Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico >= 80% vol,166288,146763,461308,742536,1437159,1439175,2366327,1337910,1013213,1491733,2185728,1865219,897397,845254,884998,805139,891166,993168,1181180,1056450
020130,Carne deshuesada; de bovinos; fresca o refrigerada,267753,427653,589786,626005,664864,778711,293390,366538,483468,650538,819002,853247,833634,689341,757137,683442,890381,880400,766093,995828
840999,"""Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ...",327204,437226,715575,812909,1032794,1111202,1163254,534931,992343,1392403,1250494,1184444,1129018,969153,832482,932369,1013268,966521,694248,995173
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,130066,302507,290104,282608,264228,238103,741832,1354350,686824,987075
