Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
TOTAL,Todos los productos,17423088,21650906,33025407,41972988,60596328,68560429,64507601,55458960,71106106,81437589,78062995,76769729,75083497,62042350,57737906,65882717,75404118,69145962,67557693,89842027
260300,Minerales de cobre y sus concentrados,1733989,2764068,5491559,7642359,12496023,14682516,9836874,9865530,13753561,14533652,15912284,16651451,15788362,12948831,11267007,14910206,18193330,17955582,17475792,26659150
740311,Cobre refinado en forma de cátodos y de secciones de cátodos,4093139,4459908,8334160,10086629,16971437,19725964,18673349,16774885,23184164,25496864,21966640,18839511,17766031,14650611,12694728,14614772,15809609,13275528,13499707,20159154
740200,Cobre sin refinar; ánodos de cobre para refinado electrolítico,253684,466675,999872,1311306,2925016,3076990,2057459,1986236,2426305,3100751,3401837,3544850,2948106,2496850,1766117,2319098,2256205,1440198,1837088,2495836
260111,"""Minerales de hierro y sus concentrados; sin aglomerar (exc. piritas de hierro tostadas """"cenizas ...",34720,31358,42322,80004,113401,165243,259904,360468,708627,1196962,1177281,1166042,965704,525951,592014,735334,689690,619187,1203899,2180920
080929,Cerezas frescas (excepto las cerezas ácidas),0,0,0,0,0,0,0,0,0,0,374196,391334,593501,393731,544553,358736,805824,1073208,1235131,1767835
999999,Materias no a otra parte especificadas,513303,7094,5867,6208,1228218,2601,1143,1325,1685,2755,1,1,0,1595239,1414475,1590618,2162982,1917082,1626910,1675879
220421,Vino de uvas frescas; incl. encabezado; mosto de uva; en el que la fermentación se ha impedido ...,541826,589412,713368,754765,839202,1090352,1174293,1150331,1282430,1421691,1427858,1461493,1520832,1518499,1521198,1607907,1595332,1532694,1473235,1600260
030441,"""Filetes de salmones del Pacífico """"Oncorhynchus nerka""""; """"Oncorhynchus gorbuscha""""; """"Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,509754,756314,902585,778096,946169,1070132,1230292,1250658,1092694,1502071
261310,Minerales de molibdeno y sus concentrados; tostados,191960,242605,822173,1688496,1352329,1723131,1854231,999628,1002759,1236380,927781,671954,968929,574694,577220,773090,1100177,1019965,961942,1185051
470321,"""Pasta química; de madera de coníferas; a la sosa """"soda"""" o al sulfato; semiblanqueada o blanqueada ...",497882,573630,788627,689488,813795,1234569,1213723,1004236,1151901,1358145,1133388,1261410,1442904,1147403,1148116,1128024,1599800,1125591,864446,1086731
470329,"""Pasta química; de madera distinta de la de coníferas; a la sosa """"soda"""" o al sulfato; semiblanqueada ...",188175,185120,264907,345665,389365,940091,1169761,835848,1053510,1179950,1162443,1252258,1140114,1164065,1012494,1148908,1557076,1302061,938381,959546
710812,Oro; incl. el oro platinado; en bruto; para uso no monetario (exc. en polvo),240581,282272,311067,336799,521068,568086,732340,883163,1014448,1419321,1605151,1347225,989961,905289,928215,1164615,1340331,1155298,954252,958971
440711,"""Pino """"Pinus spp."""" aserrados o desbastados longitudinalmente; cortados o desenrollados; incluso ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797617,940347,786135,728885,926236
283691,Carbonatos de litio,55709,64805,75180,94085,123434,188571,218845,112706,174108,204173,240194,225436,227475,245129,457224,682457,942478,833633,680381,882867
030481,"""Filetes de salmones del Pacífico """"Oncorhynchus nerka""""; """"Oncorhynchus gorbuscha""""; """"Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,281643,499662,649111,485480,600974,776638,740060,691875,689964,863985
030214,"""Salmón del Pacífico fresco o refrigerado del Atlantico """"Salmo salar"""" y salmones del Danubio ...",0,0,0,0,0,0,0,0,0,0,254096,417911,526085,475870,603343,669454,844213,868984,537127,829718
080610,Uvas frescas,543731,757468,877898,930677,1002296,1039497,1291133,1197167,1354853,1462023,1431078,1568521,1503594,1090972,1048758,993044,1074239,949712,924774,826929
030312,"""Salmones del Pacífico (excluido el salmón rojo; """"rojo salmón"""") congelados""",0,0,0,0,0,0,0,0,0,0,514881,445009,592671,549951,439443,657127,753573,790829,646441,661692
280120,Yodo,130878,143995,176500,250831,276909,323077,373151,353661,414664,659913,890766,818901,637703,514590,415949,355086,428654,546217,662033,606020
080810,Manzanas; frescas,233004,319202,400163,336398,441479,567259,692770,493592,641919,677642,722896,825643,752571,517706,639137,599877,680886,602882,568585,589513
020329,Carne de porcinos; congelada (exc. canales o medias canales; así como piernas; paletas y sus ...,86266,135436,220062,273318,287728,341891,299190,311269,298357,365300,400610,358908,387776,317812,300667,332906,398584,463973,610291,570507
081040,"""Arándanos rojos; mirtilos y demás frutos del género """"Vaccinium""""; frescos""",18105,55295,82030,104594,132870,166088,221072,191819,355570,400674,395364,439597,528856,434355,571676,407415,579673,571198,526875,563592
030313,"""Salmones del Atlántico """"Salmo salar"""" y salmones del Danubio """"Hucho hucho"""" congelados""",0,0,0,0,0,0,0,0,0,0,166643,378232,627022,496882,548366,591314,709837,608341,550897,485979
020714,Trozos y despojos comestibles; de gallo o de gallina; de especies domésticas; congelados,14651,33801,76122,103594,110142,97208,142859,163763,167940,191184,193096,204738,217053,246188,239916,233422,288291,320436,306258,435960
441239,"""Madera contrachapada constituida exclusivamente por hojas de madera de espesor unitario <= ...",0,0,0,0,0,244957,343491,283544,329851,413961,280611,252753,327016,348843,347717,309496,436417,351889,353703,429804
261390,Minerales de molibdeno y sus concentrados (exc. tostados),38106,74432,524803,1033049,880369,1431668,446720,144173,229652,224945,283800,170558,209190,186892,154958,208578,361419,316028,286003,423818
230120,"""Harina; polvo y """"pellets""""; de pescado o de crustáceos; de moluscos o demás invertebrados ...",323339,373090,343486,458243,514137,536409,498817,613094,533595,474710,441189,414382,426597,357445,327109,322460,373967,297179,449855,392710
030499,Congelados de carne de pescado ncop (exc. ??filetes),0,0,0,0,0,387753,352691,226144,135025,179870,200880,236164,299235,253496,254823,333663,353057,391444,387942,386026
440910,Madera de coníferas; incl. las tablillas y frisos para parqués sin ensamblar; perfilada longitudinalmente ...,192790,204502,332027,260878,324831,218988,198770,140419,178975,199956,229048,270549,291413,270342,240064,242487,252740,239507,249245,359764
441114,"""Tableros de media densidad """"MDF""""; de madera y de medida > 9 mm""",0,0,0,0,0,51390,68939,51634,62605,86557,81353,99129,112188,123815,240442,239770,257621,257640,261274,345040
481092,"""Papel y cartón multicapas; estucados por una o las dos caras con caolín u otras sustancias ...",80762,108049,136084,130902,169958,207261,249030,255069,300875,340687,344731,329886,348698,299077,266589,238446,305888,301365,343194,342113
283421,Nitratos de potasio,102735,132581,133117,162073,155643,176782,478253,173900,303350,361794,356930,308420,316902,242018,272477,334454,365204,274001,298873,337628
470200,Pasta química de madera para disolver,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42429,328085
470311,"""Pasta química; de madera de coníferas; a la sosa """"soda"""" o al sulfato; cruda (exc. pasta ...",135757,125290,140069,153814,162552,193900,165801,173210,201696,250878,225658,281787,295130,252164,243009,277648,410037,290552,232422,319680
710691,Plata; incl. la plata dorada y la platinada; en bruto; (exc. en polvo),90565,93697,112008,115863,249042,460973,332708,313634,382385,649121,498954,280761,180322,9030,57514,221488,250938,195410,249889,315468
220429,Vino de uvas frescas; incl. encabezado; y mosto de uva en el que la fermentación se ha impedido ...,62963,80270,119186,116155,117049,157296,186575,213986,245688,247085,334420,397594,302026,293106,303379,340510,326227,335857,292425,311580
740811,Alambre de cobre refinado; con la mayor dimensión de la sección transversal > 6 mm,64072,81020,139568,189256,410849,463472,485939,281854,460083,532235,493562,421731,476785,300924,280215,289592,248856,95601,123200,304149
401110,"""Neumáticos """"llantas neumáticas"""" nuevos de caucho; de los tipos utilizados en automóviles ...",46844,58983,87974,99477,98213,111007,120748,67226,143264,298325,320366,356288,393230,340054,299944,282260,269967,291762,231735,302337
290511,"""Metanol """"alcohol metílico""""""",300443,440057,508925,610589,879317,495278,405967,155671,211466,213742,123951,55796,45225,36984,88139,138039,216320,264168,210508,297699
720270,Ferromolibdeno,16194,37317,160138,456548,550550,708795,804410,200031,313186,434919,323407,221715,272803,71743,67542,90700,207807,161221,104100,291442
282570,Óxidos e hidróxidos de molibdeno,19374,19540,117336,218008,242559,242872,247633,71802,155503,117545,97421,80503,137554,83143,113704,145904,224101,193453,162427,273194
160553,Mejillones; preparados o conservados (excepto ahumado),0,0,0,0,0,0,0,0,0,0,152120,184061,188809,201325,176785,209445,209522,202142,248411,271386
440122,Madera en plaquitas o escamillas (exc. de las especies utilizadas principalmente como tintóreas ...,120149,127577,135455,159330,189064,217721,335056,274494,339794,410659,369558,314419,307913,277236,350380,361711,391634,396486,339031,256656
030355,"""Jack y jurel """"Trachurus spp."""" congelados""",0,0,0,0,0,0,0,0,0,0,104402,138438,135046,82830,68341,88148,133340,157767,150086,245517
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,81918,354856,367176,637176,869716,639593,922270,550687,487631,689526,611893,578213,483159,97310,92393,158351,206230,161774,185486,239666
080232,Nueces frescas o secas; sin cáscara,13152,17232,20760,31601,46893,57799,94707,52044,103061,120000,140735,165163,211483,214296,148467,255263,219000,224924,207212,237604
081190,"""Frutos comestibles; sin cocer o cocidos en agua o vapor; congelados; incl. con adición de ...",7930,11886,13314,18821,26385,31036,51011,43997,39865,119165,126901,133595,148444,164330,189517,166548,187724,187993,210433,232402
080231,Nueces frescas o secas; con cáscara,7152,10485,10401,12950,15559,18294,30919,32289,56946,81431,56882,81127,110244,142907,93902,205630,217489,201511,177928,230416
310420,Cloruro de potasio; para su utilización como abono (exc. en tabletas o formas simil. o en envases ...,5761,7493,2184,3847,5219,13851,39064,210081,327787,384998,499800,470037,393693,372465,301221,258251,171522,104380,120224,225806
081050,Kiwis; frescos,69268,92275,106944,111180,128375,145762,182578,148896,151819,174212,201753,239879,177377,216733,179126,184449,205342,172276,183586,218975
080440,"""Aguacates """"paltas""""; frescos o secos""",70318,181674,139495,171251,122128,223583,156434,263668,188199,214780,154480,165211,223893,161881,297326,391115,273628,300699,219424,213807
310590,Abonos minerales o químicos; que contengan los dos elementos fertilizantes nitrógeno y potasio ...,54104,49803,65524,75266,74644,80636,183943,78958,112676,126081,148674,132813,115343,162794,150567,142417,192237,185769,180223,208714
722830,Barras de aceros aleados; distinto del acero inoxidable; simplemente laminadas o extrudidas ...,242,16,11,199,52,161,245,49,64,408,415,970,10100,26872,23822,36141,114241,136874,90980,204826
