Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
TOTAL,Todos los productos,11897488,13092218,16729678,21190439,24390975,29991332,37625882,32852986,39819529,56953516,60273618,58821870,54794812,35690767,31095444,37770123,41769699,39496225,31045676,40488600
270900,Aceites crudos de petróleo o de mineral bituminoso,2577725,2476534,2995941,4031872,4535372,5544601,9306209,8053481,13393973,23020133,26556826,27644198,25760766,12834380,8081951,10916373,13671260,12986757,7119972,10298908
270112,Hulla bituminosa ; incl. pulverizada; pero sin aglomerar,971192,1388111,1762630,2434345,2792566,3312317,4577882,5214361,5503163,7843930,7298077,6253100,6425901,4256202,4391084,6813798,6562220,4874684,3542521,4373199
090111,Café sin tostar ni descafeinar,772202,806307,949464,1470660,1461235,1714343,1883221,1542697,1883557,2608365,1909997,1883906,2473248,2526532,2417692,2513780,2267511,2272874,2446598,3091838
710812,Oro; incl. el oro platinado; en bruto; para uso no monetario (exc. en polvo),60024,545675,511093,470059,230665,290381,824887,1457094,1997240,2591714,3190547,2078942,1440824,956814,1420723,1599915,1284739,1647863,2767012,2997669
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,478888,582679,692254,901524,1166956,1200042,2031246,1394330,2144409,3282554,3440996,3363287,2236063,878669,1324798,1181337,1798768,2020047,1271970,1755324
270400,Coques y semicoques de hulla; lignito o turba; incluso aglomerados; carbón de retorta,18024,32324,88720,158173,105815,170679,449760,159375,494398,540433,506342,433948,383238,302581,246175,573210,871365,784331,623161,1271731
080390,Plátanos frescos o secos (plátanos excl.),0,0,0,0,0,0,0,0,0,0,773016,715874,777434,756597,857166,857286,809776,870675,913468,935860
060319,Flores frescas y capullos; cortados; de una; para ramos o adornos (excepto rosas; claveles; ...,0,0,0,0,0,459113,425557,415363,500619,505429,546043,581055,614020,607974,631818,692046,720673,735024,730518,903032
720260,Ferroníquel,272464,414694,627965,737783,1107045,1680278,863680,725934,967338,826621,881169,680124,640595,429753,327765,360544,558457,545024,435438,528448
390410,"""Poli""""cloruro de vinilo""""; en formas primarias; sin mezclar con otras sustancias""",74091,106879,164009,170316,181850,213023,235981,202694,252581,313765,294310,319816,291954,252883,230208,272100,289593,320963,308016,498840
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,1216156,1001283,618981,402383,680561,873756,1159593,892193,277852,388143
060311,"""Rosas """"flores y capullos""""; cortadas para ramos o adornos; frescas""",0,0,0,0,0,327912,346671,347255,375960,381228,363404,365189,371574,315498,304267,309408,333787,330289,321794,367315
151110,Aceite de palma en bruto,25717,41565,92657,78881,78036,182428,251134,111711,47365,154949,144854,115675,168884,213534,208586,332731,386149,273670,329223,362341
390210,Polipropileno; en formas primarias,43713,74224,115796,131084,163849,189379,227245,156158,219932,266774,280319,290016,296426,255748,212170,242475,286693,256653,239503,346884
210111,Extractos; esencias y concentrados de café,81595,76281,89989,132073,137705,148358,186986,217075,232395,273088,243858,238749,216411,228732,215643,220254,227481,240982,274215,297240
761010,Puertas; ventanas y sus marcos; contramarcos y umbrales (exc. guarniciones),9567,10278,13669,18960,46558,57108,24916,14675,23898,24467,42328,47987,78990,94577,153812,122168,155583,232637,198988,285306
740400,Desperdicios y desechos; de cobre,11106,19185,32331,69850,239217,282930,228705,140634,306393,339075,338554,327228,254636,217501,174136,239378,233984,175414,147113,275563
060312,"""Claveles """"flores y capullos""""; cortados para ramos o adornos; frescos""",0,0,0,0,0,222593,224717,187224,243793,237976,221507,229995,226115,212996,212187,224997,226134,235904,204308,255933
380892,Fungicidas; presentados en formas o envases para la venta al por menor; o como preparaciones ...,0,0,0,0,0,108870,113898,150828,151048,139974,165214,178725,195231,179114,166576,159209,151653,201672,219240,240823
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",152021,127105,127645,153235,162192,179964,216579,256679,218322,252346,276834,298620,284965,280155,218877,188176,198825,205068,201865,220197
390230,Copolímeros de propileno; en formas primarias,18078,29267,45978,61534,79377,83133,106131,83932,130893,163235,155827,138711,153142,117415,138991,132921,158726,138272,122572,212650
170199,Azúcar de caña o remolacha y sacarosa químicamente pura; sólidos (exc. los con adición de aromatizante ...,102075,121421,128669,177317,254169,192884,115725,274682,361234,512021,388739,242430,300577,259296,185293,253038,204804,218390,222652,205864
080440,"""Aguacates """"paltas""""; frescos o secos""",1,5,19,4,13,6,34,54,108,172,11,1179,3573,10279,35040,52948,62732,89053,146029,204590
170490,Artículos de confitería sin cacao; incl. el chocolate blanco (exc. chicle),89019,83837,110580,128755,154138,179483,190927,180077,171095,221819,237492,270182,366558,215444,231104,172542,168407,151819,126365,164450
060314,"""Crisantemos """"flores y capullos""""; cortados para ramos o adornos; frescos""",0,0,0,0,0,89161,87056,90453,108266,114856,125172,147419,150329,147086,146368,152841,152672,149433,126743,163554
010229,Animales vivos (excepto los de pura raza para reproducción),0,0,0,0,0,0,0,0,0,0,330647,277542,54290,45640,50444,44889,45652,55817,143849,151524
710813,Oro; incl. el oro platinado; semilabrado; para uso no monetario,34401,39489,47967,43856,50560,41643,66419,80091,97322,183203,194740,147516,140986,133126,129770,180325,136939,98972,134972,134698
850710,"""Acumuladores de plomo; de los tipos utilizados para arranque de motores de émbolo """"pistón"""" ...",8112,13592,18679,27354,39804,64414,73591,58418,65287,97308,91512,79830,97893,98021,94611,100630,103147,105045,106052,132217
020230,Carne deshuesada; de bovinos; congelada,2999,1598,3032,1702,2728,3030,6515,28319,2573,15945,34562,167556,26978,25727,19345,26069,49236,43642,64806,128449
841810,Frigoríficos-congeladores combinados; con puertas o cajones exteriores independientes; o combinaciones ...,23894,22033,39403,53127,54671,103489,115882,81928,67142,62996,79375,65033,56253,43323,68689,83268,65328,81689,82764,123875
710391,Rubíes; zafiros y esmeraldas; trabajados; incl. clasificados; pero sin ensartar; montar ni ...,91073,77951,72679,69977,88049,125041,152913,87863,108003,128435,116914,121781,134319,141929,137853,122897,121732,123199,33332,109020
151190,Aceite de palma y sus fracciones; incl. refinados; sin modificar químicamente (exc. aceite ...,3881,7287,5954,9707,18121,34711,69210,26913,35815,36110,44130,64906,63619,57239,36962,48939,60068,76610,77080,106335
210690,Preparaciones alimenticias; n.c.o.p.,25637,25441,39957,68030,58057,81976,99706,87418,59610,57314,73801,59118,61820,44476,53505,55822,56214,55036,79273,105295
380891,Insecticidas; presentados en formas o envases para la venta al por menor; o como preparaciones ...,0,0,0,0,0,28886,27112,36376,27093,27662,54984,172275,117679,205077,202719,168119,96811,147337,81118,102130
020130,Carne deshuesada; de bovinos; fresca o refrigerada,863,3019,3570,3809,18720,54219,192871,245568,4774,5964,3782,3353,4493,7598,14786,41250,21790,19865,47561,100694
271311,Coque de petróleo; sin calcinar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23148,34608,64061,33554,31766,98145
170114,Azúcar de caña; en estado sólido; (excepto los de la caña de azúcar 1701 13) sin adición de ...,0,0,0,0,0,0,0,0,0,0,94039,80613,81512,81468,81895,115999,116669,88116,124804,96096
961900,Compresas y tampones higiénicos; pañales para bebés y artículos similares; de cualquier materia,0,0,0,0,0,0,0,0,0,0,177036,165195,166560,140004,96498,96263,97842,93707,88285,94553
081090,"""Tamarindos frescos; los anacardos; la jaca; litchis; sapotillos; maracuyá; carambola; pitahaya ...",12081,12189,18870,30944,31487,36477,40041,37737,37838,43674,48462,51321,56562,55031,57044,62041,74863,80197,76931,94058
