Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
TOTAL,Todos los productos,4950400,5800404,5952582,7150688,7254866,8927619,9744538,8836345,9044841,10222241,11250804,11472064,11251853,9587045,9914296,10607355,11255809,11452817,11625662,21376871
854231,Circuitos electrónicos integrados tales como procesadores y controladores; sin combinación ...,0,0,0,0,0,1263451,1000257,635566,903988,1856501,2086210,2394105,1649407,27260,31481,51721,71754,43631,35960,3428999
901839,Agujas; catéteres; cánulas e instrumentos simil.; para uso médico (exc. jeringas; agujas tubulares ...,335702,436001,440746,401153,454008,488269,465071,377619,526833,540670,604567,618606,730016,851669,969832,902912,1315222,1479284,1498234,2530732
901890,Instrumentos y aparatos de medicina; cirugía o veterinaria; n.c.o.p.,15107,29214,37364,98023,134213,159880,150610,137963,194953,261302,359517,454776,630449,679273,724511,785561,841998,1017955,1313108,2225564
080390,Plátanos frescos o secos (plátanos excl.),0,0,0,0,0,0,0,0,0,0,704948,778391,905671,834284,994638,1042832,1028975,998345,1080971,1847290
080430,"""Piñas """"ananás""""; frescas o secas""",161114,198889,257245,328732,434617,486860,574921,444831,677392,718725,794794,831365,889148,821873,905311,980598,1038152,981012,922741,1621396
902139,Artículos y aparatos de prótesis (exc. prótesis dentales y articulares),0,0,0,4,167,22,47077,109812,202542,219603,233332,259515,260126,379659,432551,560010,606604,531029,382151,686679
999999,Materias no a otra parte especificadas,700,2750,92393,0,100,252764,11,2293099,60,0,0,0,0,0,0,0,0,0,0,511544
210690,Preparaciones alimenticias; n.c.o.p.,111081,132632,140150,147262,46417,185061,217728,167254,276389,295217,300783,351580,381245,401657,388802,407433,432404,470472,486791,413770
090111,Café sin tostar ni descafeinar,166271,193637,197640,262260,227858,254912,337429,215757,261841,375867,418564,302806,277330,305956,307910,305284,315757,276196,325620,352655
901819,"""Aparatos de electrodiagnóstico; incl. los aparatos par exploración funcional o para vigilancia ...",1055,766,1287,1080,1005,17362,24181,20535,26841,31619,8678,3128,11105,80705,123914,122461,183101,193260,235302,339428
890190,Barcos para transporte de mercancías; así como los concebidos para transporte mixto de personas ...,0,6,0,0,0,0,0,0,0,0,98,0,12,8,0,0,21,20,0,247100
902190,Aparatos que lleve la propia persona o se le implanten para compensar un defecto o incapacidad ...,19990,34365,29734,33008,35924,53683,220407,70842,90147,62102,36127,37970,26856,34760,64071,72771,87827,113249,179413,191944
902110,Artículos y aparatos de ortopedia o para fracturas,0,2,4,86,4,72,844,1293,909,1326,1649,1361,1791,2623,3142,3599,3503,26140,32511,182623
