Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
TOTAL,Todos los productos,5029751,6038499,7606121,9869357,12727796,13800364,18818325,13863050,17489922,22342524,23852017,24957644,25724432,18330608,16797667,19092352,21627978,22329379,20226568,26269228
270900,Aceites crudos de petróleo o de mineral bituminoso,1838496,2372314,3898508,5396840,6934010,7428356,10567947,6284131,8951941,11799973,12711229,13411759,13016020,6355235,5053937,6189824,7853414,7731163,4684794,7278164
030617,Camarones y langostinos congelados; incluso ahumado; incluso pelados o no; incl. camarones ...,0,0,0,0,0,0,0,0,0,0,0,1223394,1941021,1894670,2254581,2680773,2922137,3675300,3626519,5090381
080390,Plátanos frescos o secos (plátanos excl.),0,0,0,0,0,0,0,0,0,0,0,2248951,2494197,2731333,2657015,2953744,3134736,3185474,3577051,3393035
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,170911,153436,227943,354872,498672,749696,989777,594877,677167,1033855,863668,551717,200153,294102,380756,728341,946330,945852,563504,1319767
160414,"""Preparaciones y conservas de atún; de listado y de bonito """"Sarda spp.""""; enteros o en trozos ...",194642,211244,181970,250902,303399,329981,532251,334603,322811,563741,833977,1034111,1005391,706850,741363,1055478,1126408,1066211,1033422,1135871
180100,Cacao en grano; entero o partido; crudo o tostado,89173,112556,102364,114011,143288,190441,216511,342648,350199,471652,346191,433272,587528,705415,621970,573016,672949,657272,816392,819457
060311,"""Rosas """"flores y capullos""""; cortadas para ramos o adornos; frescas""",0,0,0,0,0,0,539143,475915,438400,503580,577281,610459,697617,604459,600569,597771,605481,648989,591243,649086
261690,Minerales de los metales preciosos y sus concentrados (exc. minerales de plata y sus concentrados),0,0,0,0,0,0,0,1259,9883,14667,27623,53038,33651,539,23950,68745,77288,98850,361060,591136
710812,Oro; incl. el oro platinado; en bruto; para uso no monetario (exc. en polvo),10958,10774,11023,14880,32822,60849,88607,53595,70082,131305,387161,420235,731838,680409,261729,167571,170288,194162,378490,572623
260300,Minerales de cobre y sus concentrados,141,197,314,410,396,1428,3848,3081,6784,14088,16289,21402,21678,1231,9561,29216,31940,31624,177473,490126
030616,"""Camarones y langostinos congelados""""Pandalus spp. Crangon crangon""""; incluso ahumado; incluso ...",0,0,0,0,0,0,0,0,0,0,0,564987,568453,381476,325572,362259,267611,215231,197016,232938
060319,Flores frescas y capullos; cortados; de una; para ramos o adornos (excepto rosas; claveles; ...,0,0,0,0,0,0,10662,51162,131843,150195,163569,178355,182916,170663,164485,180394,188386,184454,188258,216423
441019,"""Tableros de partículas y tableros similares; de madera u otras materias leñosas; incl. aglomeradas ...",0,0,0,0,0,0,32405,32451,38475,52480,61304,66909,77913,82706,86518,95667,116566,122671,117703,187198
071080,"""Hortalizas; incl. """"silvestres""""; aunque estén cocidas en agua o vapor; congeladas (exc. patatas ...",11,11,6,1,18,13,109,113,22532,39182,42405,39211,46660,79977,88900,102591,118763,137943,157189,159249
732111,Aparatos de cocción y calientaplatos; de uso doméstico; de fundición; hierro o acero; de combustibles ...,17435,11746,23551,38598,58521,84538,96815,83567,73699,79038,110508,107277,93239,74579,68712,78789,74272,63234,65810,125581
080310,Plátanos frescos o secos,0,0,0,0,0,0,0,0,0,0,0,83256,96009,88720,84990,84997,103548,125114,105385,107286
