Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
TOTAL,Todos los productos,2995069,3128003,3304581,3436476,3729993,4014539,4641070,3866080,4499243,5308179,5339088,5519300,5301546,4372604,4180333,4552996,4642690,4777618,4141009,5660025
611030,"""Suéteres """"jerseys""""; """"pullovers""""; cardiganes; chalecos y artículos simil.; de punto; de ...",0,162,4,25688,23328,33269,27308,19519,53712,53709,80266,103114,149849,126507,156668,198625,206923,178789,136227,225812
170114,Azúcar de caña; en estado sólido; (excepto los de la caña de azúcar 1701 13) sin adición de ...,0,0,0,0,0,0,0,0,0,0,159557,189424,176694,178121,124598,186532,158297,171849,186340,199668
610910,T-shirts y camisetas; de punto; de algodón,14629,13658,10758,598367,617287,658304,824520,575044,716811,703579,721162,736300,674241,194962,166373,148002,193263,183810,138513,173290
481810,Papel higiénico; en rollos; de anchura <= 36 cm,31665,30665,38356,47807,59200,78621,97515,96936,90586,107935,103438,117148,114396,113980,109870,117324,139092,159644,156831,172981
611596,Calcetines; de punto; de fibras sintéticas (exc. medias de mujer de título < 67 decitex por ...,0,0,0,0,0,1817,1404,914,1064,943,1137,12606,35631,36273,47918,128509,165688,159273,108811,156067
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",31083,37699,48387,50379,57311,62177,69420,64377,69820,67682,67676,73505,69793,81471,90418,78884,82914,104327,121425,137449
392330,"""Bombonas """"damajuanas"""" botellas; frascos y artículos simil. para transporte o envasado; de ...",9590,13567,23651,31961,35358,47405,62947,56910,67231,87555,98277,93938,91846,93876,85250,91258,98381,100919,98277,129558
610990,T-shirts y camisetas; de punto; de materia textil (exc. de algodón),113,43,39,36875,28620,49788,81201,46936,22685,43594,69858,74373,79136,88527,130190,131750,119958,118903,79145,128701
090111,Café sin tostar ni descafeinar,106683,105094,123103,163072,188144,186710,258124,229831,212673,463527,299786,233637,110358,148027,109187,120715,113147,111692,108007,122291
220299,bebidas no alcohólicas (exc. agua; jugos de frutas o vegetales; leche y cerveza),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7199,106820,112339,131455,71519,99912
611020,"""Suéteres """"jerseys""""; """"pullovers""""; cardiganes; chalecos y artículos simil.; de punto; de ...",2098,461,140,199295,169883,169468,123980,114668,120619,132355,107093,137452,136275,99972,81027,79361,92713,98092,53412,95084
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,59020,52586,55289,45908,64948,91369,107334,81174,96892,108319,114669,70169,58772,63215,60124,62804,61433,67580,64987,85818
190590,"""Productos de panadería; pastelería o galletería; incl. con adición de cacao; hostias; sellos ...",6050,5840,6614,27099,37293,39323,38970,39095,46579,60325,62008,53469,63911,64660,68097,70799,73720,89408,72375,85340
610343,"""Pantalones largos; pantalones con peto; pantalones cortos """"calzones"""" y """"shorts""""; de punto; ...",26,15,72,4700,11097,14381,14856,18184,21644,25855,42020,48500,36542,32460,28356,49835,61184,45982,43080,83762
160414,"""Preparaciones y conservas de atún; de listado y de bonito """"Sarda spp.""""; enteros o en trozos ...",0,3663,31073,51959,49215,92834,106357,73686,65022,67706,96977,106607,97831,74036,77448,88789,84920,77623,74952,80437
271112,Propano; licuado,133,140,0,0,0,0,0,359,743,1090,157,75,0,37,0,1,7,10625,27044,77767
392321,"""Sacos """"bolsas""""; bolsitas y cucuruchos; de polímeros de etileno""",3444,3959,4193,7105,8846,15634,19103,22987,37031,48528,55227,62126,69876,71212,63245,62400,61676,63325,58231,74416
481910,Cajas de papel o cartón corrugado,18111,17470,19397,22838,24417,22463,22904,25157,25929,29669,30900,34474,32170,34741,36721,41329,43712,48090,41691,66712
392020,Placas; láminas; hojas y tiras; de polímeros no celulares de propileno y sin esfuerzo; estratificación ...,8007,7565,6339,4316,3719,16921,13687,9155,9365,9987,9596,11844,10160,10303,15323,35568,26548,32001,34637,63999
621210,"""Sostenes """"corpiños"""" de todo tipo de materia textil; incl. elásticas y de punto""",2637,1568,2255,36444,28697,35007,38438,46465,53524,52473,50994,64850,75929,73304,76227,80027,70762,57620,47764,61629
271119,Hidrocarburos gaseosos; licuados; n.c.o.p. (exc. gas natural; propano; butanos; etileno; propileno; ...,35,0,29,0,0,0,0,121,3,27,255,396,1,0,0,16781,93845,53935,38566,59320
210690,Preparaciones alimenticias; n.c.o.p.,35981,29942,32801,16442,15077,15257,18248,15357,12662,15087,16064,19147,20258,23011,25003,30408,33790,45626,54071,58029
961900,Compresas y tampones higiénicos; pañales para bebés y artículos similares; de cualquier materia,0,0,0,0,0,0,0,0,0,0,310,461,247,652,163,101,26,7,93,57728
392690,Artículos de plástico y manufacturas de las demás materias de las partidas 3901 a 3914; ncop ...,3380,4149,3576,10244,16159,15163,22870,19415,26058,14836,16844,21494,28539,27987,27744,30381,16058,35699,26981,55649
610463,Pantalones; pantalones con peto; calzones y pantalones cortos de punto; de fibras sintéticas; ...,11,42,55,3084,4424,2688,5080,7132,20124,22204,18437,29365,30102,27121,33547,60381,57131,32634,40055,49896
600622,"""Tejidos de punto; de anchura > 30 cm; de algodón; teñidos (exc. tejidos de punto por urdimbre; ...",5582,5822,7718,7844,14226,14650,20848,22309,28613,24096,20607,26074,34645,45472,50256,56025,63483,59562,34880,47372
600632,"""Tejidos de punto; de anchura > 30 cm; de fibras sintéticas; teñidos (exc. tejidos de punto ...",332,0,1,777,868,791,479,2844,4798,6420,11862,19371,25706,33012,55028,62986,63170,66480,35253,46037
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,37278,36207,42297,36530,29631,31618,52180,52156,15022,45889
190410,Productos a base de cereales obtenidos por inflado o tostado; p.ej. hojuelas; copos de maíz,20414,28634,28281,12542,14176,17698,15805,30369,42761,39684,34573,38222,36309,35130,35027,30459,34230,40047,35473,42166
540233,Hilados texturados; de filamentos de poliésteres (exc. hilos de coser e hilados acondicionados ...,132,207,146,565,1229,5030,9042,8950,11945,14944,27746,30984,36280,39148,35717,40582,36726,40839,28766,41990
170490,Artículos de confitería sin cacao; incl. el chocolate blanco (exc. chicle),19192,9913,9699,10946,12364,12424,13580,14772,21473,26468,31835,31941,32775,31043,31889,34417,36015,35845,31891,41953
481920,Cajas y cartonajes; plegables; de papel o cartón; sin corrugar,13709,18340,19056,18505,22062,27696,29616,30376,27468,36979,35223,34482,32030,31685,28603,29245,34064,37404,31441,40277
520513,"""Hilados de algodón; sencillos; de fibras sin peinar; con un contenido de algodón >= 85% en ...",4165,3732,6287,4036,693,1681,2667,5274,6423,11460,8132,8274,13653,16931,25945,26246,22857,33956,20752,39715
681182,Paneles; losetas; tejas y artículos simil.; de celulosacemento o simil. (exc. placas onduladas),0,0,0,0,0,3946,5357,8627,12297,18324,18392,21903,22391,20666,27770,31439,22230,35465,28526,39122
170310,Melaza de caña; procedente de la extracción o del refinado del azúcar,10507,7397,7139,9280,10356,15016,10732,14094,23961,24160,28520,37857,27240,31796,28071,28264,22232,23987,38426,38177
611595,"""Medias; calcetines y artículos simil.; incl. para varices; de punto; de algodón (exc. calzas; ...",0,0,0,0,0,377,4352,39796,124979,155585,182397,167909,169574,176008,118390,83126,42392,31403,25437,37800
721420,Barras de hierro o acero sin alear; con muescas; cordones; huecos o relieves; producidos en ...,8643,9787,16568,22146,32841,46578,45434,32204,31915,43093,41846,36436,18843,21842,19284,20549,24250,20228,20502,36742
392410,Vajilla y demás artículos para servicio de mesa o de cocina; de plástico,10629,10903,13008,18747,20007,24760,28006,26003,28443,33949,35424,39133,43699,48419,50395,39899,35530,35152,26860,36209
110220,Harina de maíz,6919,5870,7951,15909,22508,36491,37713,34155,32545,45740,43084,39161,24525,26095,30929,25729,28294,32252,35336,34468
611120,"""Prendas y complementos """"accesorios"""" de vestir; de punto; de algodón; para bebés (exc. gorras)""",495,766,1951,16771,19091,20549,24304,26968,29905,30689,28484,28361,27729,26992,15025,16777,20812,26912,16076,34111
170199,Azúcar de caña o remolacha y sacarosa químicamente pura; sólidos (exc. los con adición de aromatizante ...,50,13,382,462,47,5254,11768,13325,32926,32099,31797,19120,14781,14178,24638,33109,19248,20255,28216,34054
610462,Pantalones; pantalones con peto; calzones y pantalones cortos de punto; de algodón; para mujeres ...,301,451,99,39703,43926,41823,36223,42460,51178,44671,54123,67255,63547,44468,39706,22931,27799,21922,11330,33212
630493,Artículos de moblaje de fibras sintéticas (exc. de punto; así como mantas; ropa de cama; de ...,0,0,0,0,0,5,16,112,152,236,340,348,364,359,343,457,946,5186,15645,30282
722599,"""Productos planos de aceros aleados; distinto del acero inoxidable; de anchura >= 600 mm; laminados ...",0,749,1891,4084,7111,7669,3493,4834,3199,4132,5193,14382,6511,12116,11905,22037,29104,26698,21128,29893
610342,"""Pantalones largos; pantalones con peto; pantalones cortos """"calzones"""" y """"shorts""""; de punto; ...",3368,2411,595,21461,23754,17969,22005,31436,28205,38654,29506,40428,51144,43547,41408,28105,30721,30219,18144,29481
340220,Preparaciones tensoactivas; preparaciones para lavar; incl. las preparaciones auxiliares de ...,30617,27589,28143,31309,39282,34645,20188,9699,15536,17104,18429,17477,28582,32560,35939,29608,31955,28764,28392,29394
230990,Preparaciones de los tipos utilizados para la alimentación de los animales (exc. alimentos ...,3618,3757,3282,3640,5531,8227,10765,3446,3677,4280,1164,3248,3518,4188,5443,7208,6764,7735,16148,29357
760200,Desperdicios y desechos; de aluminio,3316,7924,9747,9930,14973,19903,15247,9789,18576,22781,18660,17908,21779,14196,12157,17853,18983,17999,12445,28167
320910,Pinturas y barnices a base de polímeros acrílicos o vinílicos; dispersos o disueltos en un ...,3419,3995,4124,2936,27,10,9203,8558,9128,12188,12938,11964,13877,14621,15580,15464,16433,20606,16641,27558
040620,Quesos y requesón - Queso de cualquier tipo; rallado o en polvo,0,0,2,25,104,287,363,217,5110,8284,422,14092,12705,13254,10168,12967,14994,15409,23862,27073
220210,Agua; incl. el agua mineral y la gaseada; con adición de azúcar u otro edulcorante o aromatizada; ...,16838,17535,12000,14402,11711,13417,17035,21481,26654,26193,24083,23435,20387,18081,19952,19394,22623,18903,14062,26146
610520,"""Camisas de punto; de fibras sintéticas o artificiales; para hombres o niños (exc. camisones; ...",705,33,127,30323,24050,20438,16199,17759,20912,18311,23412,30641,28863,16769,17502,18984,27403,19903,17502,25526
580620,Cintas de materia textil; tejidas; con un contenido de hilos de elastómeros o de hilos de caucho ...,24,6,59,1022,1158,11813,17742,22173,35452,34908,31463,35286,30245,22269,21447,23250,24682,21155,18923,24367
730661,Tubos y perfiles huecos; soldados; de sección cuadrada o rectangular,0,0,0,0,0,868,463,2274,3935,4715,5680,6006,8260,10830,12287,15387,19098,19036,18190,24103
