Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
TOTAL,Todos los productos,2875098,3142437,3685247,4419363,4920567,6530363,8153858,5922938,6895088,8541779,8646776,8603906,7984500,8386748,7918034,8612909,9428835,9157061,7971839,11631003
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,26432,359435,413506,692028,729672,904705,1404185,790268,1052629,1444769,1522644,1605767,1342740,911885,708484,795951,925663,1030206,671641,978815
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,573927,514662,476673,371538,351153,412143,506361,526778,386227,594780
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",103508,102417,111938,151108,115697,232412,291339,245593,279583,294413,265266,243930,227255,259221,290551,267396,316967,323203,341610,414973
100590,Maíz (exc. ??las de siembra para siembra),29240,21593,31035,39831,50942,47413,64077,69701,82168,145856,118073,109994,96149,118015,116419,93542,125595,142898,155192,220163
210690,Preparaciones alimenticias; n.c.o.p.,52259,47492,46613,54107,18053,60308,66689,73090,81725,103707,129505,142820,137763,134934,135270,137712,151059,164660,175552,214049
870421,"""Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) ...",46979,55904,58095,80230,106905,142927,131831,66858,78841,98859,130922,113509,92788,115575,132714,142457,155027,145053,115982,189774
851712,"""Telefonía celular """"teléfonos móviles"""" o radiotelefonía""",0,0,0,0,0,63566,92047,108594,100265,89113,105480,115970,136280,138950,118648,130831,153162,172460,137788,164971
870323,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",33797,45240,48772,49894,62540,86179,73104,54365,52180,54252,61351,59062,49161,71049,102388,126656,131503,116393,83293,156484
721061,Productos planos de hierro o acero sin alear; de anchura >= 600 mm; laminados en frío o en ...,2915,1843,1059,1988,3779,3212,6347,14794,23737,45112,63448,48217,39970,47166,39003,59069,68591,57269,57871,151851
230400,Tortas y demás residuos sólidos de la extracción del aceite de soja (soya); incluso molidos ...,27263,24743,38246,32426,45005,38741,46723,58045,65572,72883,95476,105949,106680,87119,79829,81783,100068,91531,113309,150447
721049,Productos planos de hierro o acero sin alear; de anchura >= 600 mm; laminados en frío o en ...,1438,1602,2008,4441,561,4106,5618,7008,14797,18930,13314,8380,7265,9975,29762,65271,69559,67360,78670,141565
871120,"""Motocicletas; incl. los ciclomotores; con motor de émbolo """"pistón"""" alternativo de cilindrada ...",791,1191,4255,7823,10734,23107,40982,23023,34015,46846,59023,51914,42712,55831,72398,74493,90177,71617,61492,132321
630900,Artículos de prendería,6539,7945,9153,11727,16330,21813,23685,25491,31533,35364,36966,41972,44747,57660,71204,87108,90585,90236,76128,123926
852872,Aparatos receptores para televisión en color; sin radio receptor incorporado; aparatos reproductodes ...,0,0,0,0,0,20737,37481,37928,55202,50943,58811,52449,49290,56379,62904,55913,75848,77043,46651,115785
020329,Carne de porcinos; congelada (exc. canales o medias canales; así como piernas; paletas y sus ...,2477,3581,4666,4536,5951,7339,9669,11764,16822,13379,12549,26753,31183,37627,41921,51289,57480,63101,71838,114050
720720,Productos intermedios de hierro o acero sin alear; con un contenido de carbono >= 0;25% en ...,522,0,1479,4010,8768,13218,20788,7172,10068,16773,14321,23238,18522,23370,14991,40864,68047,52774,58480,111000
220300,Cerveza de malta,3338,4900,3665,4457,6891,7800,10083,9836,10480,15574,20643,18021,14181,18181,24418,34001,47520,59369,43951,84572
847130,Máquinas automáticas para tratamiento o procesamiento de datos; digitales; portátiles; de peso ...,8513,10990,10045,10846,22504,28691,34981,39659,48826,58186,59529,70427,32236,33267,34133,29850,33549,33456,39615,77036
230990,Preparaciones de los tipos utilizados para la alimentación de los animales (exc. alimentos ...,16112,16808,16088,22891,23592,31873,33268,36079,34256,38003,34403,50764,59915,63030,53930,66046,79554,68431,86965,74663
310210,Urea; incl. en disolución acuosa (exc. en tabletas o formas simil. o en envases de un peso ...,8911,10480,7703,9999,24057,27687,22402,18667,27146,53572,58777,57774,38109,36211,34131,40795,52327,38692,50692,70353
870431,Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) de ...,31518,13396,10793,9896,11464,24381,35604,37641,35437,36686,30843,19757,15479,16419,21276,27343,29593,40072,28278,68076
854449,Conductores eléctricos; para una tensión <= 80 V; sin piezas de conexión; n.c.o.p.,222,186,356,155,251,34276,45886,16429,29740,35991,32939,29784,37754,32430,26548,41128,49099,40372,35984,67498
300220,Vacunas para medicina humana,12356,8663,5310,7225,5305,8031,9615,11074,19275,34132,42484,44240,13151,18596,23051,17566,20412,26412,17666,66543
481810,Papel higiénico; en rollos; de anchura <= 36 cm,15403,17440,18185,22454,8190,31043,35935,39067,40883,41531,44842,47260,46178,51968,46673,54492,49508,62290,59136,66038
401120,"""Neumáticos """"llantas neumáticas"""" nuevos de caucho; de los tipos utilizados en autobuses o ...",9125,9131,10026,13203,14487,20195,15735,11034,14271,17975,19957,18425,23265,31812,33669,37163,39159,38572,31373,62994
721420,Barras de hierro o acero sin alear; con muescas; cordones; huecos o relieves; producidos en ...,8773,9802,15587,14498,13106,22030,22305,24907,24849,36249,33425,31492,25843,31056,51952,39426,50410,38853,37794,62437
271112,Propano; licuado,8464,19292,27387,39475,57619,50438,63364,38027,58134,73882,61837,68191,20156,15812,29265,37519,49585,31845,28176,59414
961900,Compresas y tampones higiénicos; pañales para bebés y artículos similares; de cualquier materia,0,0,0,0,0,0,0,0,0,0,41296,43120,40364,49334,50392,52605,59674,57427,54306,57498
100610,"""Arroz con cáscara o arroz """"paddy""""""",14019,16081,25875,35362,32570,20540,46914,43551,36536,42063,47467,42038,49823,42657,41692,40362,58262,44720,52993,57085
841810,Frigoríficos-congeladores combinados; con puertas o cajones exteriores independientes; o combinaciones ...,1350,2014,1754,1105,4345,6251,4388,7540,8733,15708,15634,561,778,1872,383,867,22588,31337,26147,54135
851762,Máquinas para la recepción; conversación y transmisión o regeneradores de voz; imagenes; incl. ...,0,0,0,0,0,11668,34695,18863,24805,23545,23794,26146,29489,32400,36005,31828,43423,53643,42252,53621
382200,Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico ...,3140,3486,3776,4417,4517,6267,7454,7435,10440,12667,20668,9424,10607,17827,18318,18764,18694,22596,48762,53472
392330,"""Bombonas """"damajuanas"""" botellas; frascos y artículos simil. para transporte o envasado; de ...",24539,20296,18423,22842,9393,34957,43148,31812,37423,40696,38100,37091,33557,31838,29517,30231,31017,35481,44471,52607
870422,"""Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) ...",25702,10919,9449,15713,23304,31024,41357,31360,25130,27750,27575,20003,17531,19777,18946,21450,23770,23356,19008,52375
220299,bebidas no alcohólicas (exc. agua; jugos de frutas o vegetales; leche y cerveza),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27380,22172,31743,33180,51921
330210,Mezclas de sustancias odoríferas y mezclas; incl. las disoluciones alcohólicas; a base de una ...,19685,19513,19682,20957,24298,30288,29443,30672,35377,27918,11967,16902,15217,34370,36325,38985,39689,43262,44858,51884
100199,Trigo y morcajo (exc. ??las de siembra para la siembra; y el trigo duro),0,0,0,0,0,0,0,0,0,0,58408,72234,55840,48186,59877,36816,61871,44095,34116,49545
721070,Productos planos de hierro o acero sin alear; de anchura >= 600 mm; laminados en frío o en ...,894,1492,1775,2574,1499,4916,5666,3966,7047,12283,16427,13954,9375,10602,19558,21426,25679,28051,20401,47423
