Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
TOTAL,Todos los productos,168650541,170545787,196808375,221818980,256085920,281926513,308583120,234384532,301481734,350842806,370751407,381210149,399984248,395232368,387064500,420369150,464276595,455235784,382979896,506565459
999999,Materias no a otra parte especificadas,3119175,1008050,1832366,2279372,3182572,16502191,4662855,4461221,5776780,7312386,10439999,8583131,31144029,11701783,12725082,15068689,17161437,37975177,34160941,74477401
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,18192816,17104344,15270320,13409153,11677855,14935298,19419809,17337809,10444226,15646910
854231,Circuitos electrónicos integrados tales como procesadores y controladores; sin combinación ...,0,0,0,0,0,0,4362014,4096492,5634720,6400037,6465662,7187704,7624736,7804358,8111083,8903301,11324947,12855665,12493452,14766680
271121,Gas natural; en estado gaseoso,822887,1670898,2187844,2255510,1868396,1789800,2737891,1165856,1363689,1966983,1677275,2498864,3132074,2958261,3275297,4857814,5628694,5293629,4447905,11917398
847330,Partes y accesorios para máquinas automáticas para tratamiento de información y demás máquinas ...,4092928,4715022,5412925,4747184,4741290,3976565,2780732,3337087,5381567,5016449,5635752,5500933,5515285,5386257,5782643,5899991,7960239,9089664,9136400,10822897
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,680311,894997,842427,1816747,2595113,3628307,6005680,3186869,5215441,8613424,9036334,8225097,8002191,6550809,6329226,9832637,13898003,12191868,6516353,9132173
901380,Dispositivos de cristal líquido; n.c.o.p. y los demás instrumentos e aparatos de óptica de ...,260151,202640,686147,1079957,3336167,5553891,4731740,1838986,2588859,2329790,1861060,2134257,2645743,4427967,3768829,3642734,3028794,3813734,4052985,7616955
851762,Máquinas para la recepción; conversación y transmisión o regeneradores de voz; imagenes; incl. ...,0,0,0,0,0,0,1830751,1892238,2752892,3486385,3524782,3342859,3894756,6165335,6462745,6016186,6467297,6104569,6089312,6550279
854239,Circuitos electrónicos integrados (exc. como procesadores; controladores; memórias y ampli ...,0,0,0,0,0,0,3120203,2512856,3025803,2957432,2758607,3174041,3217985,3353644,3649856,3883838,3914256,4177933,3977463,5463817
