Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
TOTAL,Todos los productos,1661285,1926601,2657967,3260075,4774827,5874802,9061829,6961626,10033466,12366126,11555136,12142040,12168558,10291214,9752574,11874760,13334452,12187407,9936281,13559729
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,0,273181,367557,407549,582269,582815,1113390,787238,867210,1146075,1363944,1243668,1373665,1027433,798982,894122,1188692,1087986,829853,1099857
851712,"""Telefonía celular """"teléfonos móviles"""" o radiotelefonía""",0,0,0,0,0,67916,147761,146309,505543,463603,458098,618955,467205,305761,478069,565550,625098,1378507,961349,882814
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,370482,395330,419804,296648,292844,387646,541855,440596,313978,511478
847130,Máquinas automáticas para tratamiento o procesamiento de datos; digitales; portátiles; de peso ...,3058,3594,3120,41580,245791,364975,402010,319724,339569,334269,278336,207811,122181,54644,70967,147651,103467,135806,87424,217504
851762,Máquinas para la recepción; conversación y transmisión o regeneradores de voz; imagenes; incl. ...,0,0,0,0,0,62283,83596,55060,87009,116313,89677,90001,90120,106322,102383,179511,222600,262082,160734,207928
870421,"""Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) ...",13490,17175,35982,37844,43663,73309,127875,87908,135733,193614,211851,200188,203743,172172,154205,200237,237315,155762,119991,204914
401120,"""Neumáticos """"llantas neumáticas"""" nuevos de caucho; de los tipos utilizados en autobuses o ...",14877,24893,36784,39513,51314,62056,78635,55905,92290,118249,80542,99278,89261,78564,95194,106010,122649,110999,96091,195640
220300,Cerveza de malta,7482,2730,4139,6656,11345,18453,30075,27074,39978,62567,75076,70108,116112,120525,112621,139317,138591,133387,115213,154156
310520,Abonos minerales o químicos con los tres elementos fertilizantes: nitrógeno; fósforo y potasio ...,29143,47214,68840,64767,72590,158902,205772,130298,190916,285159,267296,308254,307764,225935,152935,137986,138640,90160,106383,152463
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",19100,19070,27419,27302,29804,32259,42060,47674,59408,69400,77045,83892,83701,95513,104351,96412,114081,120528,113357,148017
870323,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",2219,2024,4533,9932,23971,45013,98792,76201,104369,152722,117248,121058,134186,119247,120033,183943,239533,191846,141151,147585
310540,"""Dihidrogenoortofosfato de amonio """"fosfato monoamónico""""; incl. mezclado con el hidrogenoortofosfato ...",4,61,1236,49,0,21,0,1339,366,5355,5115,11692,19061,35478,55080,71416,93922,87884,83665,138415
870322,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",597,579,1489,4843,12352,32797,73238,58969,111924,134543,120212,137294,152275,127060,123080,158127,189352,147321,106440,130592
310420,Cloruro de potasio; para su utilización como abono (exc. en tabletas o formas simil. o en envases ...,302,454,1000,641,1610,2558,4656,6191,12765,33728,35627,37317,49262,47492,58520,68110,91838,104137,81076,112870
380892,Fungicidas; presentados en formas o envases para la venta al por menor; o como preparaciones ...,0,0,0,0,0,44801,70918,46345,64487,87805,61659,70729,87089,133953,126419,142797,137418,142239,115005,112217
380893,Herbicidas; inhibidores de germinación y reguladores del crecimiento de las plantas; presentados ...,0,0,0,0,0,57626,123161,70278,73569,71411,83535,121694,121780,118827,88013,90648,118171,113092,111975,110672
760612,"""Chapas y tiras; de aleaciones de aluminio; de espesor > 0;2 mm; cuadradas o rectangulares ...",183,154,198,190,272,560,624,526,525,899,636,979,1118,1177,762,1290,1353,13829,52097,106749
380891,Insecticidas; presentados en formas o envases para la venta al por menor; o como preparaciones ...,0,0,0,0,0,53634,90398,52091,67182,89601,97284,111478,108024,76268,61589,80846,115438,110858,98745,103996
854370,Partes de máquinas y de aparatos eléctricos; con función propia; n.c.o.p. del capítulo 85,0,0,0,0,0,10600,13247,9877,12449,17393,20913,15021,17767,13339,14301,21004,23878,26319,14579,96547
847330,Partes y accesorios para máquinas automáticas para tratamiento de información y demás máquinas ...,33353,25769,24257,112028,353955,237265,139621,99629,95188,83305,57194,99658,59883,26375,46053,171970,193629,51487,37319,94137
854449,Conductores eléctricos; para una tensión <= 80 V; sin piezas de conexión; n.c.o.p.,269,398,959,1321,2638,7794,11797,8329,9214,8532,10430,18210,19282,29548,31326,47613,68701,67636,53217,86237
300220,Vacunas para medicina humana,2010,2296,3899,5244,6010,5108,7574,7918,10494,17348,17399,22181,24989,15649,23955,9079,13164,20575,21528,79629
721061,Productos planos de hierro o acero sin alear; de anchura >= 600 mm; laminados en frío o en ...,2813,4554,6740,5434,9353,11260,22840,12592,26699,38005,29887,24522,53446,32761,31409,42184,70847,34011,29186,78839
871120,"""Motocicletas; incl. los ciclomotores; con motor de émbolo """"pistón"""" alternativo de cilindrada ...",1939,2037,12309,25697,41228,55470,103001,50934,102738,104533,81982,71585,70822,65545,63481,67332,69559,57640,46495,77006
210690,Preparaciones alimenticias; n.c.o.p.,10784,10807,16559,23180,30237,36193,46488,51184,57183,62202,69530,82974,91539,80488,82915,84905,80413,79218,75723,76309
