Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
TOTAL,Todos los productos,11673376,8357732,14697161,21848134,30559000,43446241,47450067,38676637,32342887,48725657,59073186,44951787,39621848,28871844,15975170,10909178,12077063,6223350,6873774,7248817
999999,Materias no a otra parte especificadas,0,2,0,10,6152673,0,319871,414195,66795,2148842,2542474,3638789,1349905,695742,332215,455635,648697,156621,274033,500087
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,0,0,0,0,11365,48156,132805,175702,52404,78624,77529,57171,928980,650893,490705,506048,1264770,652873,938215,216609
150790,"""Aceite de soja """"soya"""" y sus fracciones; incl. refinados; sin modificar químicamente""",15173,10276,12764,5957,3168,4408,10647,14458,8258,62544,63126,88733,79063,32818,8579,28018,38074,47205,103184,204087
230400,Tortas y demás residuos sólidos de la extracción del aceite de soja (soya); incluso molidos ...,112909,152363,222248,192446,204544,293757,559390,468676,559326,592652,618718,747185,581421,376536,326589,160079,186988,165310,88661,191290
100590,Maíz (exc. ??las de siembra para siembra),45414,77350,68806,18412,5171,104287,321130,283124,249818,277117,557240,744109,518947,409867,326359,315691,263080,164991,291133,170719
100199,Trigo y morcajo (exc. ??las de siembra para la siembra; y el trigo duro),0,0,0,0,0,0,0,0,0,0,0,0,408034,300414,192056,163794,160241,78667,84057,148458
190219,Pastas alimenticias sin cocer; rellenar ni preparar de otra forma; que no contengan huevo,1889,1981,2457,2395,2096,1794,3367,4072,4340,30151,37235,37610,49405,5453,28186,153023,52771,96189,127821,130183
100630,Arroz semiblanqueado o blanqueado; incl. pulido o glaseado,123,10014,185,299,360,339,30718,19464,271,36328,66231,61459,1465,41994,31414,69834,117656,100961,155725,128805
851712,"""Telefonía celular """"teléfonos móviles"""" o radiotelefonía""",0,0,0,0,0,0,0,0,0,0,0,0,421651,286218,25439,51192,70450,69537,117484,123260
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",287121,256568,323989,412028,455325,820559,986172,1325474,1439709,1696998,2097830,1829373,1467045,1063865,773134,240626,132175,112155,103286,122530
170199,Azúcar de caña o remolacha y sacarosa químicamente pura; sólidos (exc. los con adición de aromatizante ...,3208,6326,4612,2467,1,6403,6722,20511,4559,4563,9111,7952,16153,7091,15146,25872,27930,45468,127386,116764
100610,"""Arroz con cáscara o arroz """"paddy""""""",5,7585,50,5,140,145,22472,16932,7,146214,170393,160100,242384,98164,117032,76220,174953,122529,93359,101634
210690,Preparaciones alimenticias; n.c.o.p.,62957,52818,65367,105459,89265,192580,198407,186813,126832,190241,220713,215147,300010,265946,94007,35993,20621,46689,65483,99842
851711,Teléfonos de usuario de auricular inalámbrico combinado con micrófono,1776,570,2244,4188,6098,13893,6501,4514,8240,9655,10109,16684,2560,187,202,1871,1270,10736,39905,94519
170114,Azúcar de caña; en estado sólido; (excepto los de la caña de azúcar 1701 13) sin adición de ...,0,0,0,0,0,0,0,0,0,0,0,0,321315,169961,108247,101400,146082,25694,51235,82659
110100,Harina de trigo o de morcajo (tranquillón),12,23696,1029,3019,483,11,7285,51,172,1650,116,665,22125,15,6404,42518,28729,52177,87584,81307
