C9_CARRERA,SELECT,C9P901_ORD,C9P901,C9P902,C9P903,C9P904,C9P905,C9P906,C9P907,C9P908,C9P909,C9P910,C9P911,C9P912,C9P913,C9P914,C9P915,C9P916,C9P917,C9P918,C9P919,C9P920,C9P921,C9P922,C9P923,C9P924,C9P925,C9P926
132,U0001,1,ARQUITECTURA,10,4,70,170,85,84,75,64,2,1,0,0,13,9,1,2,2,0,0,0,0,0,750,5500,1
133,U0001,2,ESTOMATOLOGIA,12,4,67,118,63,61,58,60,5,4,3,2,19,19,8,2,2,0,0,0,0,0,750,6050,1
134,U0001,3,OBSTETRICIA,12,4,64,165,101,96,87,60,3,2,1,0,32,42,27,2,2,0,0,0,0,0,750,4950,1
135,U0001,4,PSICOLOGIA,10,4,63,132,88,86,74,57,3,2,2,2,11,17,11,2,2,0,0,0,0,0,750,4290,1
136,U0001,5,TECNOLOGA MEDICA,10,4,55,117,28,28,24,50,2,2,2,1,10,9,9,2,2,0,0,0,0,0,750,4620,1
137,U0001,6,ECOLOGIA,10,4,56,140,11,11,11,51,3,3,1,1,9,9,5,2,2,0,0,0,0,0,750,4950,1
138,U0001,7,INGENIERIA CIVIL,10,4,70,240,170,161,137,70,2,1,1,1,13,16,13,2,2,0,0,0,0,0,750,4950,1
139,U0001,8,INGENIERIA DE SISTEMAS DE INFORMACION,10,4,70,240,63,60,52,70,1,1,0,0,8,12,8,2,2,0,0,0,0,0,750,4290,1
140,U0001,9,DERECHO,12,4,70,211,211,210,191,66,5,3,2,1,57,66,27,2,2,0,0,0,0,0,750,4840,1
141,U0001,10,ADMINISTRACION DE EMPRESAS,10,4,70,204,176,174,162,65,5,4,3,2,49,34,11,2,2,0,0,0,0,0,750,4290,1
142,U0001,11,CONTABILIDAD Y FINANZAS,10,4,69,188,107,106,99,67,4,3,0,0,29,35,29,2,2,0,0,0,0,0,750,4290,1
143,U0001,12,TURISMO Y HOTELERIA,10,4,70,187,46,46,37,66,1,1,0,0,12,18,7,2,2,0,0,0,0,0,750,4290,1
144,U0001,13,MEDICINA VETERINARIA,12,4,67,90,11,11,9,24,2,2,1,1,0,0,0,2,2,0,0,0,0,0,750,4620,1
145,U0001,14,INGENIERIA AMBIENTAL,10,4,55,190,51,50,50,50,2,2,1,1,0,0,0,2,2,0,0,0,0,0,750,4950,1
146,U0001,15,CIENCIAS DE LA COMUNICACION,10,4,70,180,32,32,32,65,4,4,1,1,6,6,6,2,2,0,0,0,0,0,750,3300,1
929,U0002,1,AGRONOMIA,10,4,60,45,110,45,45,24,7,11,3,1,1,1,1,2,2,0,0,0,0,0,1,1,5
930,U0002,2,ADMINISTRACION,10,4,61,60,378,60,400,40,10,7,9,6,1,1,1,2,2,0,0,0,0,0,1,1,5
931,U0002,3,COMERCIO Y NEGOCIOS INTERNACIONALES,10,4,62,60,245,60,60,32,4,10,3,1,1,1,1,2,2,0,0,0,0,0,1,1,5
932,U0002,4,CONTABILIDAD,10,4,1,1,1,1,1,70,35,20,1,2,1,1,1,2,2,0,0,0,0,0,1,1,5
933,U0002,5,ECONOMIA,10,4,65,60,287,60,60,65,24,30,2,3,1,1,1,2,2,0,0,0,0,0,1,1,5
934,U0002,6,CIENCIAS BIOLOGICAS,10,4,68,45,230,45,45,45,5,15,5,5,1,1,1,2,2,0,0,0,0,0,1,1,5
935,U0002,7,ESTADISTICA,10,4,54,58,108,58,58,24,8,6,1,2,1,1,1,2,2,0,0,0,0,0,1,1,5
936,U0002,8,FISICA,10,4,1,1,1,1,1,11,1,1,1,1,1,1,1,2,2,0,0,0,0,0,1,1,5
937,U0002,9,COMPUTACION E INFORMATICA,10,4,53,52,260,52,52,23,2,5,1,0,1,1,1,2,2,0,0,0,0,0,1,1,5
