C9P901,C9P902,C9P903,C9P904,C9P908,C9P914,C9P917,C9P918,C9P920,C9P921,C9P922,C9P923,C9P924,C9P925,C9P926
ARQUITECTURA,10,4,70,75,13,No,No,0,0,0,0,750,5500,Mensual
ESTOMATOLOGIA,12,4,67,58,19,No,No,0,0,0,0,750,6050,Mensual
OBSTETRICIA,12,4,64,87,32,No,No,0,0,0,0,750,4950,Mensual
PSICOLOGIA,10,4,63,74,11,No,No,0,0,0,0,750,4290,Mensual
TECNOLOGA MEDICA,10,4,55,24,10,No,No,0,0,0,0,750,4620,Mensual
ECOLOGIA,10,4,56,11,9,No,No,0,0,0,0,750,4950,Mensual
INGENIERIA CIVIL,10,4,70,137,13,No,No,0,0,0,0,750,4950,Mensual
INGENIERIA DE SISTEMAS DE INFORMACION,10,4,70,52,8,No,No,0,0,0,0,750,4290,Mensual
DERECHO,12,4,70,191,57,No,No,0,0,0,0,750,4840,Mensual
ADMINISTRACION DE EMPRESAS,10,4,70,162,49,No,No,0,0,0,0,750,4290,Mensual
CONTABILIDAD Y FINANZAS,10,4,69,99,29,No,No,0,0,0,0,750,4290,Mensual
TURISMO Y HOTELERIA,10,4,70,37,12,No,No,0,0,0,0,750,4290,Mensual
MEDICINA VETERINARIA,12,4,67,9,0,No,No,0,0,0,0,750,4620,Mensual
INGENIERIA AMBIENTAL,10,4,55,50,0,No,No,0,0,0,0,750,4950,Mensual
CIENCIAS DE LA COMUNICACION,10,4,70,32,6,No,No,0,0,0,0,750,3300,Mensual
AGRONOMIA,10,4,60,45,1,No,No,0,0,0,0,1,1,No aplica
ADMINISTRACION,10,4,61,400,1,No,No,0,0,0,0,1,1,No aplica
COMERCIO Y NEGOCIOS INTERNACIONALES,10,4,62,60,1,No,No,0,0,0,0,1,1,No aplica
CONTABILIDAD,10,4,1,1,1,No,No,0,0,0,0,1,1,No aplica
ECONOMIA,10,4,65,60,1,No,No,0,0,0,0,1,1,No aplica
CIENCIAS BIOLOGICAS,10,4,68,45,1,No,No,0,0,0,0,1,1,No aplica
ESTADISTICA,10,4,54,58,1,No,No,0,0,0,0,1,1,No aplica
FISICA,10,4,1,1,1,No,No,0,0,0,0,1,1,No aplica
COMPUTACION E INFORMATICA,10,4,53,52,1,No,No,0,0,0,0,1,1,No aplica
INGENIERIA ELECTRICA,10,4,56,35,1,No,No,0,0,0,0,1,1,No aplica
MATEMA_TICAS,10,4,55,40,1,No,No,0,0,0,0,1,1,No aplica
ARTE,10,4,65,75,1,No,No,0,0,0,0,1,1,No aplica
ARQUEOLOGIA,10,4,55,15,1,No,No,0,0,0,0,1,1,No aplica
CIENCIAS DE LA COMUNICACION,10,4,62,21,1,No,No,0,0,0,0,1,1,No aplica
EDUCACION,10,4,60,105,1,No,No,0,0,0,0,1,1,No aplica
EDUCACION INICIAL,10,4,55,25,1,No,No,0,0,0,0,1,1,No aplica
EDUCACION PRIMARIA,10,4,55,25,1,No,No,0,0,0,0,1,1,No aplica
PSICOLOGIA,10,4,50,30,1,No,No,0,0,0,0,1,1,No aplica
SOCIOLOGIA,10,4,62,25,1,No,No,0,0,0,0,1,1,No aplica
DERECHO Y CIENCIAS POLITICAS,10,4,75,25,1,No,No,0,0,0,0,1,1,No aplica
ENFERMERIA,10,4,65,32,1,No,No,0,0,0,0,1,1,No aplica
INGENIERI_A AGRI_COLA,10,4,53,50,1,No,No,0,0,0,0,1,1,No aplica
ARQUITECTURA,10,4,60,38,1,No,No,0,0,0,0,1,1,No aplica
INGENIERIA DE SISTEMAS,10,4,60,54,1,No,No,0,0,0,0,1,1,No aplica
INGENIERIA MECANICA ELECTRICA,10,4,63,50,1,No,No,0,0,0,0,1,1,No aplica
INGENIERIA DE INDUSTRIAS ALIMENTARIAS,10,4,68,42,1,No,No,0,0,0,0,1,1,No aplica
INGENIERIA QUIMICA,10,4,73,42,1,No,No,0,0,0,0,1,1,No aplica
INGENIERIA ZOOTECNIA,10,4,63,35,1,No,No,0,0,0,0,1,1,No aplica
MEDICINA HUMANA,12,4,78,30,1,No,No,0,0,0,0,1,1,No aplica
MEDICINA VETERINARIA,10,4,73,50,1,No,No,0,0,0,0,1,1,No aplica
INGENIERIA DE SISTEMAS,10,4,62,435,29,Sí,Sí,240,240,998,2688,0,0,Mensual
ARQUITECTURA,10,4,55,238,0,Sí,Sí,240,240,998,2688,0,0,Mensual
COMUNICACION,10,4,61,1784,142,Sí,Sí,240,240,998,2688,0,0,Mensual
DERECHO,12,4,67,1027,59,Sí,Sí,240,240,998,2688,0,0,Mensual
PSICOLOGIA,12,4,61,508,32,Sí,Sí,240,240,998,2688,0,0,Mensual
ADMINISTRACION,10,4,64,2271,133,Sí,Sí,240,240,998,2688,0,0,Mensual
ECONOMIA,10,4,60,419,30,Sí,Sí,240,240,998,2688,0,0,Mensual
CONTABILIDAD,10,4,64,228,13,Sí,Sí,240,240,998,2688,0,0,Mensual
NEGOCIOS INTERNACIONALES,10,4,60,673,51,No,Sí,240,240,998,2688,0,0,Mensual
ADMINISTRACION,10,4,1,10,1,Sí,Sí,245,245,998,3792,0,0,Mensual
CONTABILIDAD,10,4,1,10,1,No,Sí,245,245,998,3792,0,0,Mensual
DERECHO,12,4,1,10,1,No,Sí,245,245,998,3792,0,0,Mensual
ECONOMIA,10,4,1,10,1,No,Sí,245,245,998,3792,0,0,Mensual
FINANZAS,10,4,1,10,1,No,Sí,245,245,998,3792,0,0,Mensual
INGENIERIA DE LA INFORMACION,10,4,1,10,1,No,Sí,245,245,998,3792,0,0,Mensual
INGENIERIA EMPRESARIAL,10,4,1,10,1,No,Sí,245,245,998,3792,0,0,Mensual
NEGOCIOS INTERNACIONALES,10,4,1,10,1,Sí,Sí,245,245,998,3792,0,0,Mensual
CIENCIAS BIOLOGIA,10,4,110,1,1,No,No,0,0,0,0,102,2292,Mensual
CIENCIAS FARMACIA Y BIOQUIMICA,10,4,53,1,1,No,No,0,0,0,0,102,1942,Mensual
CIENCIAS QUIMICA,10,4,47,1,1,No,No,0,0,0,0,102,1942,Mensual
CIENCIAS NUTRICION,10,4,46,1,1,No,No,0,0,0,0,102,1942,Mensual
MEDICINA,14,4,78,1,1,Sí,No,0,0,0,0,102,2417,Mensual
TECNOLOGIA MEDICA,10,4,53,1,1,No,No,0,0,0,0,102,917,Mensual
EDUCACION,10,4,67,1,1,No,No,0,0,0,0,102,1000,Mensual
VETERINARIA Y ZOOTECNIA,10,4,56,1,1,No,No,0,0,0,0,102,2117,Mensual
PSICOLOGIA,10,4,57,1,1,No,No,0,0,0,0,102,1750,Mensual
ESTOMATOLOGIA,11,4,63,1,1,Sí,No,0,0,0,0,102,2292,Mensual
SALUD PUBLICA Y SALUD GLOBAL,10,4,51,1,1,No,No,0,0,0,0,102,1292,Mensual
ADMINISTRACION EN SALUD,10,4,51,1,1,No,No,0,0,0,0,102,1292,Mensual
ENFERMERIA,10,4,42,1,1,No,No,0,0,0,0,102,604,Mensual
EducaciÇün,10,4,62,150,80,No,No,0,0,0,0,400,4200,Mensual
PSICOLOGIA,12,4,62,35,0,No,No,0,0,0,0,400,5600,Mensual
Contabilidad,10,4,62,54,0,No,No,0,0,0,0,400,5600,Mensual
ADMINISTRACION,10,4,62,14,0,No,No,0,0,0,0,400,5600,Mensual
FILOSOFIA,10,4,63,28,28,Sí,Sí,1,1,285,960,0,0,Mensual
TEOLOGIA,10,4,89,17,23,Sí,Sí,1,1,285,960,0,0,Mensual
EDUCACION,10,4,38,15,19,Sí,No,0,0,0,0,1,1,Mensual
NEGOCIOS INTERNACIONALES,10,4,62,343,57,No,No,0,0,0,0,100,426,Mensual
CIENCIAS CONTABLES Y FINANCIERAS,10,4,64,516,0,No,No,0,0,0,0,100,416,Mensual
INGENIERIA COMERCIAL,10,4,60,695,141,No,No,0,0,0,0,100,426,Mensual
INGENIERIA DE LA PRODUCCION Y ADMINISTRACION,10,4,63,50,6,No,No,0,0,0,0,100,436,Mensual
ADMISNITRACION TURISTICO HOTELERA,10,4,60,89,14,No,No,0,0,0,0,100,416,Mensual
INGENIERIA ELECTRONICA,10,4,56,79,10,No,No,0,0,0,0,100,446,Mensual
ECONOMIA Y MICROFINANZAS,10,4,63,75,5,No,No,0,0,0,0,100,426,Mensual
INGENIERIA DE SISTEMAS,10,4,56,191,32,No,No,0,0,0,0,100,446,Mensual
INGENIERIA CIVIL,10,4,53,708,79,No,No,0,0,0,0,100,446,Mensual
INGENIERIA AGROINDUSTRIAL,10,4,65,94,13,No,No,0,0,0,0,100,436,Mensual
INGENIERIA AMBIENTAL,10,4,56,99,0,No,No,0,0,0,0,100,456,Mensual
ARQUITECTURA,10,4,47,388,35,No,No,0,0,0,0,100,446,Mensual
CIENCIAS DE LA COMUNICACION,10,4,60,111,8,No,No,0,0,0,0,100,416,Mensual
EDUCACION,10,4,56,73,28,No,No,0,0,0,0,100,292,Mensual
PSICOLOGIA,10,4,52,173,0,No,No,0,0,0,0,100,416,Mensual
DERECHO,12,4,72,763,71,No,Sí,100,100,406,416,0,0,Mensual
MEDICINA HUMANA,12,5,47,367,59,No,Sí,150,150,692,766,0,0,Mensual
ODONTOLOGIA,10,5,56,182,24,No,Sí,150,150,691,701,0,0,Mensual
TECNOLOGIA MEDICA,10,5,49,100,8,No,No,0,0,0,0,150,564,Mensual
DERECHO Y CIENCIAS POLITICAS,12,4,70,252,255,No,No,0,0,0,0,76,1800,Mensual
OBSTETRICIA,10,4,60,72,39,No,No,0,0,0,0,76,1880,Mensual
INGENIERIA DE SISTEMAS E INFORMATICA,10,4,65,82,25,No,No,0,0,0,0,76,2000,Mensual
ENFERMERIA,10,4,55,159,114,No,No,0,0,0,0,76,1880,Mensual
EDUCACION BASICA INICIAL Y PRIMARIA,10,4,70,48,34,No,No,0,0,0,0,76,1120,Mensual
INGENIERIA CIVIL,10,4,66,400,57,No,No,0,0,0,0,76,2000,Mensual
ARQUITECTURA,10,4,65,89,34,No,No,0,0,0,0,76,2000,Mensual
EAP EDUCACION ESPECIALIDAD IDIOMA EXTRANJERO,10,4,70,5,7,No,No,0,0,0,0,76,1360,Mensual
ADMINISTRACION DE EMPRESAS,10,4,65,306,40,No,No,0,0,0,0,76,1440,Mensual
CONTABILIDAD Y FINANZAS,10,4,63,232,50,No,No,0,0,0,0,76,1440,Mensual
TURISMO HOTELERIA Y GASTRONOMIA,10,4,70,21,6,No,No,0,0,0,0,76,2000,Mensual
PSICOLOGIA,12,4,70,35,2,No,No,0,0,0,0,76,1800,Mensual
INGENIERIA AMBIENTAL,10,4,70,176,14,No,No,0,0,0,0,76,2000,Mensual
MARKETING Y NEGOCIOS INTERNACIONALES,10,4,70,33,1,No,No,0,0,0,0,76,2000,Mensual
ODONTOLOGIA,12,4,70,57,35,No,No,0,0,0,0,76,3200,Mensual
LICENCIADO EN PERIODISMO,10,4,75,80,70,Sí,Sí,195,195,450,550,0,0,Mensual
ADMINISTRACION Y SISTEMAS,10,4,69,2122,500,No,No,0,0,0,0,450,2500,Semestral
ARQUITECTURA,10,4,81,272,52,No,No,0,0,0,0,450,3000,No aplica
CONTABILIDAD Y FINANZAS,10,4,70,2038,823,No,No,0,0,0,0,450,2500,No aplica
DERECHO,12,4,95,1484,516,No,No,0,0,0,0,460,3000,No aplica
