Item,Actividad,Tiempo ,Inicio,Fin
1,Relevancia del tema,2 días,2022.04.26,2022.04.27
2,Graficar el diagrama de Gantt,2 días,2022.04.26,2022.04.27
3,Proceso de recolección de datos,2 días,2022.04.26,2022.04.27
4,"Definir la población, muestra y muestreo",2 días,2022.04.28,2022.04.29
5,Definir las variables,2 días,2022.04.28,2022.04.29
6,Limpieza de base de datos,2 días,2022.04.30,2022.05.01
7,Análisis descriptivo de dispersión,3 días,2022.05.02,2022.05.05
8,Análisis descriptivo de medidas de tendencia central,3 días,2022.05.02,2022.05.05
9,Descriptores gráficos,4 días,2022.05.01,2022.05.05
10,Corrección del P1,2 semanas,2022.05.09,2022.05.21
11,Elegir variables de interacción,1 semana,2022.06.06,2022.06.12
12,Elegir los modelos de distribución de probabilidad,3 días,2022.06.13,2022.06.15
13,Análisis probabilístico de las variables escogidas,1 semana,2022.06.16,2022.06.23
