Marca temporal,Edad (Años cumplidos)  Ejemplo.- 18 ,Género ,Nivel de instrucción ,Lugar de residencia,¿Actualmente vives con tus padres? ,¿Qué dentífrico utilizas con más frecuencia?,¿Realizas personalmente la compra de tu dentífrico? ,¿Cuáles son los motivos que predominan al momento de decidir que dentífrico comprar?,¿Cuál es el costo del dentífrico que usas?(ejemplo: S/. 1),¿Cuántas veces al día te cepillas los dientes?  ,¿En algún momento cambiaste o consideraste cambiar de dentífrico? 
25/04/2022 22:12:10,18,Masculino,Superior Universitario incompleto,Lima este,No,Kolynos,Si,La propaganda y el marketing,3,2,Sí
25/04/2022 22:14:50,23,Masculino,Superior Universitario incompleto,Lima norte,Si,Colgate,No,Decisiones familiares,3.50,3,Tal vez
25/04/2022 22:15:19,19,Masculino,Secundaria completa,Lima moderna,Si,Oral B,No,La propaganda y el marketing,10,3,Sí
25/04/2022 22:15:33,18,Femenino,Superior Universitario incompleto,Lima moderna,No,Colgate,Si,La propaganda y el marketing,12,3,No
25/04/2022 22:18:00,18,Masculino,Superior Universitario incompleto,Lima antigua,Si,Colgate,No,Decisiones familiares,3.40,3,Sí
25/04/2022 22:18:20,19,Femenino,Secundaria completa,Lima sur,Si,Oral B,Si,La recomendación de conocidos,5,5,Tal vez
25/04/2022 22:19:00,19,Masculino,Secundaria completa,Lima moderna,Si,Oral B,Si,La recomendación de conocidos,20,6,Tal vez
25/04/2022 22:19:21,18,Femenino,Superior Universitario incompleto,Lima moderna,Si,Colgate,No,La recomendación de conocidos,5.5,3,Sí
25/04/2022 22:19:22,18,Masculino,Superior Universitario incompleto,Lima moderna,Si,Colgate,No,Decisiones familiares,9.5,3,Tal vez
25/04/2022 22:19:57,20,Masculino,Superior Universitario incompleto,Lima este,Si,Oral B,Si,La propaganda y el marketing,5,2,Sí
25/04/2022 22:21:05,20,Masculino,Secundaria completa,Lima norte,Si,Colgate,No,La propaganda y el marketing,8,3,Sí
25/04/2022 22:21:11,22,Masculino,Superior Técnico completo,Lima moderna,Si,Colgate,Si,La propaganda y el marketing,12.5,3,Tal vez
25/04/2022 22:21:18,20,Masculino,Superior Universitario incompleto,Lima este,Si,Oral B,Si,La propaganda y el marketing,5,2,Sí
25/04/2022 22:23:22,22,Masculino,Secundaria completa,Lima antigua,Si,Colgate,Si,El costo del dentífrico,6,3,Tal vez
25/04/2022 22:23:55,22,Masculino,Superior Universitario incompleto,Lima moderna,No,Colgate,Si,El costo del dentífrico,4,3,Sí
25/04/2022 22:24:35,20,Masculino,Superior Universitario incompleto,Lima moderna,No,Colgate,Si,La propaganda y el marketing,5,2,Sí
25/04/2022 22:24:37,19,Masculino,Superior Universitario incompleto,Lima este,Si,Colgate,Si,El costo del dentífrico,3,3,Tal vez
25/04/2022 22:26:24,19,Masculino,Superior Universitario incompleto,Lima norte,Si,Kolynos,No,Decisiones familiares,1.5,2,Sí
25/04/2022 22:26:46,18,Masculino,Superior Universitario incompleto,Lima moderna,Si,Colgate,Si,La recomendación de conocidos,8,4,No
25/04/2022 22:28:04,18,Femenino,Secundaria completa,Lima moderna,Si,Colgate,Si,El costo del dentífrico,15,3,Tal vez
25/04/2022 22:28:47,24,Masculino,Superior Universitario incompleto,Lima este,Si,Dento,No,Decisiones familiares,2.50,3,Tal vez
25/04/2022 22:30:58,22,Masculino,Superior Universitario incompleto,Lima norte,Si,Dento,Si,El costo del dentífrico,3.50,3,Tal vez
25/04/2022 22:31:17,19,Femenino,Secundaria completa,Lima moderna,Si,Colgate,Si,La recomendación de conocidos,9,3,Sí
25/04/2022 22:40:31,22,Femenino,Superior Universitario incompleto,Lima norte,Si,Colgate,Si,Identificar la crema dental con la que me siento comoda que es colgate total 12,17,2,No
