Marca temporal,Edad,Género,Carrera,Ciclo,Horas del sueño al día,Calidad del sueño,Tiempo en conciliar el sueño (horas),¿Tienes problemas para poder ir a dormir?,¿Te despiertas cansado por las mañanas?,¿Presentas sueño durante el día?,Promedio ponderado,¿Consideras que le prestas atención a las clases?,¿Tienes dificultades para realizar las actividades estudiantiles?
30/04/2022 18:04:16,18,Mujer,Ingeniería Industrial,2,5,Muy buena,3,Sí,No,Sí,entre 11 y 15,Algunas veces,Nunca
30/04/2022 18:07:52,18,Hombre,Ingeniería Industrial,2,7,Buena,2,No,Sí,Sí,entre 11 y 15,Algunas veces,Muchas veces
30/04/2022 18:09:09,19,Hombre,Bioingeniería,4,6,Mala,3,A veces,Sí,A veces,mayor a 15,Casi siempre,Muchas veces
30/04/2022 18:10:19,20,Mujer,Ingeniería Electrónica,2,7,Demasiado mala,1,Sí,Sí,Sí,menor a 11,Nunca,Nunca
30/04/2022 18:20:39,20,Hombre,Ingeniería Industrial,7,8,Mala,3,Sí,Sí,Sí,entre 11 y 15,Algunas veces,Casi siempre
30/04/2022 20:37:08,18,Hombre,Bioingeniería,3,7,Buena,3,A veces,No,A veces,mayor a 15,Casi siempre,Nunca
30/04/2022 20:48:32,18,Hombre,Bioingeniería,3,6,Mala,1,A veces,Sí,A veces,mayor a 15,Algunas veces,Algunas veces
30/04/2022 21:11:19,18,Hombre,Ingeniería Electrónica,2,6,Mala,3,Sí,Sí,Sí,entre 11 y 15,Algunas veces,Algunas veces
1/05/2022 11:00:03,19,Mujer,Ingeniería Ambiental,3,9,Mala,3,A veces,No,A veces,mayor a 15,Casi siempre,Nunca
1/05/2022 11:01:01,20,Hombre,Ingeniería Civil,4,6,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
1/05/2022 11:02:10,18,Mujer,Ciencia de Datos,2,7,Buena,2,A veces,Sí,Sí,entre 11 y 15,Algunas veces,Muchas veces
1/05/2022 11:04:18,21,Hombre,Bioingeniería,9,9,Muy buena,1,No,No,No,mayor a 15,Muchas veces,Algunas veces
1/05/2022 11:05:20,18,Hombre,Ingeniería de la energía,3,5,Mala,3,A veces,Sí,Sí,menor a 11,Algunas veces,Muchas veces
1/05/2022 11:07:02,19,Mujer,Administración y negocios digitales,4,7,Mala,2,Sí,Sí,Sí,menor a 11,Algunas veces,Casi siempre
1/05/2022 14:31:14,18,Mujer,Ingeniería Civil,3,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
1/05/2022 14:31:54,19,Hombre,Ingeniería Ambiental,4,9,Muy buena,2,A veces,No,A veces,entre 11 y 15,Muchas veces,Muchas veces
