,Género.,Edad (años cumplidos). ,Ciclo universitario.,Carrera universitaria.,Promedio ponderado del anterior ciclo (dos decimales). Ejemplo: 14.38,¿Cuántas horas estudias al día sin contar las horas de clase? Ejemplo: 2.45 (equivale a 2 horas y 45 minutos),¿Cuántas horas de sueño tienes por la noche en promedio? Ejemplo: 7.2 (equivale a 7 horas y 20 minutos),¿Practicas algún deporte?,¿Cuántos días a la semana prácticas deporte?,¿Consumes bebidas energéticas?,Responde las siguiente preguntas: [¿Consideras qué el consumo de bebidas energizantes mejora tu rendimiento académico?],Responde las siguiente preguntas: [¿Con qué frecuencia tomas este tipo de bebidas?],Responde las siguiente preguntas: [¿Qué tan necesarias consideras que son las bebidas energéticas durante el periodo universitario?],¿Qué marca de bebidas energéticas consumes?,¿Cuál es tu segunda marca favorita de bebidas energéticas?,¿Has tenido algún efecto secundario luego de consumir las bebidas energéticas?,¿En qué momento consumes más las bebidas energéticas?,¿Bajo qué circunstancias consumes bebidas energéticas?
,Masculino,20,4,Ingeniería Electrónica,13.86,2.3,6,Sí,6,Sí,Poco,Poco,Poco,Volt,Red Bull,Cansancio,Noche,Cuando estudio para un examen.
,Masculino,18,3,Ingeniería Mecatrónica,15.50,5.2,4.1,Sí,6,Sí,Regular,Regular,Regular,Monster,Volt,Cansancio,Noche,Cuando me apetece.
,Masculino,20,4,Ingeniería Mecánica,16.3,6,7,Sí,6,No,,,,,,,,
,Masculino,26,8,Ingeniería Ambiental,16.6,2.3,7.2,Sí,6,Sí,Poco,Poco,Poco,Monster,Volt,Otro,Mañana,Cuando hago ejercicio.
,Femenino,18,2,Ingeniería Industrial,16.15,5,6.1,No,No práctico,Sí,Regular,Mucho,Regular,Volt,Otro,Otro,Noche,Cuando hago tareas y proyectos.
,Masculino,18,2,Ingeniería Mecánica,15,1,5.4,Sí,7,Sí,Mucho,Regular,Mucho,Otro,Otro,Otro,Tarde,Cuando me apetece.
,Femenino,20,4,Ingeniería Electrónica,14.56,4.3,7.3,Sí,No práctico,Sí,Mucho,Regular,Mucho,Red Bull,Volt,Taquicardia,Mañana,Cuando me apetece.
,Masculino,18,3,Ciencia de la computación,15.65,5.3,6.1,No,No práctico,No,,,,,,,,
,Masculino,19,2,Ingeniería Mecánica,15.85,5,6.2,Sí,3,No,,,,,,,,
,Femenino,22,5,Ingeniería Mecánica,15.4,5,7,Sí,3,Sí,Mucho,Regular,Mucho,Red Bull,Volt,Ansiedad,Tarde,Cuando hago tareas y proyectos.
