Departamentos,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016P/,2017P/,2018E/,2019E/,2020E/
,,,,,,,,,,,,,,
Amazonas,1 778 775,1 930 947,2 058 318,2 210 682,2 287 107,2 551 601,2 682 266,2 824 603,2 782 128,2 784 366,2 940 822,3 118 373,3 168 990,3 033 975
Áncash,15 672 771,16 854 588,16 400 826,16 013 215,16 155 687,17 666 947,18 478 843,16 028 265,17 584 621,18 365 696,19 317 454,20 712 339,20 059 093,18 774 516
Apurímac,1 824 181,1 688 564,1 623 801,1 765 744,1 869 417,2 110 908,2 342 674,2 437 434,2 630 345,6 343 065,7 718 535,7 131 314,7 170 478,6 443 685
Arequipa,16 991 831,18 885 807,19 032 479,20 158 733,21 038 813,22 033 542,22 629 103,22 773 308,23 524 592,29 623 112,30 724 797,31 506 818,31 404 343,26 482 174
Ayacucho,2 975 676,3 401 175,3 750 401,3 922 514,4 111 349,4 482 971,4 906 299,4 879 476,5 162 331,5 177 917,5 451 854,5 760 202,5 931 518,5 161 383
Cajamarca,8 159 499,9 319 769,10 050 467,10 140 905,10 595 497,11 270 583,11 086 928,10 855 588,10 798 612,10 581 305,10 901 682,11 209 419,11 479 756,10 323 609
Cusco,10 913 725,11 663 686,13 631 820,15 405 459,17 384 466,17 711 332,20 708 699,20 723 581,21 071 852,21 898 270,21 576 717,21 700 735,22 006 880,19 273 644
Huancavelica,2 475 279,2 613 850,2 696 095,2 817 536,2 909 215,3 143 661,3 174 927,3 281 748,3 265 820,3 212 948,3 354 985,3 525 421,3 527 812,3 284 747
Huánuco,3 200 861,3 464 132,3 499 798,3 739 082,3 955 589,4 380 310,4 642 728,4 799 787,5 114 983,5 345 445,5 832 171,6 010 056,6 081 484,5 413 863
Ica,8 793 956,10 415 637,10 841 974,11 607 992,12 883 432,13 067 505,14 394 675,14 809 397,15 295 581,15 325 191,16 206 741,16 994 391,17 656 354,15 615 683
Junín,9 240 435,10 023 855,9 039 077,9 518 659,10 009 485,10 718 558,11 095 514,12 391 582,14 412 891,14 285 221,14 954 057,15 459 518,15 330 366,13 877 218
La Libertad,14 615 612,15 653 801,15 716 171,16 624 855,17 378 414,18 712 792,19 532 083,19 821 258,20 274 733,20 448 345,20 797 558,21 840 178,22 637 274,21 228 380
Lambayeque,6 880 023,7 512 522,7 910 362,8 449 884,8 937 792,9 782 672,10 138 533,10 354 938,10 809 529,11 080 412,11 371 483,11 837 862,12 113 549,11 355 783
Lima,136 238 703,148 415 981,148 910 138,164 623 842,178 742 876,189 597 321,200 400 691,208 022 491,214 469 326,220 241 329,224 691 974,234 445 543,240 498 497,211 793 982
Prov. Const. del Callao,13 386 423,14 627 416,14 288 888,15 689 336,17 563 803,18 070 083,19 196 199,19 828 477,20 209 052,20 690 862,21 400 320,22 229 310,22 458 010,18 868 542
Región Lima,11 404 858,12 488 983,11 612 252,12 300 019,13 562 753,13 897 097,14 893 394,15 468 191,15 992 567,16 146 749,16 285 655,17 183 773,17 316 831,16 336 935
Provincia de Lima,111 447 422,121 299 582,123 008 998,136 634 487,147 616 320,157 630 141,166 311 098,172 725 823,178 267 707,183 403 718,187 005 999,195 032 460,200 723 656,176 588 505
Loreto,6 910 964,7 324 982,7 374 935,7 906 943,7 608 889,8 212 422,8 505 693,8 779 305,8 584 514,7 602 217,8 087 444,8 932 782,9 336 037,8 040 734
