title,artist,top genre,bpm,dB,dur,top year
STARSTRUKK (feat. Katy Perry),3OH!3,dance pop,140,-6,203,2010
My First Kiss (feat. Ke$ha),3OH!3,dance pop,138,-4,192,2010
I Need A Dollar,Aloe Blacc,pop soul,95,-7,243,2010
Airplanes (feat. Hayley Williams of Paramore),B.o.B,atl hip hop,93,-4,180,2010
Nothin' on You (feat. Bruno Mars),B.o.B,atl hip hop,104,-6,268,2010
Magic (feat. Rivers Cuomo),B.o.B,atl hip hop,82,-4,196,2010
The Time (Dirty Bit),Black Eyed Peas,dance pop,128,-8,308,2010
Imma Be,Black Eyed Peas,dance pop,92,-7,258,2010
Talking to the Moon,Bruno Mars,dance pop,146,-5,218,2010
Just the Way You Are,Bruno Mars,dance pop,109,-5,221,2010
Teach Me How to Dougie,Cali Swag District,pop rap,85,-5,237,2010
Forget You,CeeLo Green,atl hip hop,127,-4,223,2010
Deuces (feat. Tyga & Kevin McCall),Chris Brown,dance pop,74,-5,277,2010
Memories (feat. Kid Cudi),David Guetta,big room,130,-6,210,2010
Gettin' Over You (feat. Fergie & LMFAO),David Guetta,big room,130,-5,188,2010
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,dance pop,150,-4,233,2010
Over,Drake,canadian hip hop,100,-6,234,2010
Find Your Love,Drake,canadian hip hop,96,-6,209,2010
Barbra Streisand (Radio Edit),Duck Sauce,disco house,128,-2,195,2010
Stereo Love - Radio Edit,Edward Maya,romanian house,127,-4,185,2010
Pack Up,Eliza Doolittle,lilith,133,-6,191,2010
Starry Eyed,Ellie Goulding,dance pop,150,-5,177,2010
Love The Way You Lie,Eminem,detroit hip hop,87,-5,263,2010
Not Afraid,Eminem,detroit hip hop,115,-1,248,2010
I Like It,Enrique Iglesias,dance pop,129,-3,232,2010
Kickstarts,Example,dance pop,126,-4,182,2010
Like A G6,Far East Movement,asian american hip hop,125,-8,217,2010
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,128,-4,235,2010
Hot - Malibu Breeze Radio Edit,INNA,dance pop,128,-8,224,2010
Replay,Iyaz,dance pop,91,-6,182,2010
