COMPOSICION NUTRICIONAL DE SEGUNDOS (100g),,,,,,,,,,,,,,
Estrato,Código de Segundo,Nombre de Segundo,"Energía
<ENERC>","Proteínas
<PROCNT>","Grasa total
<FAT>","Carbohidratos disponibles
<CHOAVL>","Zinc
<ZN>","Hierro
<FE>","b caroteno
equivalentes totales
<CARTBQ>",Retinol,"Vitamina A
equivalentes totales
<VITA>","Sodio
<NA>",Plato,Orden
,,,kcal,g,g,g,mg,mg,µg,µg,µg,mg,casos,n
A,S0414,AJI DE POLLO CON ARROZ,"137,14","5,43","2,77","20,47","0,61","0,81","28,52","19,89","12,58","131,32",10,1
A,S0419,ARROZ A LA JARDINERA CON POLLO,"127,33","5,70","2,28","19,90","0,65","0,83","163,12","37,43","31,38","202,63",1,2
A,S0421,ARROZ ARABE CON POLLO,"110,14","7,98","1,52","15,12","0,76","1,02","292,00","55,69","60,77","585,85",1,3
A,S0423,ARROZ CHAUFA CON POLLO CHIJAUKAY,"213,97","7,50","9,44","19,21","0,75","2,10","0,00","1,57","8,72","641,41",5,4
A,S0429,ARROZ CHAUFA CON POLLO TAMARINDO,"129,50","6,34","1,44","21,73","0,71","0,71","0,00","4,99","9,03","143,23",1,5
A,S0430,ARROZ CHAUFA CON POLLO TAYPA ESPECIAL,"123,97","8,94","4,44","10,04","1,00","0,90","0,00","6,22","13,01","247,71",1,6
A,S0436,ARROZ CHAUFA DE MARISCOS,"123,36","6,16","1,69","19,42","0,71","0,46","2,28","6,14","11,03","217,73",1,7
A,S0439,ARROZ CHAUFA DE POLLO,"172,62","6,69","3,01","28,25","0,85","0,72","0,00","3,01","8,71","208,88",20,8
A,S0444,ARROZ CHAUFA DE RES,"253,87","6,27","14,92","23,09","1,16","1,00","3,63","8,58","12,84","1119,23",1,9
A,S0447,ARROZ CON MARISCOS,"126,67","5,64","1,51","21,40","0,58","0,67","170,92","36,51","36,92","124,19",3,10
A,S0455,ARROZ CON POLLO,"143,59","6,90","2,21","22,91","0,78","0,90","227,37","49,39","51,41","240,94",45,11
A,S0467,ARROZ TAPADO,"157,21","7,26","4,43","21,16","1,28","1,28","0,00","16,53","22,23","114,96",1,12
A,S0492,ASADO DE RES CON PURE CON ARROZ,"114,64","6,10","1,49","19,43","1,19","0,97","58,63","12,26","16,57","102,81",2,13
A,S0496,BISTECK DE RES A LO POBRE CON ARROZ,"167,19","7,57","5,74","20,26","1,22","1,73","0,00","16,67","18,62","251,28",1,14
A,S0501,CABRITO CON FREJOLES CON ARROZ,"167,39","5,46","7,50","18,75","1,09","1,06","103,70","23,70","42,35","701,81",1,15
A,S0517,CARAPULCRA DE CERDO CON ARROZ,"180,43","8,85","3,34","29,27","0,83","1,24","0,00","8,52","2,96","541,31",1,16
A,S0522,CARNE DE RES CON ENSALADA CON ARROZ,"214,71","6,95","10,54","22,42","1,33","1,27","100,81","22,12","52,62","446,71",1,17
A,S0523,CAU CAU CON ARROZ,"113,88","5,26","2,79","11,09","0,59","0,49","449,63","91,10","76,25","114,30",1,18
A,S0527,CEBICHE CON CHICHARRON,"163,57","9,13","7,92","13,77","0,49","0,83","238,69","43,75","48,41","246,43",1,19
A,S0541,CHICHARRON DE PESCADO CON ARROZ,"201,64","6,20","7,54","26,36","0,49","0,72","0,00","10,97","14,18","300,92",1,20
A,S0586,COMBINADO DE POLLO,"181,26","6,51","1,37","34,44","0,86","2,26","50,11","15,27","15,45","402,30",2,21
A,S0603,ESCABECHE DE PESCADO CON ARROZ,"125,86","5,73","1,76","21,01","0,45","0,61","356,57","63,49","61,40","96,74",2,22
A,S0605,ESCABECHE DE POLLO CON ARROZ,"157,81","6,39","2,10","27,26","0,80","0,83","90,05","31,29","24,77","301,30",2,23
A,S0612,ESTOFADO DE POLLO CON ARROZ,"120,88","8,87","1,63","16,46","0,83","0,89","229,00","41,78","44,96","153,11",2,24
