Item,Activity,Project element,Start,End
1,Planteamiento Temas,P0,06.04.2022,07.04.2022
2,Investigación de los Temas,P0,07.04.2022,08.04.2022
3,PO PreEntrega,P0,08.04.2022,08.04.2022
4,Selección Tema Principal,P1,24.04.2022,24.04.2022
5,Reconocimiento de Variables,P1,25.04.2022,26.04.2022
6,Planteamiento de Preguntas Encuesta,P1,26.04.2022,28.04.2022
7,Feedback Encuesta,P1,29.04.2022,29.04.2022
8,Reformulación Encuesta,P1,29.04.2022,30.04.2022
9,Difusión Encuesta Escrito,P1,01.05.2022,04.05.2022
10,Difusión Encuesta Video,P1,02.05.2022,04.05.2022
11,Introducción,P1,03.05.2022,03.05.2022
12,Recolección de Datos,P1,03.05.2022,03.05.2022
13,"Población, Muestra y Muestreo",P1,04.05.2022,04.05.2022
14,Variables,P1,05.05.2022,05.05.2022
15,Limpieza de Datos,P1,05.05.2022,05.05.2022
16,Análisis Descriptivos,P1,05.05.2022,06.05.2022
17,Revisión Final,P1,06.05.2022,06.05.2022
18,Exposición,P1,06.05.2022,06.05.2022
19,Feedback Profesora,P1,06.05.2022,06.05.2022 
20,Revisión de Errores,P1,12.05.2022,14.05.2022
21,Gestión de los NA,P2,18.05.2022,21.05.2022
22,Análisis Descriptivo Individual,P2,25.05.2022,28.05.2022
23,Análisis Descriptivo Relaciones,P2,01.06.2022,04.06.2022
24,"Planteamiento de Modelos Probabilísticos",P2,07.06.2022,09.06.2022
25,"Análisis Probabilístico",P2,10.06.2022,15.06.2022
26,Bibliografía,P2,17.06.2022,18.06.2022
27,Creación PPT,P2,20.06.2022,22.06.2022
28,Revisión Final P2,P2,23.06.2022,25.06.2022
29,Exposición Final,P2,26.06.2022,26.06.2022
