Item,Partes,Actividades,Inicio,Fin
1,Proyecto PG1,Planificación del proyecto,12/9/2022,13/9/2022
2,Pre entrega PG0,Definición de tema,14/9/2022,15/9/2022
3,Pre entrega PG0,Selección de variables,16/9/2022,17/9/2022
4,Encuesta,Creación de encuesta,18/9/2022,19/9/2022
5,Encuesta,Difusión de encuesta,19/9/2022,25/9/2022
6,Proyecto PG1,Redacción de la relevancia del proyecto,24/9/2022,25/9/2022
7,Proyecto PG1,"Descripción de la polación, muestra y muestreo del estudio",24/9/2022,25/9/2022
8,Proyecto PG1,Descripción del proceso de recolección de datos ,24/9/2022,25/9/2022
9,Proyecto PG1,Descripción de las variables utilizadas,25/9/2022,26/9/2022
10,Proyecto PG1,Limpieza de la base de datos,25/9/2022,26/9/2022
11,Proyecto PG1,Selección de descriptores gráficos y numéricos para las variables,26/9/2022,27/9/2022
12,Proyecto PG1,Presentación en RStudio,27/9/2022,28/9/2022
13,Encuesta,Entrega del incentivo,30/9/2022,3/10/2022
14,Proyecto PG2,Corrección de partes de la PG1,14/11/2022,18/11/2022
15,Proyecto PG2,Análisis probabilístico del estudio,18/11/2022,23/11/2022
16,Proyecto PG2,Presentación en RStudio,23/11/2022,24/11/2022
