Seguidor,Genero,Edad,Seguimiento,GrupoFav,Genero_Grupo,FanClub,Campo de Marte,Fiestas ,Cines,Cafe,CentroComercial,Alameda28,No asiste,television,PaginasWeb,Redes,youtube,radio,circulo,paneles,Tiempo_dedicado,Peluches,Albumes,PhotoCards,CD,Ropa,Ligthstick,otro_produc,Presupuesto_prod,Tiendas_f,Tiendas_l,Importancia,Exclusion,Contenido_m,Personalidad_i,Atracción_i,Influencia_t,Tranquilidad,Alegría,Felicidad,Reconfortante,Comprensión,Tristeza,Asombro,otro_senti
Sí,Femenino,16,1,BTS,Masculino,Si,si,no,no,no,no,no,no,no,si,si,si,no,si,no,3,si,si,si,si,no,si,no,300,si,no,5,Sí,si,si,si,no,si,si,si,si,si,no,no,no
Sí,Femenino,19,12,BTS,Masculino,No,si,si,si,si,no,no,no,no,si,si,si,no,no,no,1,si,si,si,no,no,no,no,150,si,si,1,Sí,si,no,no,no,si,si,si,si,si,si,no,no
Sí,Femenino,15,3,NCT,Masculino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,4,si,si,si,si,si,si,no,100,no,si,5,Sí,si,si,si,no,si,si,si,si,si,si,no,no
Sí,Femenino,16,12,BTS,Masculino,Si,si,no,no,no,no,no,no,si,no,si,si,no,si,no,1,si,si,no,no,no,si,no,200,si,si,4,No,si,si,si,si,si,si,si,si,si,no,no,no
Sí,Femenino,15,12,SKZ,Masculino,Si,no,no,no,no,no,no,si,no,si,si,si,no,no,no,1,si,si,si,no,no,no,no,150,no,si,3,Sí,si,no,no,no,si,no,si,no,no,no,no,no
Sí,Femenino,16,5,BTS,Masculino,Si,si,no,no,no,no,no,no,no,no,si,si,no,no,no,3,si,si,si,si,si,no,no,100,si,no,5,Sí,no,si,no,no,si,si,si,si,si,si,si,no
Sí,Femenino,15,12,BTS,Masculino,Si,no,no,si,no,no,no,no,no,si,si,si,no,no,no,1,si,si,si,no,si,no,no,50,si,si,3,Sí,si,si,si,si,no,no,si,si,no,no,si,no
Sí,Femenino,9,1,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,si,no,si,no,si,no,no,50,si,no,5,Sí,si,no,no,no,si,no,si,no,no,no,no,no
Sí,Femenino,17,2,Twice,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,0,no,no,si,no,no,no,no,100,si,no,3,No,si,no,no,no,no,no,si,no,no,no,no,no
Sí,Masculino,16,4,StrayKids,Masculino,Si,si,si,no,no,no,no,no,no,si,si,si,no,no,no,3,si,si,si,no,no,si,no,200,no,si,5,Sí,no,si,no,no,si,si,si,si,no,no,no,no
Sí,Femenino,6,1,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,no,no,no,si,no,1,si,no,si,no,si,no,no,90,si,no,3,No,no,no,no,no,no,si,si,no,no,no,no,no
Sí,Femenino,16,4,BTS,Masculino,No,si,no,no,no,no,no,no,no,si,si,si,no,no,no,3,si,no,no,no,no,no,no,60,si,no,3,No,si,no,no,no,si,si,si,no,si,si,no,no
Sí,Femenino,18,4,Enhypen,Masculino,Si,no,si,no,no,no,no,no,no,no,si,no,no,si,no,4,si,si,si,no,no,si,no,300,no,si,5,No,si,si,no,no,si,si,si,si,si,si,si,no
Sí,Femenino,20,6,BTS,Masculino,No,no,no,no,si,no,no,no,no,no,si,si,no,no,no,1,si,si,no,no,no,si,no,0,no,si,2,No,si,no,no,no,si,si,si,si,si,si,si,no
Sí,Femenino,19,2,StrayKids,Masculino,No,si,no,no,no,no,no,no,no,no,si,no,no,no,no,1,no,si,si,no,no,no,no,100,no,si,4,No,si,si,no,no,si,no,si,no,no,no,no,no
Sí,Femenino,23,4,Oneus,Masculino,No,si,si,no,no,no,no,no,no,no,si,si,no,si,no,1,si,si,no,no,no,no,no,50,si,no,5,No,si,no,no,no,no,no,si,no,no,no,no,no
Sí,Femenino,21,5,EXO,Masculino,Si,si,no,no,si,no,no,no,no,no,si,si,no,si,no,2,no,si,si,no,no,no,no,150,no,si,4,Sí,si,si,no,no,si,no,si,no,no,no,no,no
Sí,Masculino,19,3,Ateez,Masculino,No,si,no,no,no,no,no,no,no,no,si,no,no,no,no,1,no,si,no,no,no,no,no,100,si,no,5,Sí,si,no,no,no,no,no,si,no,no,no,no,no
Sí,Femenino,17,2,Twice,Femenino,No,si,no,no,no,no,no,no,no,no,si,no,no,si,no,2,si,si,no,no,no,no,no,70,no,si,5,No,si,si,no,no,no,no,si,si,si,no,no,no
Sí,Femenino,19,7,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,no,no,no,si,no,no,50,si,no,3,No,si,no,no,no,no,si,si,si,no,no,no,no
Sí,Femenino,18,4,EXO,Masculino,Si,si,no,no,no,no,no,no,no,no,si,no,no,no,no,1,no,si,si,no,no,no,no,200,no,si,3,No,si,si,no,no,no,no,si,no,no,no,no,no
Sí,Femenino,21,14,Infinite,Masculino,Si,no,si,no,si,no,no,no,no,no,si,no,no,no,no,2,si,si,no,no,no,si,no,100,no,si,5,No,si,no,no,no,si,no,si,si,no,no,si,no
Sí,Femenino,17,7,BTS,Masculino,Si,si,no,no,no,si,no,no,no,no,si,no,no,no,no,1,si,no,si,no,no,no,no,1500,si,no,3,No,si,si,si,no,si,si,si,si,no,no,no,no
Sí,Femenino,16,8,BTS,Masculino,Si,no,no,no,no,no,no,no,no,no,si,no,no,no,no,4,si,no,no,no,no,no,no,200,si,no,3,Sí,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,16,3,BTS,Masculino,Si,no,si,no,si,si,no,no,no,si,si,si,no,no,no,12,si,si,si,si,si,si,no,500,si,no,5,Sí,si,si,si,no,si,si,si,si,si,no,no,no
Sí,Femenino,15,4,BTS,Masculino,No,no,si,no,no,no,no,no,no,no,si,no,no,si,no,2,no,no,si,no,no,no,no,10,si,no,4,Sí,si,si,si,no,si,si,si,si,si,no,si,no
Sí,Femenino,19,15,BTS,Masculino,No,no,si,no,no,no,no,no,no,no,si,si,no,no,no,1,si,si,si,no,si,si,no,200,si,si,4,No,si,si,si,no,si,si,si,si,si,no,no,no
Sí,Femenino,19,4,BTS,Masculino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,4,no,si,si,si,si,no,no,600,no,si,5,No,si,si,si,no,si,si,si,si,si,si,no,no
Sí,Femenino,23,8,BTS,Masculino,Si,no,no,no,no,no,no,si,no,no,si,no,no,no,no,7,si,si,no,no,no,si,no,300,no,si,5,No,si,si,no,no,si,si,si,no,no,no,no,no
Sí,Femenino,19,5,KDA,Femenino,Si,no,no,no,no,no,no,si,no,si,si,si,no,no,no,1,si,si,si,si,si,si,no,1,si,si,1,No,si,no,no,no,no,no,si,no,no,no,no,no
Sí,Femenino,21,16,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,3,no,si,si,no,no,si,no,400,no,si,4,No,si,si,no,no,si,si,si,si,no,no,no,no
Sí,Femenino,16,5,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,3,si,no,si,no,no,si,no,30,si,no,5,Sí,si,si,no,no,si,si,si,si,si,si,no,no
Sí,Femenino,16,2,BTS,Masculino,Si,no,no,no,no,no,no,si,no,no,si,si,no,no,no,3,no,si,si,no,no,si,no,200,no,si,4,Sí,si,si,si,no,si,si,no,si,no,no,no,no
Sí,Femenino,21,5,BTS,Masculino,Si,si,no,no,no,no,no,no,no,no,si,no,no,no,no,1,si,no,no,no,no,no,no,1000,si,no,5,No,si,si,no,no,si,si,si,si,si,si,si,no
Sí,Femenino,19,19,BigBang,Masculino,No,no,no,no,no,no,no,si,no,no,si,si,no,si,no,1,si,no,no,no,no,no,no,50,si,no,2,No,si,no,no,no,si,si,no,no,no,no,no,no
Sí,Femenino,18,18,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,no,si,no,no,no,2,no,no,no,no,no,si,no,10,si,no,3,No,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,19,5,BTS,Masculino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,3,no,no,no,no,si,no,no,40,si,no,4,No,si,no,no,no,no,no,si,no,no,no,no,no
Sí,Femenino,20,7,BlackPink,Femenino,Si,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,si,no,no,no,no,no,no,12,si,no,2,No,no,no,si,no,si,no,no,no,no,no,no,no
Sí,Femenino,18,13,BTS,Masculino,No,si,si,no,no,no,no,no,no,no,si,si,no,no,no,3,no,si,si,no,no,no,no,100,no,si,4,Sí,si,si,no,no,si,si,si,si,no,si,no,no
Sí,Femenino,20,15,BTS,Masculino,Si,si,no,no,no,no,no,no,no,no,si,si,no,no,no,2,si,si,si,no,no,no,no,100,si,si,5,Sí,si,si,no,no,si,si,si,si,si,si,no,no
Sí,Masculino,18,3,BTS,Masculino,No,si,no,si,no,si,no,no,no,si,no,si,no,no,no,5,si,si,si,no,no,si,no,120,si,no,5,No,si,no,no,no,si,si,si,no,no,no,no,no
Sí,Femenino,20,14,BTS,Masculino,Si,si,si,si,no,no,si,no,no,si,si,si,no,si,no,10,si,si,si,no,si,no,no,100000,si,si,5,Sí,si,si,si,no,si,si,si,si,si,no,si,no
Sí,Masculino,18,16,BTS,Masculino,No,no,no,no,no,no,no,no,no,no,si,no,no,no,no,2,no,no,no,no,si,no,no,20,si,no,5,Sí,si,si,no,no,no,si,si,no,si,no,no,no
Sí,Femenino,17,3,BTS,Masculino,Si,si,si,si,si,no,no,no,no,no,si,no,no,no,no,4,si,si,si,no,no,si,no,200,no,si,5,Sí,si,si,no,no,si,si,si,si,si,no,no,no
Sí,Femenino,19,5,NCT,Masculino,No,si,no,no,no,no,no,no,no,no,si,no,no,no,no,5,si,si,no,no,no,no,no,100,no,si,3,No,si,si,no,no,si,si,si,si,no,no,no,no
Sí,Femenino,23,4,StrayKids,Masculino,Si,no,si,no,si,no,no,no,no,si,si,si,no,no,no,3,no,si,no,no,si,no,no,100,no,si,5,Sí,no,no,si,no,no,no,si,no,no,no,si,no
Sí,Femenino,20,2,BTS,Masculino,No,no,si,no,no,si,no,no,si,no,si,no,no,no,no,3,no,no,si,no,si,no,no,200,no,si,5,No,no,si,no,si,no,no,si,no,no,no,no,no
Sí,Femenino,19,3,BTS,Masculino,Si,no,no,si,no,no,no,no,no,no,si,no,no,no,no,4,no,no,si,no,no,no,no,300,no,si,5,Sí,no,no,si,no,no,no,no,si,no,no,no,no
Sí,Femenino,18,6,BTS,Masculino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,1,si,no,no,no,no,no,no,50,si,no,3,Sí,si,si,no,no,si,si,no,no,no,si,no,no
Sí,Masculino,20,1,NCT,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,no,no,si,no,no,no,50,no,si,3,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Masculino,19,3,BTS,Masculino,Si,si,no,no,si,no,no,no,no,si,si,no,no,no,no,1,si,si,no,no,si,no,no,50,no,si,4,No,si,no,no,no,si,si,no,no,no,no,no,no
Sí,Femenino,19,6,BTS,Masculino,Si,si,no,no,no,si,si,no,no,no,si,si,no,si,no,5,si,si,si,si,si,si,no,100,no,si,4,Sí,si,si,si,no,si,si,si,si,si,no,si,no
Sí,Femenino,23,4,BTS,Masculino,No,si,no,no,si,no,si,no,no,no,si,no,no,si,no,5,no,si,si,si,no,si,si,250,si,si,5,No,si,si,si,no,si,si,si,si,si,si,si,si
Sí,Femenino,18,2,StrayKids,Masculino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,4,si,si,no,si,no,si,no,100,si,si,3,Sí,si,si,no,no,si,si,no,no,no,si,no,no
Sí,Masculino,18,5,TXT,Masculino,No,si,si,no,no,si,no,no,no,si,si,si,no,no,no,2,si,si,no,no,si,si,no,50,no,si,3,No,si,no,no,no,si,si,si,no,si,no,no,no
Sí,Femenino,18,4,BTS,Masculino,No,no,no,no,no,no,no,si,no,si,si,si,si,si,no,1,no,no,no,no,no,no,si,0,si,no,2,No,si,si,si,no,si,si,si,si,no,no,no,no
Sí,Femenino,18,2,BTS,Masculino,Si,no,si,no,no,si,no,no,no,si,si,si,no,no,no,1,si,si,no,no,no,no,no,20,si,no,4,Sí,si,si,si,si,si,si,si,si,si,no,si,no
Sí,Femenino,19,11,BTS,Masculino,Si,no,si,no,no,no,no,no,no,si,si,si,no,no,no,1,no,no,no,no,si,no,no,100,si,no,4,No,si,si,si,no,si,si,si,si,si,si,si,no
Sí,Femenino,19,5,BTS,Masculino,Si,no,si,no,no,no,no,no,no,si,si,si,no,si,no,1,no,si,si,no,no,no,no,200,si,si,3,Sí,si,si,no,no,si,si,si,si,si,no,no,no
Sí,Masculino,18,2,SS501,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,no,si,no,no,no,no,100,no,si,2,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,19,4,BTS,Masculino,Si,si,si,no,si,no,si,no,no,si,si,si,no,no,no,2,si,si,si,no,si,si,no,300,si,si,4,No,si,si,si,no,si,si,si,no,si,no,no,no
Sí,Femenino,19,1,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,si,no,no,no,si,no,no,40,si,no,4,No,si,si,no,no,si,si,no,no,no,no,no,no
Sí,Femenino,22,13,StrayKids,Masculino,Si,no,no,no,no,no,no,si,no,no,si,no,no,no,no,2,si,si,no,si,si,si,no,50,si,si,5,No,si,si,si,no,si,si,si,si,si,si,si,no
Sí,Femenino,19,4,BTS,Masculino,Si,si,si,no,no,no,si,no,no,si,si,si,no,no,no,2,si,si,si,si,si,si,no,400,si,si,5,No,si,si,si,no,si,si,si,si,si,no,si,no
Sí,Femenino,18,10,Enhypen,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,3,si,si,no,no,si,si,no,300,si,si,5,Sí,si,no,no,no,si,no,si,si,no,no,no,no
Sí,Femenino,19,3,BTS,Masculino,Si,no,no,si,no,no,no,no,si,no,si,si,no,no,no,1,si,si,si,no,no,no,no,200,si,si,3,No,si,si,no,no,si,si,si,no,no,no,no,no
Sí,Femenino,26,14,BTS,Masculino,Si,si,si,no,si,no,si,no,no,no,si,no,no,no,no,4,si,si,si,si,si,si,no,150,si,si,4,Sí,si,si,no,no,no,no,si,si,si,no,no,no
Sí,Femenino,20,8,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,si,no,si,no,no,no,1,si,no,no,no,si,no,no,50,si,no,3,No,si,no,no,no,si,si,si,no,no,no,no,no
Sí,Masculino,20,2,Itzy,Femenino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,si,no,no,no,si,no,250,no,si,2,No,no,si,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,20,1,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,2,no,si,si,si,no,no,no,100,si,no,3,Sí,si,si,si,no,si,si,si,si,no,no,si,no
Sí,Femenino,18,4,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,si,no,si,no,si,no,100,si,no,2,No,si,no,no,no,si,si,no,si,no,no,no,no
Sí,Masculino,18,5,BTS,Masculino,Si,si,si,no,si,no,si,no,no,no,si,no,no,si,no,1,si,si,no,si,no,no,si,50,si,no,3,Sí,no,no,si,no,no,si,si,si,no,no,no,no
Sí,Masculino,15,2,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,2,si,si,si,si,si,si,no,10,si,no,2,No,no,si,no,no,no,no,si,no,no,no,si,no
Sí,Masculino,20,1,Twice,Masculino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,si,si,no,no,no,no,20,no,si,2,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,18,17,Momoland,Femenino,No,no,no,no,no,no,no,si,no,no,no,si,no,no,no,1,no,no,no,no,si,no,no,15,no,si,3,Sí,si,no,no,no,si,si,no,no,no,no,no,no
Sí,Femenino,17,3,BTS,Masculino,Si,no,no,si,no,no,no,no,no,no,si,no,no,no,no,5,si,si,no,si,si,si,no,360,no,si,4,Sí,si,si,si,no,si,si,si,si,si,si,si,no
Sí,Femenino,18,5,Seventeen,Masculino,Si,no,no,no,no,no,no,si,no,no,no,no,si,no,no,0,no,no,no,no,si,si,no,1,si,no,2,No,si,no,no,no,no,no,no,si,no,no,no,no
Sí,Femenino,20,4,Astro,Masculino,Si,si,no,no,si,no,si,no,no,si,si,si,no,no,si,2,no,si,si,si,no,no,no,200,no,si,4,Sí,si,si,si,no,si,si,si,si,si,no,si,no
Sí,Masculino,21,3,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,si,si,si,no,no,no,20,si,si,2,Sí,no,no,si,no,si,si,no,si,no,no,no,no
Sí,Masculino,21,3,BlackPink,Masculino,Si,no,no,no,no,si,no,no,no,no,si,si,no,no,no,1,no,si,si,no,no,no,no,30,si,no,1,Sí,no,si,no,no,no,no,no,si,si,no,si,si
Sí,Masculino,20,4,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,si,no,no,no,no,no,10,si,no,4,Sí,si,no,no,no,no,si,no,no,si,no,no,no
Sí,Femenino,19,14,BTS,Masculino,No,si,si,no,no,si,no,no,no,si,si,no,no,si,no,2,no,si,si,no,no,no,no,50,no,si,4,Sí,si,si,no,no,no,si,si,si,no,no,no,no
Sí,Femenino,18,2,RedVelvet,Femenino,No,no,no,no,no,no,si,no,no,no,si,no,no,si,no,1,si,si,si,no,no,no,no,50,si,no,4,Sí,si,si,no,no,si,no,si,no,no,no,no,no
Sí,Masculino,20,4,Ateez,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,si,no,si,no,no,no,70,si,no,4,No,si,no,no,no,no,no,si,no,no,no,no,no
Sí,Masculino,19,2,Twice,Femenino,No,no,no,no,no,no,no,si,no,si,si,no,no,no,no,1,no,no,no,si,no,no,no,100,no,si,4,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Masculino,19,2,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,2,no,no,si,si,no,no,no,50,si,no,4,Sí,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Masculino,20,1,Enhypen,Masculino,No,si,no,no,no,no,no,no,no,no,si,no,no,si,no,2,no,no,si,no,no,no,no,60,si,no,4,Sí,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,21,2,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,si,no,no,no,si,no,no,30,si,no,3,No,si,no,no,no,no,si,si,si,no,no,no,no
Sí,Masculino,21,2,BlackPink,Femenino,No,si,no,no,no,no,no,no,no,no,no,si,no,no,no,1,no,no,no,no,si,no,no,50,si,no,5,No,si,si,si,si,si,si,si,si,si,si,si,no
Sí,Femenino,20,7,BigBang,Masculino,No,si,no,no,no,si,no,no,si,no,si,no,si,no,no,1,no,no,si,no,si,no,no,50,si,si,4,Sí,si,si,no,no,no,si,si,no,no,no,no,no
Sí,Femenino,23,12,BlackPink,Femenino,No,si,no,no,no,si,no,no,no,no,si,si,no,si,no,2,si,si,no,no,no,no,no,50,no,si,3,No,si,no,no,no,no,no,si,no,si,no,no,no
Sí,Femenino,17,4,TXT,Masculino,Si,no,no,no,no,no,no,si,no,no,si,no,no,no,no,5,si,no,si,no,si,no,no,20,si,no,5,No,si,no,no,no,si,si,si,si,no,no,no,no
Sí,Femenino,17,2,StrayKids,Masculino,No,si,no,no,no,no,si,no,no,no,si,si,no,no,no,6,si,si,si,si,no,no,no,300,si,no,5,No,si,si,no,no,si,si,si,si,no,no,no,no
Sí,Femenino,17,12,BlackPink,Femenino,No,si,si,si,si,no,no,no,si,no,si,si,no,si,no,2,no,si,si,no,no,no,no,50,si,si,4,No,si,si,si,no,si,si,si,si,no,no,si,no
Sí,Femenino,22,2,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,1,no,no,no,si,no,no,no,100,no,si,4,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,19,5,SNSD,Femenino,No,no,no,no,no,no,no,no,no,si,si,si,no,no,no,2,si,si,no,no,no,si,no,150,no,si,4,No,no,si,no,no,no,no,si,si,no,no,no,no
Sí,Femenino,17,10,BTS,Masculino,No,no,no,no,no,no,no,si,no,si,si,si,no,si,no,1,si,si,si,no,no,si,no,100,no,si,3,Sí,si,no,no,no,si,si,si,si,si,si,si,no
Sí,Femenino,20,5,TheRose,Masculino,No,si,si,no,si,no,no,no,no,no,si,si,no,no,no,3,si,no,si,no,si,no,no,300,si,si,5,No,si,si,no,no,si,no,si,si,no,no,no,no
Sí,Femenino,17,2,StrayKids,Masculino,No,si,no,no,si,no,si,no,no,no,si,no,no,no,no,5,si,si,si,no,no,si,no,1000,no,si,5,Sí,si,si,si,no,si,si,no,si,no,no,no,no
Sí,Masculino,18,2,NCT,Masculino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,1,no,si,no,no,si,no,no,40,no,si,4,Sí,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Masculino,21,5,Twice,Masculino,Si,si,no,no,no,no,si,no,no,no,si,si,no,si,no,1,no,si,no,no,si,no,no,50,no,si,2,Sí,no,no,si,no,no,no,no,si,no,no,no,no
Sí,Femenino,25,2,BTS,Masculino,Si,si,si,no,no,no,no,no,no,no,si,si,no,si,no,1,no,si,si,si,si,no,no,100,si,si,4,Sí,no,no,si,no,si,si,si,no,no,no,no,no
Sí,Masculino,22,6,RedVelvet,Femenino,No,no,no,no,no,no,no,si,no,si,si,si,no,si,no,1,no,si,si,no,no,no,no,50,no,si,2,Sí,si,si,si,no,si,si,no,si,no,no,no,no
Sí,Masculino,20,4,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,si,si,si,no,no,no,50,si,si,3,No,no,no,si,no,no,si,no,no,no,no,no,no
Sí,Masculino,20,5,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,si,si,si,no,no,no,1,no,si,si,no,no,no,no,25,si,no,4,Sí,si,no,no,no,no,no,si,no,no,no,si,no
Sí,Femenino,18,6,BTS,Masculino,Si,no,no,no,no,no,no,si,no,si,si,no,no,no,no,2,no,si,si,si,no,si,no,400,si,si,4,Sí,si,si,si,no,si,si,si,si,si,si,si,no
Sí,Masculino,21,2,Enhypen,Masculino,Si,no,no,no,no,no,no,si,no,no,si,no,no,no,no,3,no,si,si,no,no,no,no,80,si,no,4,No,si,si,no,no,si,si,si,si,si,si,si,no
