Marca temporal,"Ingresa tu Edad (en años, y en números enteros):",Selecciona tu Carrera Universitaria:,Selecciona tu Género:,¿Te cuesta concentrarte al rendir una evaluación académica cuando hace mucho CALOR? [¿Cuánto te afecta?],¿Te cuesta concentrarte al rendir una evaluación académica cuando hace mucho FRÍO? [¿Cuánto te afecta?],¿Qué medidas tomas cuando tienes una evaluación y hace mucho CALOR?,¿Qué medidas tomas cuando tienes una evaluación y hace mucho FRÍO?,Cuando prefieres dar una evaluación. ¿Cuándo hace FRÍO o CALOR?,¿Crees que tu rendimiento académico mejoraría al incluir un sistema de aire acondicionado en las aulas en época de mucho CALOR? [¿Mejoraría?],¿Crees que tu rendimiento académico mejoraría al incluir un sistema de calefacción en las aulas en época de mucho FRÍO? [¿Mejoraría?],¿Qué sensación te produce al estar en un ambiente CALUROSO y tener clase o examen en ella?,¿Qué sensación te produce al estar en un ambiente FRÍO y tener clase o examen en ella?,Rendiste tu examen parcial de Introducción a la Mecánica en la Universidad:,Nota de tu examen parcial de Introducción a la Mecánica:,Rendiste tu examen parcial de Laboratorio de Comunicación 2 en la Universidad:,Nota de tu examen final de Introducción a la Mecánica:,Nota de tu examen parcial de Laboratorio de Comunicación 2:,Nota de tu examen final de Laboratorio de Comunicación 2:
22/09/2022 23:53:23,21,Civil,Masculino,Me afecta y de forma considerable,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Incomodidad,Si,10,Si,10,11,10
23/09/2022 0:06:49,20,Ambiental,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Ropa ligera,Usar abrigo ,Cuando hace frío,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Incomodidad,Sueño,Si,0,Si,0,16,16
23/09/2022 11:31:02,21,Electrónica,Masculino,Me afecta en ciertas ocasiones,Me afecta a tal punto de alterar mi concentración por completo,Nada,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Mejoraría de forma considerable,Cansancio,Muy activo,Si,13,Si,16,14,18
23/09/2022 11:32:27,20,Química,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta pero puedo lidiarlo,Pequeño ventilador,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Mejoraría de forma considerable,Sueño,Muy activo,Si,11,Si,13,14,15
23/09/2022 11:53:18,18,Industrial,Femenino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Usar abrigo ,Cuando hace frío,Me mantendría muy activo académicamente,Me mantendría muy activo académicamente,Estrés,Sueño,Si,0,Si,0,0,0
23/09/2022 11:55:03,18,Ambiental,Femenino,Me afecta a tal punto de alterar mi concentración por completo,Me afecta a tal punto de alterar mi concentración por completo,Agua helada,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Incomodidad,Sueño,Si,0,Si,0,17,15
23/09/2022 11:58:48,19,Ambiental,Femenino,Me afecta en ciertas ocasiones,Me afecta en ciertas ocasiones,Agua helada,Usar abrigo ,Cuando hace calor,Mejoraría en un pequeño porcentaje,Mejoraría de forma considerable,Sueño,Nervios,Si,0,Si,0,16,16
23/09/2022 12:01:59,21,Civil,Femenino,Me afecta y de forma considerable,Me afecta y de forma considerable,Aire con cuaderno,Usar abrigo ,Cuando hace frío,Mejoraría de forma considerable,Mejoraría de forma considerable,Sueño,Muy activo,No,14,No,11,14,10
23/09/2022 12:03:52,20,Civil,Masculino,Me afecta pero puedo lidiarlo,Me afecta pero puedo lidiarlo,Agua helada,Tomar café,Cuando hace frío,Me mantendría muy activo académicamente,Mejoraría de forma considerable,Cansancio,Sueño,Si,17,Si,14,11,15
23/09/2022 12:07:52,18,Civil,Femenino,Me afecta en ciertas ocasiones,Me afecta y de forma considerable,Pequeño ventilador,Usar abrigo ,Cuando hace calor,Mejoraría de forma considerable,Mejoraría en un pequeño porcentaje,Cansancio,Muy activo,Si,10,Si,9,15,13
