CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CIUDAD,CONGLOMERADO,NSELV,VIVIENDA,THOGAR,NHOGAR,ESTRATO,VRESFIN,RESFIN,P15,P15_N,INF_200,P200_N,P203,P204,P205_A,P205_B,P206,P207_1,P208,P209,P209_N,P209_1,P210,P210_N,P210_1,P211_N,P211_1,P200_APORTANTE,P211_N_PARENTESCO,P211_N_SEXO,P211_N_AÑOS,P211_N_MESES,P211_N_ECIVIL,P211_N_MIGRANTE,factorfinal
15,LIMA,01,LIMA,19,LURIN,Lima,29806,68378,12,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,5,1,5,8.Otro pariente,2.Mujer,16, ,6.Soltero/a,4.No Sabe,1.Sí,2.No, ,3.Otro país,2.No, ,3.Otro país,2,4.Otro, ,2,2,29, ,1,1,133.030685853111
15,LIMA,01,LIMA,19,LURIN,Lima,29778,68073,9,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,6,1,6,4.Yerno/nuera,2.Mujer,17, ,1.Conviviente,3.No tiene,1.Sí,2.No, ,1.Perú,2.No, ,1.Perú,1,4.Otro, ,1,2,35, ,1,1,133.030685853111
07,LIMA,01,CALLAO,01,CALLAO,Lima,1814802,16137,9,1,1,3.Medio,1.Completa,1.Completa,1.Sí,5,1,5,4.Yerno/nuera,2.Mujer,17, ,1.Conviviente,3.No tiene,1.Sí,2.No, ,3.Otro país,2.No, ,1.Perú,1,4.Otro, ,1,2,35, ,6,1,133.030685853111
14,LAMBAYEQUE,01,CHICLAYO,06,LA VICTORIA,Chiclayo,03976,04564,9,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,1,1,1,1.Jefe/a del hogar,2.Mujer,17, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,4.Falleció/No sabe,2.No, ,2.Venezuela,1,4.Otro, ,1,2,17, ,6,1,18.0433333333333
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12284,10250,9,1,1,4.Medio alto,1.Completa,1.Completa,1.Sí,6,1,5,11.Otro no pariente,2.Mujer,17, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,2.Venezuela,2.No, ,2.Venezuela,5,4.Otro, ,11,2,17, ,1,1,26.3516408125007
15,LIMA,01,LIMA,37,SANTA ANITA,Lima,2435802,55117,13,1,1,5.Alto,1.Completa,1.Completa,1.Sí,1,1,1,1.Jefe/a del hogar,1.Hombre,17, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,1.Perú,2.No, ,2.Venezuela,1,4.Otro, ,1,1,17, ,6,1,399.092057559333
20,PIURA,01,PIURA,01,PIURA,Piura,01266,01374,24,2,2,2.Medio bajo,1.Completa,1.Completa,1.Sí,3,1,2,2.Esposo/a o compañero/a,1.Hombre,17, ,1.Conviviente,1.El Nº es,1.Sí,2.No, ,2.Venezuela,2.No, ,1.Perú,2,4.Otro, ,2,1,17, ,1,1,47.0523363210131
14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,Chiclayo,03641,03961,35,1,1,1.Bajo,1.Completa,1.Completa,1.Sí,1,1,1,1.Jefe/a del hogar,1.Hombre,15, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,2.Venezuela,2.No, ,1.Perú,1,4.Otro, ,1,1,15, ,6,1,18.0433333333333
15,LIMA,01,LIMA,40,SANTIAGO DE SURCO,Lima,27154,45937,10,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,7,1,6,8.Otro pariente,1.Hombre,15, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,2.Venezuela,2.No, ,2.Venezuela,2,4.Otro, ,2,2,44, ,1,1,79.8184115118666
15,LIMA,01,LIMA,25,PUENTE PIEDRA,Lima,19286,20505,18,1,1,5.Alto,1.Completa,1.Completa,1.Sí,5,1,5,11.Otro no pariente,1.Hombre,17, ,6.Soltero/a,1.El Nº es,1.Sí,2.No, ,1.Perú,2.No, ,1.Perú,1,4.Otro, ,1,2,36, ,1,1,133.030685853111
