CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CIUDAD,CONGLOMERADO,NSELV,VIVIENDA,ESTRATO,VRESFIN,RESFIN,PRESFIN,THOGAR,NHOGAR,P15,P15_N,P200_N,INF_300,P301_D,P301_M,P301_A,P302,P303_MES,P303_ANIO,P304,P305,P306_1,P306_2,P306_3,P306_4,P306_5,P306_6,P306_7,P307,P307A,P308,P309,P309_1,P310_E,P311,P312,P313,factorfinal
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00034,00240,21,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,4,1,1,10,01,1984,35,11,2018,1.Tumbes,1.Sí,1.Cédula de identidad vigente,0,3.Pasaporte vigente,0,5.Certificado o partida de nacimiento,0,0,13.DNI, ,5.No solicité refugio,8.No he necesitado,2.Cuenta con DNI,12,1.Sí, ,1.Sí,9.21107902336571
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00034,00240,21,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,4,2,2,10,10,1984,35,2,2018,1.Tumbes,1.Sí,1.Cédula de identidad vigente,0,0,4.Pasaporte vencido,0,0,0,5.Carné de extranjería por familiar de residente, ,5.No solicité refugio,8.No he necesitado,1.Cuenta con carné de Extranjería,12,1.Sí, ,2.No,9.21107902336571
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00034,00240,21,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,4,3,3,27,08,2005,35,11,2018,1.Tumbes,1.Sí,1.Cédula de identidad vigente,0,3.Pasaporte vigente,0,5.Certificado o partida de nacimiento,0,0,13.DNI, ,5.No solicité refugio,8.No he necesitado,2.Cuenta con DNI,12,1.Sí, ,2.No,9.21107902336571
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00034,00240,21,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,4,4,2,25,09,2013,35,11,2018,1.Tumbes,1.Sí,0,0,3.Pasaporte vigente,0,5.Certificado o partida de nacimiento,0,0,13.DNI, ,5.No solicité refugio,8.No he necesitado,2.Cuenta con DNI,12,1.Sí, , ,9.21107902336571
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00036,00200,25,3.Medio,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,4,1,1,17,03,1968,35,6,2018,1.Tumbes,1.Sí,1.Cédula de identidad vigente,0,0,0,0,0,0,3.Carné de extranjería por PTP, ,5.No solicité refugio,8.No he necesitado,1.Cuenta con carné de Extranjería,07,2.No,4.Regresar a Venezuela,2.No,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00036,00200,25,3.Medio,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,4,2,2,16,09,1980,35,6,2018,1.Tumbes,1.Sí,1.Cédula de identidad vigente,0,0,0,0,0,0,3.Carné de extranjería por PTP, ,5.No solicité refugio,8.No he necesitado,1.Cuenta con carné de Extranjería,07,1.Sí, ,2.No,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00036,00200,25,3.Medio,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,4,3,1,26,09,2011,35,6,2018,1.Tumbes,1.Sí,1.Cédula de identidad vigente,0,0,0,0,0,0,3.Carné de extranjería por PTP, ,5.No solicité refugio,8.No he necesitado,1.Cuenta con carné de Extranjería,07,1.Sí, , ,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00036,00200,25,3.Medio,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,4,4,4,14,11,1957,35,6,2018,1.Tumbes,1.Sí,1.Cédula de identidad vigente,0,0,0,0,0,0,3.Carné de extranjería por PTP, ,5.No solicité refugio,8.No he necesitado,1.Cuenta con carné de Extranjería,07,1.Sí, ,2.No,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00038,00229,16,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,1,1,1,29,10,1991,35,6,2018,1.Tumbes,1.Sí,1.Cédula de identidad vigente,0,0,0,0,0,0,15.NO CUENTA CON UN PERMISO MIGRATORIO,7.Otro,"1.Sí, solicité refugio, decisión pendiente", , ,19,2.No,4.Regresar a Venezuela,2.No,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00038,00230,17,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,5,1,1,26,06,1964,35,2,2019,1.Tumbes,1.Sí,0,2.Cédula de identidad vencida,0,0,0,0,0,1.Carné de Permiso Temporal de Permanencia (CPP), ,"1.Sí, solicité refugio, decisión pendiente", , ,10,1.Sí, ,2.No,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00038,00230,17,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,5,2,2,28,06,1993,35,8,2019,1.Tumbes,2.No,1.Cédula de identidad vigente,0,0,0,0,0,0,1.Carné de Permiso Temporal de Permanencia (CPP), ,"1.Sí, solicité refugio, decisión pendiente", , ,10,1.Sí, ,2.No,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00038,00230,17,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,5,3,1,06,02,2012,35,8,2019,1.Tumbes,1.Sí,0,0,0,0,5.Certificado o partida de nacimiento,0,0,15.NO CUENTA CON UN PERMISO MIGRATORIO,7.Otro,"1.Sí, solicité refugio, decisión pendiente", , ,10,1.Sí, , ,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00038,00230,17,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,5,4,1,27,02,2015,35,8,2019,1.Tumbes,1.Sí,0,0,0,0,5.Certificado o partida de nacimiento,0,0,15.NO CUENTA CON UN PERMISO MIGRATORIO,7.Otro,"1.Sí, solicité refugio, decisión pendiente", , ,10,1.Sí, , ,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00038,00230,17,2.Medio bajo,1.Completa,1.Completa,1.COMPLETA,1,1,1.Sí,5,5,1,28,06,2016,35,8,2019,1.Tumbes,1.Sí,0,0,0,0,5.Certificado o partida de nacimiento,0,0,15.NO CUENTA CON UN PERMISO MIGRATORIO,7.Otro,"1.Sí, solicité refugio, decisión pendiente", , ,10,1.Sí, , ,18.4221580467314
