CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CIUDAD,CONGLOMERADO,NSELV,VIVIENDA,THOGAR,NHOGAR,ESTRATO,VRESFIN,RESFIN,P15,P15_N,P200_N,P313_N,P313_1,P313_2,P313_3,P313_4,factorfinal
15,LIMA,01,LIMA,10,COMAS,Lima,20920,22746,50,1,1,2,1,1,1,1,1,1,1,1,75,2,133.030685853111
15,LIMA,01,LIMA,10,COMAS,Lima,20920,22746,50,1,1,2,1,1,1,1,1,2,2,2,68,2,133.030685853111
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25486,21,1,1,3,1,1,1,3,1,1,8,2,39,2,133.030685853111
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25488,11,1,1,3,1,1,1,2,1,1,2,2,50,1,79.8184115118666
15,LIMA,01,LIMA,11,EL AGUSTINO,Lima,24531,52494,15,1,1,3,1,1,1,5,3,1,9,1,67,2,133.030685853111
15,LIMA,01,LIMA,01,LIMA,Lima,24910,36106,19,1,1,4,1,1,1,7,5,1,9,2,73,2,99.7730143898332
15,LIMA,01,LIMA,03,ATE,Lima,49871,56657,7,1,1,1,1,1,1,4,4,2,8,1,20,2,99.7730143898332
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,1052802,06818,17,1,1,2,1,1,1,1,1,1,1,1,62,2,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,01,TRUJILLO,Trujillo,1052802,06818,17,1,1,2,1,1,1,1,1,2,2,2,60,2,33.7211559817993
15,LIMA,01,LIMA,15,LA VICTORIA,Lima,25948,41914,12,1,1,3,1,1,1,2,2,1,2,2,52,1,133.030685853111
15,LIMA,01,LIMA,15,LA VICTORIA,Lima,25948,41914,12,1,1,3,1,1,1,2,2,2,8,2,28,2,133.030685853111
15,LIMA,01,LIMA,34,SAN LUIS,Lima,26195,53566,45,1,1,3,1,1,1,3,1,1,1,1,55,2,133.030685853111
15,LIMA,01,LIMA,22,MIRAFLORES,Lima,26658,44615,22,1,1,2,1,1,1,2,2,1,2,2,49,2,133.030685853111
15,LIMA,01,LIMA,22,MIRAFLORES,Lima,26658,44615,22,1,1,2,1,1,1,2,2,2,1,1,48,2,133.030685853111
15,LIMA,01,LIMA,22,MIRAFLORES,Lima,26658,44615,22,1,1,2,1,1,1,2,2,3,9,2,78,2,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3,1,1,1,3,7,1,1,1,62,2,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3,1,1,1,3,7,2,2,2,56,2,133.030685853111
15,LIMA,01,LIMA,41,SURQUILLO,Lima,26758,43703,5,1,1,3,1,1,1,3,7,3,8,2,16,2,133.030685853111
15,LIMA,01,LIMA,40,SANTIAGO DE SURCO,Lima,26944,45027,4,1,1,1,1,1,1,2,1,1,1,1,63,2,199.546028779666
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27668,62694,18,1,1,2,1,1,1,3,2,1,2,2,52,2,99.7730143898332
15,LIMA,01,LIMA,08,CHORRILLOS,Lima,27701,62087,2,1,1,3,1,1,1,4,1,1,1,1,58,1,199.546028779666
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28016,63904,22,1,1,4,1,1,1,2,1,1,1,1,72,1,79.8184115118666
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28016,63904,22,1,1,4,1,1,1,2,1,2,2,2,68,1,79.8184115118666
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28016,63904,22,1,1,4,1,1,1,2,1,3,4,1,10,1,79.8184115118666
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28122,64808,15,1,1,3,1,1,1,2,1,1,2,2,35,1,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28122,64808,15,1,1,3,1,1,1,2,1,2,1,1,43,1,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28122,64808,15,1,1,3,1,1,1,2,1,3,8,1,10,1,133.030685853111
15,LIMA,01,LIMA,33,SAN JUAN DE MIRAFLORES,Lima,28122,64808,15,1,1,3,1,1,1,2,1,4,4,1,4,1,133.030685853111
15,LIMA,01,LIMA,43,VILLA MARIA DEL TRIUNFO,Lima,29021,67194,18,1,1,3,1,1,1,9,8,1,1,1,47,2,79.8184115118666
15,LIMA,01,LIMA,43,VILLA MARIA DEL TRIUNFO,Lima,29021,67194,18,1,1,3,1,1,1,9,8,2,2,2,37,1,79.8184115118666
15,LIMA,01,LIMA,43,VILLA MARIA DEL TRIUNFO,Lima,29021,67194,18,1,1,3,1,1,1,9,8,3,8,2,18,2,79.8184115118666
15,LIMA,01,LIMA,43,VILLA MARIA DEL TRIUNFO,Lima,29021,67194,18,1,1,3,1,1,1,9,8,4,8,2,16,1,79.8184115118666
15,LIMA,01,LIMA,43,VILLA MARIA DEL TRIUNFO,Lima,29021,67194,18,1,1,3,1,1,1,9,8,5,9,2,59,1,79.8184115118666
15,LIMA,01,LIMA,43,VILLA MARIA DEL TRIUNFO,Lima,29342,67762,2,1,1,4,1,1,1,8,2,1,9,2,38,2,399.092057559333
15,LIMA,01,LIMA,10,COMAS,Lima,20918,22705,18,1,1,2,1,1,1,4,3,1,2,2,72,1,199.546028779666
15,LIMA,01,LIMA,10,COMAS,Lima,20918,22705,18,1,1,2,1,1,1,4,3,2,8,1,51,1,199.546028779666
15,LIMA,01,LIMA,10,COMAS,Lima,20918,22705,18,1,1,2,1,1,1,4,3,3,8,2,49,2,199.546028779666
15,LIMA,01,LIMA,10,COMAS,Lima,21067,23279,33,1,1,4,1,1,1,2,1,1,1,1,69,1,99.7730143898332
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25488,11,1,1,3,1,1,1,2,2,1,2,2,49,2,79.8184115118666
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25488,11,1,1,3,1,1,1,2,2,2,8,1,24,2,79.8184115118666
15,LIMA,01,LIMA,12,INDEPENDENCIA,Lima,21433,25488,11,1,1,3,1,1,1,2,2,3,8,1,20,2,79.8184115118666
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22547,48338,11,1,1,3,1,1,1,1,2,1,4,1,32,2,79.8184115118666
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22547,48338,11,1,1,3,1,1,1,1,2,2,4,2,28,2,79.8184115118666
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22547,48338,11,1,1,3,1,1,1,1,2,3,2,2,72,2,79.8184115118666
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22595,48837,10,1,1,3,1,1,1,3,2,1,9,2,70,1,79.8184115118666
15,LIMA,01,LIMA,32,SAN JUAN DE LURIGANCHO,Lima,22595,48837,10,1,1,3,1,1,1,3,2,2,9,2,53,1,79.8184115118666
15,LIMA,01,LIMA,03,ATE,Lima,23699,57719,15,1,1,4,1,1,1,2,2,1,2,2,38,2,99.7730143898332
15,LIMA,01,LIMA,03,ATE,Lima,23699,57719,15,1,1,4,1,1,1,2,2,2,8,2,8,1,99.7730143898332
15,LIMA,01,LIMA,37,SANTA ANITA,Lima,24289,54585,20,1,1,3,1,1,1,1,1,1,1,1,53,2,79.8184115118666
15,LIMA,01,LIMA,37,SANTA ANITA,Lima,24289,54585,20,1,1,3,1,1,1,1,1,2,2,2,42,2,79.8184115118666
15,LIMA,01,LIMA,37,SANTA ANITA,Lima,24289,54585,20,1,1,3,1,1,1,1,1,3,8,1,18,1,79.8184115118666
15,LIMA,01,LIMA,37,SANTA ANITA,Lima,24289,54585,20,1,1,3,1,1,1,1,1,4,8,2,15,2,79.8184115118666
15,LIMA,01,LIMA,11,EL AGUSTINO,Lima,24531,52494,15,1,1,3,1,1,1,5,5,1,1,1,47,2,133.030685853111
07,LIMA,01,CALLAO,01,CALLAO,Lima,18010,15442,12,1,1,2,1,1,1,1,1,1,1,1,65,2,133.030685853111
07,LIMA,01,CALLAO,01,CALLAO,Lima,18010,15442,12,1,1,2,1,1,1,1,1,2,2,2,59,2,133.030685853111
07,LIMA,01,CALLAO,01,CALLAO,Lima,18014,15451,27,1,1,2,1,1,1,3,2,1,1,1,49,2,199.546028779666
07,LIMA,01,CALLAO,01,CALLAO,Lima,18252,17000,1,1,1,3,1,1,1,3,2,1,4,2,14,2,133.030685853111
07,LIMA,01,CALLAO,01,CALLAO,Lima,18252,17000,1,1,1,3,1,1,1,3,2,2,2,2,55,2,133.030685853111
07,LIMA,01,CALLAO,01,CALLAO,Lima,18427,17575,26,1,1,2,1,1,1,6,1,1,2,2,55,2,199.546028779666
07,LIMA,01,CALLAO,01,CALLAO,Lima,18427,17575,26,1,1,2,1,1,1,6,1,2,8,1,2,2,199.546028779666
07,LIMA,01,CALLAO,01,CALLAO,Lima,18427,17575,26,1,1,2,1,1,1,6,1,3,8,2,30,2,199.546028779666
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00058,00698,15,1,1,2,1,1,1,10,6,1,2,2,60,2,12.2814386978209
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00058,00698,15,1,1,2,1,1,1,10,6,2,1,1,67,2,12.2814386978209
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00058,00698,15,1,1,2,1,1,1,10,8,1,9,2,64,2,12.2814386978209
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00103,00253,28,1,1,1,1,1,1,2,1,1,2,2,39,2,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00103,00253,28,1,1,1,1,1,1,2,1,2,8,1,9,2,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00103,00253,28,1,1,1,1,1,1,2,1,3,9,2,57,2,18.4221580467314
20,PIURA,01,PIURA,15,VEINTISÉIS DE OCTUBRE,Piura,01370,02304,16,1,1,3,1,1,1,11,1,1,2,2,79,2,31.3682242140087
20,PIURA,01,PIURA,15,VEINTISÉIS DE OCTUBRE,Piura,01370,02304,16,1,1,3,1,1,1,11,10,1,8,2,28,2,31.3682242140087
20,PIURA,01,PIURA,15,VEINTISÉIS DE OCTUBRE,Piura,01370,02304,16,1,1,3,1,1,1,11,10,2,8,2,23,2,31.3682242140087
20,PIURA,01,PIURA,15,VEINTISÉIS DE OCTUBRE,Piura,01370,02304,16,1,1,3,1,1,1,11,10,3,9,2,79,2,31.3682242140087
20,PIURA,01,PIURA,15,VEINTISÉIS DE OCTUBRE,Piura,01370,02304,16,1,1,3,1,1,1,11,6,1,1,1,42,2,31.3682242140087
20,PIURA,01,PIURA,15,VEINTISÉIS DE OCTUBRE,Piura,01370,02304,16,1,1,3,1,1,1,11,6,2,8,2,21,2,31.3682242140087
20,PIURA,01,PIURA,15,VEINTISÉIS DE OCTUBRE,Piura,01370,02304,16,1,1,3,1,1,1,11,6,3,9,2,80,2,31.3682242140087
20,PIURA,01,PIURA,15,VEINTISÉIS DE OCTUBRE,Piura,01370,02304,16,1,1,3,1,1,1,11,6,4,9,1,38,2,31.3682242140087
20,PIURA,01,PIURA,01,PIURA,Piura,01523,01745,23,1,1,2,1,1,1,3,1,1,2,2,47,2,31.3682242140087
20,PIURA,01,PIURA,01,PIURA,Piura,01523,01745,23,1,1,2,1,1,1,3,1,2,8,2,18,1,31.3682242140087
20,PIURA,01,PIURA,01,PIURA,Piura,01523,01745,23,1,1,2,1,1,1,3,2,1,2,2,47,2,31.3682242140087
20,PIURA,01,PIURA,01,PIURA,Piura,01523,01745,23,1,1,2,1,1,1,3,2,2,1,1,39,2,31.3682242140087
20,PIURA,01,PIURA,01,PIURA,Piura,01523,01745,23,1,1,2,1,1,1,3,2,3,8,1,29,2,31.3682242140087
20,PIURA,01,PIURA,01,PIURA,Piura,01523,01745,23,1,1,2,1,1,1,3,2,4,8,2,28,2,31.3682242140087
20,PIURA,01,PIURA,01,PIURA,Piura,01523,01745,23,1,1,2,1,1,1,3,2,5,8,2,18,2,31.3682242140087
20,PIURA,01,PIURA,01,PIURA,Piura,01523,01745,23,1,1,2,1,1,1,3,2,6,8,1,11,2,31.3682242140087
14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,Chiclayo,03415,03327,1,1,1,3,1,1,1,2,2,1,3,1,39,1,27.065
14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,Chiclayo,03415,03327,1,1,1,3,1,1,1,2,2,2,4,1,19,1,27.065
14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,Chiclayo,03415,03327,1,1,1,3,1,1,1,2,2,3,4,1,14,1,27.065
14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,Chiclayo,03415,03327,1,1,1,3,1,1,1,2,2,4,4,1,13,1,27.065
14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,Chiclayo,03500,03636,19,1,1,1,1,1,1,8,8,1,2,2,47,2,27.065
14,LAMBAYEQUE,01,CHICLAYO,01,CHICLAYO,Chiclayo,03500,03636,19,1,1,1,1,1,1,8,8,2,8,1,23,2,27.065
14,LAMBAYEQUE,01,CHICLAYO,05,JOSE LEONARDO ORTIZ,Chiclayo,03730,02718,11,1,1,4,1,1,1,5,1,1,1,1,60,2,13.5325
14,LAMBAYEQUE,01,CHICLAYO,05,JOSE LEONARDO ORTIZ,Chiclayo,03730,02718,11,1,1,4,1,1,1,5,1,2,2,2,53,2,13.5325
14,LAMBAYEQUE,01,CHICLAYO,05,JOSE LEONARDO ORTIZ,Chiclayo,03816,02849,63,1,1,2,1,1,1,4,1,1,1,1,65,2,18.0433333333333
13,LA LIBERTAD,01,TRUJILLO,05,LA ESPERANZA,Trujillo,10311,05021,6,1,1,3,1,1,1,4,2,1,9,2,58,2,33.7211559817993
13,LA LIBERTAD,01,TRUJILLO,05,LA ESPERANZA,Trujillo,10322,05020,5,1,1,5,1,1,1,5,1,1,4,2,13,1,33.7211559817993
