id,listing_url,scrape_id,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5630167,https://www.airbnb.com/rooms/5630167,20220606014139,2022-06-06,Eiffel Tower View Roof Top Luxury,"A private elevator up to our amazing open living space which looks out to stunning views of the neighborhood rooftops and Eiffel Tower. Find luxury and comfort in this beautifully furnished rooftop apartment.  Full kitchen.  This apartment is spacious, quiet, private and full of light.  Individual AC for each room is a bonus in the warm months.<br /><br />****Please do not request a booking before writing to me. I want to accommodate all requests.  Please do write before making a booking request.****<br /><br /><b>The space</b><br />This luxurious apartment has open living space, deep wrap around balconies, and wide open roof top views and a spectacular view of the Eiffel Tower.<br />Ride the spacious elevator up to the sixth floor and enter the apartment which spans the entire top floor of the building. <br />This unit can be used in conjunction with ""Eiffel Tower View, Family Penthouse""  see below.  Great for large groups of up to 14 people.<br />https://www.airbnb.com/rooms/5650752<","Everyone thinks the place to stay is in the center of Paris.  This location will prove them wrong.  It is bustling during the week and quiet on the weekends and minutes away from many great museums, parks, restaurants, cafes, and beautiful streets.  I lived in Paris a long time and the 16th north is still my favorite place to be.  <br />Grocery stores are plentiful in the area as are great cafes.",https://a0.muscache.com/pictures/71153743/cec7fafd_original.jpg,5394957,https://www.airbnb.com/users/show/5394957,Maureen,2013-03-10,"Scarsdale, New York, United States","Mom to 4 active children. We have been living in Paris France for a long time. I started in IT and then started my own catering company.  We love to travel the world and share our world with guests who come to our home.
I am originally from California and my husband is from New York. We speak English, French and are trying to learn Arabic.",within a day,100%,83%,TRUE,https://a0.muscache.com/im/users/5394957/profile_pic/1410590811/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5394957/profile_pic/1410590811/original.jpg?aki_policy=profile_x_medium,Passy,3,3,"['email', 'phone']",TRUE,TRUE,"Paris, Île-de-France, France",Passy,NA,48.86811,2.29044,Entire rental unit,Entire home/apt,4,NA,1 bath,1,3,"[""Single level home"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""Wifi"", ""Oven"", ""Cable TV"", ""Coffee maker"", ""First aid kit"", ""TV with standard cable"", ""Private patio or balcony"", ""Stove"", ""Private entrance"", ""Dryer"", ""High chair"", ""Paid parking off premises"", ""Dishwasher"", ""Microwave"", ""Washer"", ""Long term stays allowed"", ""Heating"", ""Window guards"", ""Elevator"", ""Free street parking"", ""Hair dryer"", ""Smoke alarm"", ""Air conditioning"", ""Hot water"", ""Dishes and silverware"", ""Iron"", ""Baby bath"", ""Bed linens"", ""Fire extinguisher"", ""Cooking basics"", ""Essentials"", ""Keypad"", ""Shampoo"", ""Kitchen"", ""Hangers""]",$280.00,2,1124,2,2,1124,1124,2,1124,NA,TRUE,2,3,5,73,2022-06-06,145,10,0,2015-05-19,2022-04-04,4.85,4.93,4.85,4.81,4.8,4.97,4.83,7511601162457,FALSE,2,2,0,0,1.69
36756660,https://www.airbnb.com/rooms/36756660,20220606014139,2022-06-07,Saint Lambert Trinkets,"With unique collections of pottery and artworks, this serene home is stylish, ideal for up to 2 guests. The apartment is within walking distance of the Eiffel Tower and is just a short metro ride from the Jardin du Luxembourg.<br />        <br />The apartment is on the ground floor of the building, so has step-free access.<br /><br />DINING ROOM<br />The dining area offers a circular table and surround white seating. The space offers access to the terrace garden and is decorated with eclectic art and ceramics.<br /><br />FIRST RECEPTION ROOM<br />The living area offer a sofa, coffee table and armchair, as well as a decorative fireplace. The room has a calming feel, with neutral tones throughout.<br /><br />TERRACE<br />The terrace garden is spacious, with a dining table and chairs, with lots of surrounding trees and plants. It offers a little oasis during your stay in Paris.<br /><br />KITCHEN<br />The kitchen is a gally style kitchen and includes all the amenities you will need during",NA,https://a0.muscache.com/pictures/7900d24c-bdfb-4fd0-8237-51bf8191f9c7.jpg,33889201,https://www.airbnb.com/users/show/33889201,Veeve,2015-05-21,"London, England, United Kingdom","Greetings from the Veeve team!


Veeve manage the largest collection of homes to rent for short stays in London since 2011, launching in Paris in 2017. Our rental homes are predominantly privately-owned, lived-in homes in vibrant neighbourhoods. Thanks to our fully managed service, when you stay in a Veeve property you can benefit from the spaciousness, personal style and relaxed feel of a home – but with all the amenities of a hotel.


Once a booking is confirmed our Customer Service team will become your main point of contact and get in touch with you to organise your arrival at the property (including airport transfers, upon request); after which our on-the-ground management team will look after all aspects of your stay, with in-stay support available to help with any queries.


We have strict cleanliness guidelines for our cleaners and all staff who enter our properties and have reinforced existing cleaning procedures in line with official WHO, British and French government guidance.


As always, our team ensure that all properties are cleaned to a professional standard before and after each stay, with increased focus on touch-point cleaning (door handles, kitchen surfaces, kettles, taps etc.).

 All staff who enter properties will follow the below procedures:
 

- Carry and regularly use alcohol-based hand rub
- Sanitise their mobile phones 
- Focus extra attention when cleaning key touch-point areas (door handles, kitchen surfaces, kettles, taps etc.)
- Wear protective gear where appropriate
- Wash and disinfect work shoes


We might be able to arrange for property viewings, upon request, for stays of over 28 nights. 

Please be aware once a booking is confirmed you will be required to complete a Rental Agreement and also  ID verification via our partners Superhog. This is mandatory for all our stays and in accordance to short lets requirements with Veeve.

If you have any questions, please do not hesitate to contact us and we will be sure to answer you promptly.",within an hour,99%,97%,FALSE,https://a0.muscache.com/im/pictures/user/cefcf382-a8fe-4348-9bba-ae00462784ca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cefcf382-a8fe-4348-9bba-ae00462784ca.jpg?aki_policy=profile_x_medium,Pimlico,1225,1225,"['email', 'phone', 'work_email']",TRUE,TRUE,NA,Vaugirard,NA,48.83872,2.29702,Entire rental unit,Entire home/apt,2,NA,1 bath,1,1,"[""Backyard"", ""Elevator"", ""Hair dryer"", ""Microwave"", ""Kitchen"", ""Refrigerator"", ""Iron"", ""Long term stays allowed"", ""Wifi"", ""Oven"", ""Heating"", ""Indoor fireplace"", ""Dishwasher""]","$1,370.00",3,1125,3,3,1125,1125,3,1125,NA,TRUE,0,0,0,0,2022-06-07,1,0,0,2020-05-29,2020-05-29,5,5,5,5,5,5,5,7511500886629,TRUE,233,233,0,0,0.04
20010602,https://www.airbnb.com/rooms/20010602,20220606014139,2022-06-06,Cosy 1 bedroom close to Père Lachaise Cemetary,"In a very typical parisian area, you will find yourself cosy in this newly redecorated nest to discover Paris. This is my place and not made for Airbnb so you'll find all you need to enjoy your stay.<br />The metro and the buses down the appartment can bring you to the most iconic places in Paris : Opéra Garnier at 20 minutes, The Louvre and Notre Dame de Paris at 30 minutes.<br /><br /><b>The space</b><br />My appartment offers a big bedroom with a queen size bed and some closet to store your stuff, a cosy living room with a TV, a kitchen big enough to enjoy your breakfast or any other meal, a bathroom and a toilet.<br /><br /><b>Guest access</b><br />You will have access to all the appartment.<br /><br /><b>Other things to note</b><br />It is non-smoking.<br /><br /><b>License number</b><br />7512003348708","You'll love to walk around this typical quiet parisian area, buy great french cheese, bread and other food in the little shops around and enjoy a flash back in history visiting the Père Lachaise.<br />You can also walk to famous areas like Menilmontant and Belleville, where you'll find a lot of bars and restaurants.",https://a0.muscache.com/pictures/fb3e0f52-dcfb-4a1c-a9f8-26c50dc3966d.jpg,5605355,https://www.airbnb.com/users/show/5605355,Annabel,2013-03-24,"Marseille, Provence-Alpes-Côte d'Azur, France","French, like to ski, climb, chill out, eat good food and discover new places.",N/A,N/A,N/A,FALSE,https://a0.muscache.com/im/users/5605355/profile_pic/1441539638/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5605355/profile_pic/1441539638/original.jpg?aki_policy=profile_x_medium,NA,1,1,"['email', 'phone']",TRUE,TRUE,"Paris, Île-de-France, France",Ménilmontant,NA,48.86512,2.39773,Entire rental unit,Entire home/apt,2,NA,1 bath,1,1,"[""Refrigerator"", ""Wifi"", ""Oven"", ""Host greets you"", ""Coffee maker"", ""TV"", ""First aid kit"", ""Bathtub"", ""Stove"", ""Dishwasher"", ""Microwave"", ""Washer"", ""Long term stays allowed"", ""Breakfast"", ""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Hot water"", ""Dishes and silverware"", ""Bed linens"", ""Cooking basics"", ""Essentials"", ""Shampoo"", ""Kitchen""]",$85.00,5,1125,5,5,1125,1125,5,1125,NA,TRUE,0,0,0,0,2022-06-06,11,0,0,2018-10-31,2019-08-15,4.91,5,4.91,5,5,5,4.82,7512003348708,FALSE,1,1,0,0,0.25
29180930,https://www.airbnb.com/rooms/29180930,20220606014139,2022-06-06,19 - 21 Avenu Jean Lolive 93500 PANTIN Bel Appart,"Appartement chaleureux et spacieux idéal pour une famille,il a été refait complètement  à neuf en Juillet 2019 .Situé à moins de 5 minutes de  Paris. Idéalement situé à la porte de Pantin, avec la ligne 5 du métro à 2-3 minutes à pied (Station Hoche), 10 minutes de la Gare du Nord, un Supermarché ouvert jusqu'à 22h au rez-de-chaussé ainsi qu'une laverie, quelques fast-food et restaurants. <br />La Cité des Sciences est accessible en Tramway et le Canal de l'Ourq n'est pas loin.<br /><br /><b>The space</b><br />Appartement de 88m2<br />Terrasse 18,7 m2<br />4 pièces<br /><br /><b>Guest access</b><br />Le logement entier<br /><br /><b>Other things to note</b><br />2 places de parkings pour voiture (type berline et en dessous) :<br />2 ème sous-sol (escalier 1 & 2) Place n°75<br />3 ème sous-sol (escalier 1&2) Place n°8",Supermarché au rez-de-chaussé ouvert jusqu'à 22h<br />Canal de l'Ourq <br />Cité des Sciences - Zenith<br />Complexe Sportif<br />Centre commercial à 4 minutes Leclerc VERPANTIN<br />Boulangerie - Banque - Enseigne Nicolas (Vin),https://a0.muscache.com/pictures/f5b251c8-c80f-4a54-9b25-88a732aab7c3.jpg,219684247,https://www.airbnb.com/users/show/219684247,Samuel,2018-10-09,"Les Abymes, Grande-Terre, Guadeloupe",NA,within a few hours,100%,47%,FALSE,https://a0.muscache.com/im/pictures/user/ec01de4d-1a48-4c65-b115-48b4232d56ce.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ec01de4d-1a48-4c65-b115-48b4232d56ce.jpg?aki_policy=profile_x_medium,NA,1,1,"['email', 'phone']",TRUE,TRUE,"Pantin, Île-de-France, France",Buttes-Chaumont,NA,48.8901,2.40108,Entire rental unit,Entire home/apt,9,NA,2 baths,3,6,"[""Paid parking garage on premises \u2013 2 spaces"", ""Single level home"", ""Refrigerator"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Wifi"", ""Clothing storage: closet"", ""Host greets you"", ""Cable TV"", ""Coffee maker"", ""Window AC unit"", ""First aid kit"", ""Bathtub"", ""TV with standard cable"", ""Rice maker"", ""Private patio or balcony"", ""Stove"", ""Private entrance"", ""Paid street parking off premises"", ""Dishwasher"", ""Drying rack for clothing"", ""Pocket wifi"", ""Cleaning before checkout"", ""Microwave"", ""Washer"", ""Dining table"", ""Freezer"", ""Long term stays allowed"", ""Heating"", ""Window guards"", ""Wine glasses"", ""Ethernet connection"", ""Elevator"", ""Hair dryer"", ""Smoke alarm"", ""Dryer \u2013 In building"", ""Hot water"", ""Dishes and silverware"", ""Cleaning products"", ""Iron"", ""Bed linens"", ""Fire extinguisher"", ""Cooking basics"", ""Essentials"", ""Outdoor dining area"", ""Laundromat nearby"", ""Kitchen"", ""Hangers""]",$450.00,2,30,2,2,30,30,2,30,NA,TRUE,16,46,76,76,2022-06-06,21,0,0,2018-10-25,2020-03-17,4.15,4.1,3.9,4.4,4.35,4.5,4.05,NA,FALSE,1,1,0,0,0.48
6553983,https://www.airbnb.com/rooms/6553983,20220606014139,2022-06-07,charmant appart 5 min de Notre Dame,"Charmant  3 pièces de 57m², 3ème étage sans ascenseur à 5 min à pied de notre dame,  au cœur du quartier latin. Point de départ idéal pour visiter Paris.<br /><br /><b>The space</b><br />Appartement au 3ème étage sans ascenseur typiquement parisien avec du parquet, où il fait bon se reposer. Son emplacement est agréable dans ce quartier animé!<br /><br />Il se compose d'une entrée donnant sur un salon/salle à manger. Vous y aurez accès à:<br />- écran plat avec plus de 100 chaînes câblées ( Langue anglaise possible)<br />- 1 canapé convertible très confortable 160/200cm<br />- 1 table à manger 4/6 personnes<br />- 2 chaises hautes pour enfants<br />Ce salon donne ensuite accès à la chambre à coucher:<br />- Avec un vrai lit 160/200cm<br />- Une armoire où mettre vos habits<br />- Une salle de bain en carrelage blanc avec 1 fenêtre, une baignoire, sèche- cheveux et sèche serviette.<br />- table à langer<br />Linge, serviettes, gants de toilettes et savon sont inclus dans la location.<br","Cet appartement est situé à 5 min de Notre Dame , au cœur du quartier latin dans le centre de Paris. Vous aurez donc à votre disposition toutes les commodités dans la même rue: boulangerie, boucherie, poissonnerie, fromager, supermarchés... Ainsi que de multiples transports pour visiter le reste de la capitale (Stations Vélib', Métro, RER, Bus).<br />Le cadre de l'emplacement reste idéal pour découvrir la vie parisienne, avec ses nombreux restaurants et bars à proximité. Berceau culturel de la capitale, vous serez entourés entre autre des plus grandes écoles telles la Sorbonne ou encore Henri IV, mais aussi de grands espaces verts comme le Jardin du luxembourg et le jardin des plantes.<br /><br />Bien évidemment, si vous avez des questions concernant votre confort pendant le séjour je reste à votre entière disposition en espérant vous souhaiter la bienvenue très bientôt !",https://a0.muscache.com/pictures/f2d26be4-3f18-4608-83ca-9f43588361cb.jpg,9702334,https://www.airbnb.com/users/show/9702334,Marc,2013-10-29,"Paris, Île-de-France, France","Travaillant et vivant dans le quartier latin depuis plus de dix ans, je pourrais vous conseiller sur quelques bonnes adresses à coté de l’appartement!!!",N/A,N/A,N/A,FALSE,https://a0.muscache.com/im/users/9702334/profile_pic/1383068254/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9702334/profile_pic/1383068254/original.jpg?aki_policy=profile_x_medium,Panthéon,1,1,"['email', 'phone']",TRUE,FALSE,"Paris, Île-de-France, France",Panthéon,NA,48.84752,2.35052,Entire rental unit,Entire home/apt,6,NA,1 bath,2,2,"[""Children\u2019s dinnerware"", ""Refrigerator"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""Wifi"", ""Oven"", ""Coffee maker"", ""TV"", ""Bathtub"", ""Stove"", ""High chair"", ""Paid parking off premises"", ""Dishwasher"", ""Microwave"", ""Washer"", ""Changing table"", ""Long term stays allowed"", ""Heating"", ""Ethernet connection"", ""Hair dryer"", ""Hot water"", ""Dishes and silverware"", ""Patio or balcony"", ""Bed linens"", ""Cooking basics"", ""Essentials"", ""Shampoo"", ""Kitchen"", ""Hangers""]",$200.00,365,1125,365,365,1125,1125,365,1125,NA,TRUE,0,0,0,0,2022-06-07,10,0,0,2015-06-24,2019-07-20,4.9,4.8,4.9,4.8,5,5,4.7,NA,FALSE,1,1,0,0,0.12
18483981,https://www.airbnb.com/rooms/18483981,20220606014139,2022-06-06,Typical Parisian flat with a Scandinavian touch,"Recently renovated by an architect, be the first to stay in our cozy flat in Paris ! Located in a homy and calm neighborhood in the 12th arrondissement, 2 min from the nearest metro station and 10 min from the famous Place de la Nation (public transport leading to everywhere in Paris), our flat is a calm and a full of light haven. It has a big luminous living room with a dining area and an open kitchen, a bedroom, a guest room/office with a sofa-bed for 2 people, bathroom and toilet.<br /><br /><b>The space</b><br />Our flat has been recently renovated to have a loft-like look with wide open space  and combining the style of typical parisian (our building is from the 1900s, with original hard wood floors and fireplace) and scandinavian cozy interior design. It is on the 5th floor (no elevator, sorry but it is typical of old Paris building ;)) which provides the advantage of great light (East-West exposure) in the big living room. Our home is composed of :<br />- a large living room wit","The 12th arrondissement is located in the south-east of Paris and is well known for being a calm, family-friendly and mercantile area while being close to the vibrant Parisian life of the 11th (many of the best restaurants and bars in Paris being there) and very accessible to the animated center of the city. Our neighborhood is very typical of the 12th : friendly and calm, many convenience stores around (supermarkets, bakeries, markets, pharmacies etc) and a few gems in terms of restaurants and cafés.",https://a0.muscache.com/pictures/bbab4421-1384-4313-8bef-d5b015a2442c.jpg,58035389,https://www.airbnb.com/users/show/58035389,Norika & Guillaume,2016-02-09,"København, Denmark","Hello ! Nous sommes un couple de trentenaires sympathique vivant à Paris. Nous aimons les voyages, les bons dîners entre amis, les soirées Netflix avec du bon thé, découvrir de bons restaurants, les vacances au ski et la vie en générale :) Nous sommes plutôt cool, disponibles, serviables, respectueux, non-fumeurs et sans animaux. Au plaisir de vous accueillir chez nous ou de découvrir votre ""home sweet home"" ! 
Norika & Guillaume",N/A,N/A,N/A,FALSE,https://a0.muscache.com/im/pictures/user/2bb867a0-0c9a-4445-bb6a-8fa37357ad41.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2bb867a0-0c9a-4445-bb6a-8fa37357ad41.jpg?aki_policy=profile_x_medium,Nation,1,1,"['email', 'phone']",TRUE,TRUE,"Paris, Île-de-France, France",Reuilly,NA,48.84409,2.40308,Entire rental unit,Entire home/apt,4,NA,1 bath,2,2,"[""Refrigerator"", ""Wifi"", ""Oven"", ""Host greets you"", ""Coffee maker"", ""TV"", ""Stove"", ""Paid parking off premises"", ""Dishwasher"", ""Microwave"", ""Washer"", ""Long term stays allowed"", ""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Hot water"", ""Dishes and silverware"", ""Iron"", ""Bed linens"", ""Cooking basics"", ""Essentials"", ""Shampoo"", ""Game console"", ""Kitchen"", ""Hangers""]",$114.00,1,1125,1,1,1125,1125,1,1125,NA,TRUE,0,0,0,0,2022-06-06,31,0,0,2017-06-25,2020-05-30,4.89,4.93,4.75,4.82,5,4.93,4.86,7511200759325,FALSE,1,1,0,0,0.51
16600568,https://www.airbnb.com/rooms/16600568,20220606014139,2022-06-07,Studio in the hearth of Paris,"My accomodation is in the Marais district, near the Center Pompidou, Les Halles, Notre Dame de Paris, Picasso Museum, City Hall, Carnavalet Museum, Place des Vosges, Children's Market -Rouges ... You will appreciate my studio for its location, and the view of the Center Pompidou and the Sacré Coeur ... My accommodation is perfect for couples, solo travelers and business travelers.<br /><br /><b>The space</b><br />My accommodation is located in a building from the 19th century on the 7th floor with a lift up to the 6th floor. Recently renovated, you can enjoy clean, comfortable accommodation, a cozy atmosphere and contemporary decor.<br /><br /><b>License number</b><br />7510303027689","The Marais district<br />The Marais district gets its name from its location: once a marshland (‘marais’), it has been inhabited ever since it was drained back in the 12th century. This historic area is now one of the most visited districts of the French capital, for its architectural heritage as well as its unique vibe. The district is shaped like a triangle, bordered respectively by Place de la Bastille, Place de la République and the Hôtel de Ville. It has a number of private mansions dating to the 17th and 18th centuries, some of which have been converted into internationally renowned museums such as the Musée Picasso, the Maison de Victor Hugo and the Musée Carnavalet. The beautiful and well-proportioned square known as Place des Vosges is a highlight of a stroll through the Marais. Rue des Rosiers, the Jewish quarter of Paris, is well worth exploring for its old-world atmosphere and its offbeat shops and restaurants. The Marais has any number of trendy shops and restaurants, as w",https://a0.muscache.com/pictures/966bd217-37bf-41ae-b391-9638df6c6b2d.jpg,5680475,https://www.airbnb.com/users/show/5680475,Marc-Etienne,2013-03-29,"Paris, Île-de-France, France",NA,within a day,80%,100%,FALSE,https://a0.muscache.com/im/pictures/user/bb5d0d56-3a35-447f-8a85-54825256901c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bb5d0d56-3a35-447f-8a85-54825256901c.jpg?aki_policy=profile_x_medium,Le Marais,1,1,"['email', 'phone']",TRUE,TRUE,"Paris, Île-de-France, France",Temple,NA,48.8624,2.35447,Entire rental unit,Entire home/apt,1,NA,1 bath,1,1,"[""Single level home"", ""Refrigerator"", ""Wifi"", ""Oven"", ""Host greets you"", ""Coffee maker"", ""TV"", ""Stove"", ""Paid parking off premises"", ""Microwave"", ""Long term stays allowed"", ""Heating"", ""Elevator"", ""Hair dryer"", ""Smoke alarm"", ""Hot water"", ""Dishes and silverware"", ""Iron"", ""Cooking basics"", ""Essentials"", ""Shampoo"", ""Kitchen"", ""Hangers""]",$50.00,20,1125,20,20,1125,1125,20,1125,NA,TRUE,0,0,4,4,2022-06-07,28,4,0,2017-01-23,2022-04-30,4.81,4.93,4.74,4.78,5,5,4.78,7510303027689,FALSE,1,1,0,0,0.43
19028645,https://www.airbnb.com/rooms/19028645,20220606014139,2022-06-06,Charmant studio à Paris 15eme,"Studio (18m2) au 15eme arrondissement de Paris. Ensoleillé, prés du Jardin George Brassens. Calme. Près des supermachés et lignes de bus et metro!",NA,https://a0.muscache.com/pictures/a94dd577-934b-4098-b61a-11c39f8168fa.jpg,32286015,https://www.airbnb.com/users/show/32286015,Victoria,2015-04-30,"Paris, Île-de-France, France","I am a scientistic, passionate of plants",N/A,N/A,N/A,FALSE,https://a0.muscache.com/im/users/32286015/profile_pic/1430486545/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/32286015/profile_pic/1430486545/original.jpg?aki_policy=profile_x_medium,Porte de Versailles,1,1,"['email', 'phone', 'work_email']",TRUE,TRUE,NA,Vaugirard,NA,48.83054,2.30372,Entire rental unit,Entire home/apt,2,NA,1 bath,1,2,"[""Smoke alarm"", ""Extra pillows and blankets"", ""First aid kit"", ""Hot water"", ""Iron"", ""Long term stays allowed"", ""Bed linens"", ""Wifi"", ""Heating"", ""Essentials"", ""Private entrance"", ""Kitchen""]",$40.00,365,1125,365,365,1125,1125,365,1125,NA,TRUE,0,0,0,0,2022-06-06,29,0,0,2017-06-04,2019-09-16,4.75,4.85,4.82,4.82,4.82,4.82,4.79,NA,TRUE,1,1,0,0,0.48
26356578,https://www.airbnb.com/rooms/26356578,20220606014139,2022-06-07,Cozy Parisian Studio of 25m2 Metro Commerce,"<b>The space</b><br />Cozy and cute Studio well-arranged with exposed beams in a 1800's building.<br /><br />25m2 on theme of Paris located in the best area of the 15th district, close to transport and Rue du Commerce.<br /><br />Pleasant, bright and well maintained this studio will provide you with the necessary (and more !) during your visit in the capital of France.<br /><br />Double glazing, TV, Internet HD, Fan, Memory Foam Bed and Pillows, Guitare, Maps...<br /><br />Fully equipped and functional kitchen (Toaster, Microwave/Oven, Dolce Gusto machine, Fridge, Water Boiler...)<br /><br />Ideal for a couple or a single person.<br /><br />A little cocoon of well-being in a lively area !<br /><br /><b>License number</b><br />7511502696173",NA,https://a0.muscache.com/pictures/6d94c4cf-79cd-458d-9f38-df52108de42c.jpg,31133887,https://www.airbnb.com/users/show/31133887,Erika,2015-04-13,"Paris, Île-de-France, France","Bonjour, 
Je suis passionnée de gastronomie et j’adore voyager avec mon chéri.
Je suis communicative et facile à vivre.
Je partage ma vie entre Paris et Versailles mais j’ai vécu en Suisse, à Montréal et à Bordeaux pendant mes études.
Je suis titulaire d’un Bachelor en Hospitality Management et d’un MBA en Luxury Brand Management. 
Je souhaite devenir consultante en restauration et chef de projet Food. 
",N/A,N/A,N/A,FALSE,https://a0.muscache.com/im/pictures/user/7f028884-4fba-452d-a9ee-0fd7f0f4ab10.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7f028884-4fba-452d-a9ee-0fd7f0f4ab10.jpg?aki_policy=profile_x_medium,NA,1,1,"['email', 'phone']",TRUE,TRUE,NA,Vaugirard,NA,48.84157,2.29452,Entire rental unit,Entire home/apt,2,NA,1 bath,1,1,"[""Free street parking"", ""Microwave"", ""Cable TV"", ""Refrigerator"", ""Coffee maker"", ""TV with standard cable"", ""Hot water"", ""Dishes and silverware"", ""Lockbox"", ""Stove"", ""Bed linens"", ""Carbon monoxide alarm"", ""Heating"", ""Essentials"", ""Wifi"", ""Cooking basics"", ""Shampoo"", ""Oven"", ""Paid parking off premises"", ""Kitchen""]",$60.00,3,15,3,3,15,15,3,15,NA,TRUE,0,0,0,0,2022-06-07,50,0,0,2018-07-23,2020-09-24,4.78,4.86,4.74,4.88,4.96,4.94,4.76,7511502696173,FALSE,1,1,0,0,1.06
32128646,https://www.airbnb.com/rooms/32128646,20220606014139,2022-06-06,♥ Quiet apartment near Champs Elysée - 6P,"Magnificent Parisian apartment 2 steps from the Avenue des Champs-Elysées, carefully decorated by our interior designers, can accommodate up to 6 people.<br /><br /><b>The space</b><br />This welcoming apartment will make you feel at home from your arrival. It is located on the ground floor. Refurbished and tastefully furnished, the apartment consists of a carefully furnished living room (1 sofa bed), as well as 2 spacious bedrooms. The kitchen and bathroom are modern. The apartment has all the necessary equipment (broadband wifi, smart tv etc). All linens (bedding and towels) are provided.<br /><br /><b>Guest access</b><br />Travelers will have full access to accommodation. It is an independent and private apartment, entirely reserved for travelers.  <br /> <br />The accommodation is accessible from 3pm on the day of your arrival. The access is made in an autonomous way thanks to a coded key box. It will have to be released before 10 am on the day of your departure, you will only have","You will be close to the Avenue des Champs-Elysées which is undeniably one of the most famous avenue in the world, some even calling it the most beautiful avenue in the world. Stretching over 2 kilometers between the Arc de Triomphe and the Place de la Concorde, the Avenue des Champs-Elysées, as well as the streets around, are an attraction not to be missed. You'll find everything there: great restaurants, cabarets, shops and a good dose of culture and architecture.",https://a0.muscache.com/pictures/977a750b-11b6-4b8e-8b3a-81ad03457c0f.jpg,226958437,https://www.airbnb.com/users/show/226958437,OpenFlats,2018-11-22,"Paris, Île-de-France, France","Open Flats votre référence pour la location saisonnière d'appartements à Paris.

Nos logements sont conçus pour accueillir aussi bien les voyageurs d'affaires que les touristes. C'est la combinaison parfaite d'un hôtel de qualité avec un service unique à des prix raisonnables.

Open Flats accorde une grande importance au bien-être de ses voyageurs et s'efforce d'améliorer leur séjour chaque jour.
Check-in autonome, notre équipe jeune et dynamique répondra à toutes vos demandes dans les meilleurs délais, 7/7. 
",within an hour,96%,98%,FALSE,https://a0.muscache.com/im/pictures/user/f559d786-f2df-46a0-b9a2-ed828eab204d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f559d786-f2df-46a0-b9a2-ed828eab204d.jpg?aki_policy=profile_x_medium,Saint-Lazare,52,52,"['email', 'phone', 'work_email']",TRUE,TRUE,"Paris, Île-de-France, France",Élysée,NA,48.87229,2.3001,Entire rental unit,Entire home/apt,6,NA,1 bath,2,3,"[""Refrigerator"", ""Carbon monoxide alarm"", ""Wifi"", ""Coffee maker"", ""TV"", ""Stove"", ""Paid parking off premises"", ""Microwave"", ""Long term stays allowed"", ""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Hot water"", ""Dishes and silverware"", ""Iron"", ""Bed linens"", ""Cooking basics"", ""Essentials"", ""Shampoo"", ""Kitchen"", ""Hangers""]",$199.00,3,999,2,3,999,999,3,999,NA,TRUE,0,3,7,66,2022-06-06,149,39,0,2019-02-19,2022-04-29,4.22,4.47,4.23,4.79,4.66,4.9,4.28,7510803293412,FALSE,40,40,0,0,3.71
