Dato;Tipo de criptomoneda;Creador;Descentralizada;Tipo de blockchain;Smart  Contracts;Open;High;Low;Close;Adj close;Volume
1/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;755.757019;782.530029;742.004028;772.640991;772.640991;2595760128
2/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;755.757019;914.830017;772.346008;884.44397;884.44397;5783349760
3/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;755.757019;974.471008;868.450989;962.719971;962.719971;5093159936
4/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;755.757019;1045.079956;946.085999;980.921997;980.921997;6502859776
5/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;755.757019;1075.390015;956.325012;997.719971;997.719971;6683149824
6/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1060.709961;994.622009;1041.680054;1041.680054;4662219776
7/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1153.170044;1043.01001;1153.170044;1153.170044;5569880064
8/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1266.930054;1016.049988;1148.530029;1148.530029;8450970112
9/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1320.97998;1145.48999;1299.73999;1299.73999;7965459968
10/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1417.380005;1226.599976;1255.819946;1255.819946;9214950400
11/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1337.300049;1135.170044;1154.930054;1154.930054;7235899904
12/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1296.040039;1120.089966;1273.199951;1273.199951;5222300160
13/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1432.880005;1270.469971;1396.420044;1396.420044;5746760192
14/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1400.560059;1286.209961;1366.77002;1366.77002;4841630208
15/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1390.589966;1290.599976;1291.920044;1291.920044;4781100032
16/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1292.630005;875.544983;1053.689941;1053.689941;8405139968
17/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1090.22998;780.921997;1014.25;1014.25;8545160192
18/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1100.310059;967.758972;1036.280029;1036.280029;5938319872
19/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1093.219971;1003.710022;1039.099976;1039.099976;4084450048
20/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1167.109985;1044.949951;1155.150024;1155.150024;3975190016
21/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1155.680054;1021.5;1049.579956;1049.579956;3378089984
22/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1089.099976;930.741028;1003.26001;1003.26001;3810099968
23/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1023.22998;920.539978;986.229004;986.229004;3556699904
24/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1062.439941;965.807983;1058.780029;1058.780029;3944039936
25/01/2018;ETHEREUM (ETH);Vitalik Buterin ;si;Público;si;995.153992;1104.660034;1034.73999;1056.030029;1056.030029;4050190080
