Distrito,N° de pisos del edificio,N° de unidades,N° de habitaciones,N° de baños,Área del departamento (m2),Precio ,Condición del departamento,Sala de reuniones o eventos (Si/No),Gimnasio (Si/No),Zona de parrillas (Si/No),Juegos infantiles (Si/No),Piscina (Si/No)
Miraflores,22,174,1,1,42,522100,En Planos,No,No,Si,No,Si
Miraflores,22,174,1,1,42,510500,En Planos,No,No,Si,No,Si
Miraflores,22,174,1,1,38,409500,En Planos,No,No,Si,No,Si
Miraflores,22,174,2,2,60,710500,En Planos,No,No,Si,No,Si
Miraflores,22,174,2,2,61,645300,En Planos,No,No,Si,No,Si
Miraflores,23,154,1,1,45,361000,En Planos,Si,Si,Si,Si,No
Miraflores,23,154,1,1,57,466000,En Planos,Si,Si,Si,Si,No
Miraflores,23,154,2,1,56,475000,En Planos,Si,Si,Si,Si,No
Miraflores,23,154,2,2,55,439000,En Planos,Si,Si,Si,Si,No
Miraflores,23,154,2,2,84,644000,En Planos,Si,Si,Si,Si,No
Miraflores,8,15,2,3,120,1128600,En Construcción,No,No,No,No,No
Miraflores,8,15,2,3,120,1174200,En Construcción,No,No,No,No,No
Miraflores,8,15,3,3,120,1242600,En Construcción,No,No,No,No,No
Miraflores,8,15,3,3,120,1273000,En Construcción,No,No,No,No,No
Miraflores,8,15,3,3,120,1284400,En Construcción,No,No,No,No,No
Miraflores,13,110,2,2,67,592000,En Planos,Si,No,Si,No,Si
Miraflores,13,110,2,2,69,508000,En Planos,Si,No,Si,No,Si
Miraflores,13,110,3,3,90,812000,En Planos,Si,No,Si,No,Si
Miraflores,13,110,3,2,91,752000,En Planos,Si,No,Si,No,Si
Miraflores,13,110,3,2,92,784000,En Planos,Si,No,Si,No,Si
Miraflores,23,256,2,2,56,384025,En Planos,No,No,No,No,No
Miraflores,23,256,2,2,60,448502,En Planos,No,No,No,No,No
Miraflores,23,256,2,2,63,422949,En Planos,No,No,No,No,No
Miraflores,23,256,3,2,92,661661,En Planos,No,No,No,No,No
