"0","```r
DF %>% str(DF$Edad)
```"
"1","spec_tbl_df [2,039 × 21] (S3: spec_tbl_df/tbl_df/tbl/data.frame)
"
"1","Warning: 'length(x) = 2039 > 1' in coercion to 'logical(1)'Warning: 'length(x) = 2039 > 1' in coercion to 'logical(1)'
"
"1"," $ Periodo     : chr [1:2039] \"2020.2\" \"2020.2\" \"2020.1\" \"2020.1\" ...
 $ Codigo      : num [1:2039] 2.02e+08 2.02e+08 2.02e+08 2.02e+08 2.02e+08 ...
 $ Apellido    : chr [1:2039] \"Chuquimajo Huamantumba\" \"Abad Rios\" \"Abanto Rodríguez\" \"Acevedo Loayza\" ...
 $ Nombre      : chr [1:2039] \"Pablo\" \"Alexandro\" \"Diego Walter\" \"Gina Tamarah\" ...
 $ Seccion     : num [1:2039] 3 1 1 1 5 3 3 1 3 3 ...
 $ Ciclo       : num [1:2039] 5 6 3 5 3 4 3 4 3 3 ...
 $ Edad        : num [1:2039] 21 19 17 18 18 18 17 22 17 18 ...
 $ Estatura    : num [1:2039] 180 170 153 172 181 153 160 177 166 165 ...
 $ Peso        : chr [1:2039] \"68\" \"63\" \"50\" \"74\" ...
 $ Signo       : chr [1:2039] \"geminis\" \"Géminis\" \"Escorpio\" \"Aries\" ...
 $ Sexo        : chr [1:2039] \"M\" \"M\" \"M\" \"F\" ...
 $ Carrera     : chr [1:2039] \"Ing.Electrónica\" \"Bioingenieria\" \"Ing.Mecatronica\" \"Ing. Industrial\" ...
 $ Tiempo      : num [1:2039] 300 NA 381 381 332 405 244 NA 173 887 ...
 $ Videojuegos : chr [1:2039] \"no\" \"si\" \"No\" \"no\" ...
 $ Deporte     : chr [1:2039] \"no\" \"si\" \"No\" \"no\" ...
 $ Color       : chr [1:2039] NA NA NA NA ...
 $ Calzado     : chr [1:2039] NA NA NA NA ...
 $ Polo        : chr [1:2039] NA NA NA NA ...
 $ Sistema     : chr [1:2039] NA NA NA NA ...
 $ Fecha       : chr [1:2039] NA NA NA NA ...
 $ Indicaciones: logi [1:2039] FALSE FALSE FALSE FALSE FALSE FALSE ...
 - attr(*, \"spec\")=
  .. cols(
  ..   Período = col_character(),
  ..   Código = col_double(),
  ..   Apellido = col_character(),
  ..   Nombre = col_character(),
  ..   Sección = col_double(),
  ..   Ciclo = col_double(),
  ..   Edad = col_double(),
  ..   `Estatura (cm)` = col_number(),
  ..   `Peso (kg)` = col_character(),
  ..   `Signo del zodiaco` = col_character(),
  ..   Sexo = col_character(),
  ..   Carrera = col_character(),
  ..   `Tiempo de reacción` = col_double(),
  ..   `Juega videojuegos` = col_character(),
  ..   `Hace deporte` = col_character(),
  ..   `Color favorito` = col_character(),
  ..   `Talla de zapato` = col_character(),
  ..   `Talla de polo` = col_character(),
  ..   `Sistema operativo` = col_character(),
  ..   `Fecha de nacimiento` = col_character(),
  ..   Indicaciones = col_logical()
  .. )
 - attr(*, \"problems\")=<externalptr> 
"
