wp;activity;start_date;end_date
Etapa 1;Definir objetivos;2022-09-05;2022-09-08
Etapa 1;Definir poblacion, muestra y muestreo;2022-09-06;2022-09-08
Etapa 1;Definir variables;2022-09-07;2022-09-08
Etapa 2;Elaboracion de encuesta;2022-09-08;2022-09-12
Etapa 2;Correccion de encuesta por feedback;2022-09-10;2022-09-11
Etapa 2;Recepcion de respuestas;2022-09-12;2022-09-22
Etapa 3;Limpieza de datos;2022-09-25;2022-09-26
Etapa 3;Recodificacion de data;2022-09-25;2022-09-26
Etapa 4;Definicion relacion entre variables;2022-09-26;2022-09-27
Etapa 4;Elaboracion de descriptores;2022-09-27;2022-09-29
Etapa 4;Organizacion de presentacion;2022-09-29;2022-09-30
