Variable;Tipo;Escala;Restriccion
Edad;Numerica;Discreta;Valor entero entre 15 a 28.
Distrito de residencia;Categorica;Nominal;Los 43 distritos que conforman Lima Metropolitana
Carrera;Categorica;Nominal;Las 12 carreras que ofrece UTEC
Ciclo academico;Numerica;Ordinal;Del primer ciclo al 10 ciclo
Sexo biologico;Categorica;Nominal;Masculino o Femenino
Trabaja;Categorica;Nominal;Estudio, estudio y trabajo
Numero de cursos;Numerica;Discreta;Valor entero entre 3 y 8.
Numero de horas de siesta por dia;Numerica;Discreta;Valor entero entre 1 y 12
Promedio ponderado anterior;Numerica;Continua;Valor entre 1 y 20
Numero de horas de estudio a la semana;Numerica;Discreta;Valor enter entre 1 y 140.
Frecuencia de momentos de preocupacion;Categorica;Nominal;Nunca, casi nunca, ocasionalmente, casi siempre y siempre.
C;Categorica;Ordinal;Nunca, casi nunca, ocasionalmente, casi siempre y siempre.
Factor de estres;Categorica;Ordinal;Nunca, casi nunca, ocasionalmente, casi siempre y siempre.
Nivel propio de estres;Numerica;Discreta;0, 1, 2, 3, 4 y 5
Nivel de estres;Categorica;Ordinal;Poco estres, Estres positivo,  Demasiado estres y Burnout
C_total;Numerica;Discreta;Intervalos [38, 190]
