"","Edad","Género","Ocupación","Plataforma","Escala","Dispositivo","Comparte","Inversión","Finalidad","Desventaja","Tiempo","Cantidad_Plataformas","Satisfacción","Suscribirse","Accion","Drama","Comedia","Terror","Documentales","Otros"
"1",19,"Masculino","Estudiante","Netflix",7,"Smart TV","Sí",110,"Entretenimiento","Distracción",20,3,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2",20,"Femenino","Estudiante","Netflix",9,"Laptop","Sí",35,"Entretenimiento","Distracción",15,2,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez"
"3",20,"Masculino","Estudiante","Netflix",6,"Smart TV","Sí",10,"Entretenimiento","Consumo de tiempo",8,2,"Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"4",19,"Femenino","Estudiante","Netflix",6,"Celular","Sí",10,"Entretenimiento","Adicción",10,3,"Regular","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente"
"5",18,"Femenino","Estudiante","Otra",10,"Celular","No",50,"Entretenimiento","Distracción",30,25,"Excelente","No","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente"
"6",22,"Masculino","Estudiante","Otra",8,"Celular","Sí",19,"Entretenimiento","Ninguna",15,1,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"7",20,"Femenino","Estudiante","Netflix",7,"Tablet","No",45,"Entretenimiento","Distracción",18,1,"Regular","Sí","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"8",18,"Masculino","Estudiante","Netflix",10,"Laptop","No",6,"Entretenimiento","Distracción",1,1,"Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez"
"9",21,"Femenino","Estudiante","Netflix",6,"Celular","Sí",18,"Entretenimiento","Distracción",3,2,"Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"10",19,"Masculino","Estudiante","Netflix",8,"PC","Sí",30,"Entretenimiento","Distracción",5,3,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"11",20,"Masculino","Estudiante","Star+",1,"PC","No",5,"Entretenimiento","Adicción",1,1,"Regular","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"12",34,"Femenino","Trabajador independiente","HBO Max",9,"Celular","No",69,"Entretenimiento","Problema de plataforma",21,2,"Regular","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","No me gusta"
"13",33,"Femenino","Trabajador dependiente","Netflix",10,"Smart TV","Sí",50,"Entretenimiento","Adicción",25,2,"Excelente","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta","A veces / Rara vez","Frecuentemente"
"14",38,"Masculino","Trabajador dependiente","HBO Max",8,"Smart TV","Sí",50,"Entretenimiento","Distracción",10,2,"Bueno","No","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez"
"15",30,"Masculino","Trabajador dependiente","HBO Max",7,"Tablet","No",30,"Entretenimiento","Ninguna",10,3,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"16",30,"Femenino","Desempleado","Netflix",6,"Smart TV","Sí",30,"Relajarme","Distracción",20,3,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"17",29,"Masculino","Trabajador dependiente","HBO Max",9,"Smart TV","Sí",5,"Entretenimiento","Problema de plataforma",10,2,"Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente"
"18",19,"Masculino","Estudiante","Netflix",10,"Smart TV","Sí",50,"Entretenimiento","Distracción",8,5,"Excelente","Sí","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"19",51,"Femenino","Trabajador independiente","Otra",8,"PC","No",60,"Entretenimiento","Problema de plataforma",35,1,"Bueno","Sí","No me gusta","A veces / Rara vez","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"20",19,"Femenino","Estudiante","Netflix",9,"Smart TV","Sí",60,"Entretenimiento","Distracción",12,1,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez"
"21",20,"Femenino","Trabaja y estudia","Netflix",10,"Smart TV","Sí",60,"Entretenimiento","Distracción",15,3,"Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"22",21,"Femenino","Estudiante","Amazon",10,"Celular","Sí",0,"Entretenimiento","Distracción",5,4,"Regular","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"23",25,"Masculino","Trabajador dependiente","Disney+",8,"PC","Sí",15,"Entretenimiento","Ninguna",5,1,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta"
"24",18,"Femenino","Estudiante","Netflix",9,"Smart TV","Sí",60,"Entretenimiento","Distracción",15,3,"Bueno","No","Frecuentemente","No me gusta","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"25",23,"Masculino","Estudiante","Netflix",7,"Celular","No",30,"Entretenimiento","Problema de plataforma",5,1,"Regular","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta"
"26",18,"Femenino","Estudiante","Netflix",8,"Laptop","Sí",30,"Entretenimiento","Distracción",5,2,"Bueno","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"27",18,"Femenino","Estudiante","Netflix",9,"Celular","Sí",30,"Entretenimiento","Distracción",8,2,"Bueno","Sí","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"28",27,"Masculino","Trabajador dependiente","Netflix",5,"Celular","Sí",15,"Entretenimiento","Ninguna",10,2,"Bueno","No","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"29",18,"Masculino","Estudiante","Netflix",10,"Laptop","Sí",60,"Entretenimiento","Adicción",18,3,"Excelente","No","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta"
"30",20,"Masculino","Estudiante","Netflix",8,"Smart TV","Sí",30,"Entretenimiento","Ninguna",5,1,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente"
"31",46,"Masculino","Trabajador dependiente","Netflix",10,"Smart TV","Sí",40,"Entretenimiento","Distracción",14,2,"Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"32",18,"Masculino","Estudiante","Netflix",8,"Tablet","Sí",200,"Entretenimiento","Adicción",25,5,"Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"33",18,"Masculino","Estudiante","Netflix",9,"Tablet","Sí",20,"Entretenimiento","Distracción",5,1,"Bueno","Sí","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"34",20,"Masculino","Estudiante","Netflix",8,"Celular","No",25,"Entretenimiento","Problema de plataforma",14,4,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"35",19,"Masculino","Estudiante","HBO Max",9,"Laptop","Sí",50,"Entretenimiento","Puro cine <U+0001F6AC>",4,2,"Excelente","No","No me gusta","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","Frecuentemente"
"36",21,"Masculino","Estudiante","Netflix",8,"Laptop","Sí",45,"Entretenimiento","Sobre pagos",5,2,"Bueno","No","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","Frecuentemente","Frecuentemente"
"37",33,"Femenino","Trabajador independiente","Otra",4,"Celular","No",20,"Entretenimiento","Distracción",15,3,"Bueno","Sí","Frecuentemente","A veces / Rara vez","No me gusta","No me gusta","Frecuentemente","Frecuentemente"
"38",18,"Masculino","Estudiante","Netflix",6,"Smart TV","Sí",12,"Entretenimiento","Distracción",6,1,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"39",19,"Femenino","Estudiante","Netflix",8,"Smart TV","No",30,"Entretenimiento","Ninguna",5,2,"Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez"
"40",18,"Femenino","Estudiante","Netflix",8,"Smart TV","No",0,"Ninguna","Consumo de tiempo",20,1,"Bueno","Sí","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","No me gusta"
"41",24,"Masculino","Trabaja y estudia","Netflix",9,"Smart TV","Sí",40,"Entretenimiento","Distracción",6,1,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"42",37,"Masculino","Trabajador independiente","Netflix",7,"PC","Sí",5,"Entretenimiento","Distracción",4,2,"Bueno","No","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente"
"43",20,"Masculino","Estudiante","HBO Max",7,"Smart TV","Sí",60,"Entretenimiento","Problema de plataforma",10,4,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"44",21,"Masculino","Estudiante","Netflix",8,"Laptop","Sí",20,"Entretenimiento","Distracción",5,2,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente"
"45",64,"Femenino","Trabajador independiente","Otra",9,"Celular","No",60,"Entretenimiento","Consumo de tiempo",10,1,"Regular","No","No me gusta","A veces / Rara vez","No me gusta","No me gusta","A veces / Rara vez","A veces / Rara vez"
"46",19,"Masculino","Estudiante","Netflix",8,"Celular","No",45,"Entretenimiento","Adicción",14,2,"Excelente","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"47",20,"Masculino","Estudiante","Netflix",5,"Smart TV","Sí",12,"Entretenimiento","Consumo de tiempo",4,1,"Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"48",19,"Masculino","Estudiante","Otra",8,"Celular","No",15,"Entretenimiento","Distracción",15,1,"Regular","No","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta"
"49",18,"Masculino","Estudiante","Disney+",8,"Smart TV","No",30,"Entretenimiento","Problema de plataforma",10,1,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
