Marca temporal,1. ¿ Cuál es tu edad?,2. ¿Qué ciclo te encuentras cursando?,3.¿Cuál es tu peso actual?(kg),4. ¿Cuál es tu género?,5. ¿Cuál es tu estatura (cm)? ,"6. Cuando tenías clases semipresenciales, aproximadamente, ¿Cuál es el monto que gastabas en comida a la semana?","7. Cuando tenías clases presenciales, aproximadamente, ¿Cuál es el monto que gastabas en comida a la semana? ","8.Cuando tenías clases virtuales o semipresenciales, aproximadamente, ¿Cuál era la cantidad de alimentos que consumía a la semana?","9.Actualmente en las clases presenciales, aproximadamente, ¿Cuál era la cantidad de alimentos que consumía a la semana?",10. ¿Qué tan seguido consumes comida rápida?,11. ¿La saciedad de tus alimentos a lo largo del día es suficiente para rendir correctamente en tus estudios académicos?,"12. ¿Cuántos minutos demoras en terminar una comida principal?",13. Tiempo aproximado entre el consumo de tu desayuno y almuerzo en horas.,14. Tiempo aproximado entre el consumo de tu almuerzo y cena en horas.,15.¿ Cuál es el alimento con el mayor  consumo semanal ?,16. ¿Qué tipo de comida consumes a diario?
26/09/2022 0:13:53,20,5,50,Femenino,155,60,100,3,4,Más de una vez a la semana,Sí,Una hora a más,6,7,Frutas,Comida de casa
26/09/2022 10:03:45,17,1,90,Masculino,170,21,40,3,4,Una o más veces al mes,Sí,Menos de una hora,5,6,Productos lácteos,Comida de casa
26/09/2022 10:39:00,18,4,60.1,Femenino,158,15,30,3,4,Una o más veces al mes,Sí,Menos de una hora,5,6,Verduras,Comida de casa
26/09/2022 19:21:45,18,1,82,Femenino,165,25,40,2,3,Una o más veces al mes,Sí,Una hora a más,7,5,Frituras,Comida de casa
26/09/2022 22:14:52,21,4,64,Femenino,160,20,60,3,4,Una vez a la semana,Sí,Una hora a más,3,3,Carnes,Comida de casa
26/09/2022 22:48:07,17,2,80.0,Femenino,162,10,20,2,3,Una vez a la semana,Sí,Menos de una hora,6,7,Carnes,Comida de casa
26/09/2022 23:55:11,20,6,75,Masculino,176,100,150,3,5,Una o más veces al mes,No,Menos de una hora,4,5,Carnes,Comida de restaurante
27/09/2022 0:00:52,20,5,50,Femenino,150,10,10,4,5,Nunca,Sí,Una hora a más,4,8,Verduras,Comida de casa
27/09/2022 0:03:06,20,5,70,Masculino,165,40,50,3,4,Una o más veces al mes,Sí,Menos de una hora,5,8,Carnes,Comida de casa
27/09/2022 0:20:00,21,6,67,Femenino,164,0,70,4,4,Más de una vez a la semana,No,Menos de una hora,3,3,Productos lácteos,Comida congelada
27/09/2022 0:22:15,20,7,94,Masculino,183,70,100,3,3,Una vez a la semana,Sí,Menos de una hora,4,4,Productos lácteos,Comida de restaurante
27/09/2022 1:46:36,18,3,44.4,Femenino,146,30,50,4,4,Más de una vez a la semana,Sí,Menos de una hora,3,3,Frutas,Comida de restaurante
27/09/2022 5:59:17,18,1,40.5,Femenino,150,50,80,3,4,Una o más veces al mes,Sí,Menos de una hora,9,6,Verduras,Comida de casa
27/09/2022 6:26:05,18,1,71,Masculino,173,50,50,3,3,Una o más veces al mes,Sí,Menos de una hora,7,8,Frutas,Comida de casa
27/09/2022 9:12:37,18,2,78.8,Femenino,160,20,40,3,4,Más de una vez a la semana,Sí,Menos de una hora,5,8,Frutas,Comida de casa
27/09/2022 9:16:12,18,4,64.5,Femenino,150,20,30,2,3,Nunca,Sí,Una hora a más,6,6,Carnes,Comida de casa
27/09/2022 10:26:11,21,6,68,Masculino,170,20,50,2,2,Más de una vez a la semana,Sí,Menos de una hora,5,6,Carnes,Comida de casa
27/09/2022 10:29:55,20,2,63,Masculino,160,50,100,3,4,Una o más veces al mes,Sí,Menos de una hora,6,5,Carnes,Comida de casa
27/09/2022 10:30:58,18,3,80,Femenino,157,0,20,2,3,Una o más veces al mes,No,Una hora a más,4,5,Productos lácteos,Comida de casa
27/09/2022 10:56:01,23,6,70.5,Otra opción,172,20,200,4,5,Una o más veces al mes,Sí,Dos horas a más,6,6,Frutas,Comida de casa
27/09/2022 12:52:52,18,4,70,Masculino,165,70,70,3,3,Una vez a la semana,Sí,Menos de una hora,6,6,Frutas,Comida de casa
27/09/2022 12:53:02,18,4,54,Masculino,173,20,30,2,3,Una vez a la semana,Sí,Una hora a más,3,3,Carnes,Comida de casa
27/09/2022 14:36:32,18,1,65,Femenino,157,20,40,2,3,Una vez a la semana,Sí,Una hora a más,4,6,Verduras,Comida de casa
27/09/2022 15:06:49,19,3,52,Masculino,178,80,80,3,3,Una o más veces al mes,Sí,Menos de una hora,6,8,Frutas,Comida de casa
27/09/2022 15:11:06,19,3,71,Masculino,180,210,250,3,3,Una vez a la semana,No,Una hora a más,4,6,Carnes,Comida de restaurante
27/09/2022 15:11:49,21,6,72,Masculino,172,0,0,3,2,Una vez a la semana,Sí,Menos de una hora,6,7,Frutas,Comida de casa
27/09/2022 15:22:45,21,3,50,Femenino,156,50,70,3,3,Una vez a la semana,Sí,Una hora a más,5,7,Carnes,Comida de restaurante
27/09/2022 17:16:06,18,3,47,Femenino,152,40,70,3,2,Una vez a la semana,No,Menos de una hora,4,4,Frutas,Comida de casa
27/09/2022 17:17:26,20,3,60,Masculino,160,30,50,3,5,Diario,Sí,Dos horas a más,5,6,Frutas,Comida de casa
27/09/2022 17:34:48,18,3,57,Femenino,155,30,60,4,5,Una vez a la semana,Sí,Una hora a más,3,3,Carnes,Comida de restaurante
27/09/2022 17:35:06,18,3,70,Masculino,168,0,10,3,3,Una o más veces al mes,Sí,Menos de una hora,6,9,Carnes,Comida de casa
27/09/2022 19:08:10,18,4,55,Masculino,167,150,160,3,3,Una o más veces al mes,No,Menos de una hora,5,7,Carnes,Comida de restaurante
27/09/2022 20:22:35,20,3,65,Masculino,173,210,150,4,3,Una o más veces al mes,Sí,Menos de una hora,4,6,Frituras,Comida de restaurante
27/09/2022 20:30:25,20,3,62,Femenino,158,10,30,3,3,Una vez a la semana,Sí,Menos de una hora,4,3,Carnes,Comida de casa
27/09/2022 20:37:07,20,3,95,Masculino,170,300,300,3,3,Más de una vez a la semana,Sí,Una hora a más,3,8,Carnes,Comida de restaurante
27/09/2022 21:06:11,18,3,55,Femenino,158,70,140,3,3,Una o más veces al mes,Sí,Menos de una hora,5,6,Productos lácteos,Comida de restaurante
27/09/2022 21:19:41,18,3,60,Masculino,172,100,150,4,5,Más de una vez a la semana,Sí,Menos de una hora,4,7,Carnes,Comida de restaurante
27/09/2022 21:21:27,24,3,54,Femenino,149,20,50,3,4,Una o más veces al mes,Sí,Menos de una hora,3,3,Carnes,Comida de casa
27/09/2022 21:53:22,18,4,75,Masculino,172,70,100,3,4,Una vez a la semana,Sí,Menos de una hora,6,6,Carnes,Comida de casa
27/09/2022 22:01:10,20,1,60,Masculino,173,50,100,3,3,Una o más veces al mes,Sí,Menos de una hora,5,6,Carnes,Comida de restaurante
27/09/2022 22:08:55,18,3,55,Femenino,168,50,110,4,5,Más de una vez a la semana,Sí,Una hora a más,3,4,Carnes,Comida de restaurante
27/09/2022 22:09:24,25,3,70,Masculino,167,50,80,3,3,Una vez a la semana,Sí,Menos de una hora,6,7,Verduras,Comida de casa
27/09/2022 22:10:15,17,1,42,Femenino,150,0,140,4,5,Más de una vez a la semana,No,Dos horas a más,5,8,Frituras,Comida de restaurante
27/09/2022 22:10:16,17,1,80.5,Femenino,170,60,120,4,5,Más de una vez a la semana,Sí,Menos de una hora,4,7,Carnes,Comida de restaurante
27/09/2022 22:23:56,17,4,63,Masculino,164,100,200,3,5,Una o más veces al mes,Sí,Menos de una hora,5,5,Frutas,Comida de casa
27/09/2022 22:30:02,20,3,78,Masculino,173,20,25,4,5,Una vez a la semana,Sí,Menos de una hora,8,8,Carnes,Comida de casa
27/09/2022 22:30:08,20,3,64,Femenino,162,200,350,4,5,Más de una vez a la semana,Sí,Menos de una hora,5,6,Frutas,Comida de restaurante
27/09/2022 22:30:30,20,1,54,Femenino,150,40,40,4,3,Una vez a la semana,Sí,Menos de una hora,3,3,Carnes,Comida de casa
27/09/2022 22:33:04,20,3,90,Femenino,166,20,90,3,4,Una o más veces al mes,Sí,Menos de una hora,6,7,Productos lácteos,Comida de casa
27/09/2022 22:33:22,18,2,60.5,Masculino,170,20,50,3,3,Una o más veces al mes,Sí,Menos de una hora,3,3,Frituras,Comida de casa
27/09/2022 22:33:31,21,7,50,Femenino,150,100,100,4,3,Una vez a la semana,Sí,Menos de una hora,4,8,Carnes,Comida de casa
27/09/2022 22:34:16,17,2,43.5,Femenino,150,200,300,3,4,Una vez a la semana,No,Una hora a más,7,8,Verduras,Comida de casa
27/09/2022 22:34:50,21,4,60,Masculino,165,30,50,4,4,Una o más veces al mes,Sí,Menos de una hora,7,8,Verduras,Comida de casa
27/09/2022 22:34:51,20,6,52,Femenino,158,20,100,4,5,Una o más veces al mes,Sí,Una hora a más,5,6,Carnes,Comida de casa
27/09/2022 22:35:54,17,2,45.9,Femenino,158,100,150,4,4,Una vez a la semana,Sí,Dos horas a más,3,4,Carnes,Comida de casa
27/09/2022 22:36:11,17,1,60,Femenino,160,0,30,3,4,Una o más veces al mes,No,Menos de una hora,6,7,Carnes,Comida de casa
27/09/2022 22:36:41,17,3,66,Masculino,178,70,180,3,3,Más de una vez a la semana,Sí,Menos de una hora,3,3,Carnes,Comida de casa
27/09/2022 22:38:08,18,2,75,Masculino,179,10,20,3,3,Una vez a la semana,Sí,Menos de una hora,6,5,Productos lácteos,Comida de casa
27/09/2022 22:38:22,18,2,75,Masculino,170,10,10,3,3,Una o más veces al mes,Sí,Menos de una hora,8,7,Carnes,Comida de casa
27/09/2022 22:38:24,19,1,61,Femenino,162,20,50,3,4,Una o más veces al mes,Sí,Menos de una hora,6,4,Carnes,Comida de casa
27/09/2022 22:39:31,19,8,86.6,Masculino,175,200,150,3,2,Una o más veces al mes,Sí,Menos de una hora,3,6,Carnes,Comida de casa
27/09/2022 22:39:54,18,2,53,Femenino,160,10,20,4,4,Una vez a la semana,Sí,Menos de una hora,4,6,Frituras,Comida de casa
27/09/2022 22:40:06,18,2,68.9,Masculino,178,0,150,4,2,Una o más veces al mes,No,Menos de una hora,6,3,Frutas,Comida de casa
27/09/2022 22:40:48,18,6,58,Femenino,154,40,80,3,4,Una vez a la semana,Sí,Una hora a más,6,5,Carnes,Comida de restaurante
27/09/2022 22:42:34,20,2,67.8,Masculino,168,80,80,3,3,Una o más veces al mes,Sí,Menos de una hora,6,4,Frutas,Comida de casa
27/09/2022 22:43:27,18,3,51,Femenino,150,60,50,4,3,Nunca,No,Una hora a más,8,8,Carnes,Comida de restaurante
27/09/2022 22:44:14,18,4,65,Femenino,167,10,0,3,3,Una o más veces al mes,Sí,Menos de una hora,4,6,Carnes,Comida de casa
27/09/2022 22:44:50,18,3,70,Masculino,165,70,70,3,4,Una vez a la semana,Sí,Menos de una hora,6,5,Carnes,Comida de restaurante
27/09/2022 22:45:31,20,3,55,Femenino,155,70,90,3,4,Una vez a la semana,Sí,Menos de una hora,3,3,Verduras,Comida de casa
27/09/2022 22:45:43,18,2,62,Femenino,158,20,30,3,4,Una o más veces al mes,Sí,Menos de una hora,4,6,Carnes,Comida de casa
27/09/2022 22:45:49,18,2,52,Femenino,163,40,60,3,4,Una o más veces al mes,No,Menos de una hora,7,7,Carnes,Comida congelada
27/09/2022 22:45:51,20,6,79,Masculino,177,70,110,3,3,Una o más veces al mes,Sí,Menos de una hora,7,6,Carnes,Comida de casa
27/09/2022 22:46:28,18,2,60,Femenino,160,10,20,4,4,Una vez a la semana,Sí,Una hora a más,7,6,Carnes,Comida de casa
27/09/2022 22:47:43,21,9,56,Femenino,155,100,200,4,5,Más de una vez a la semana,Sí,Menos de una hora,4,4,Carnes,Comida de casa
27/09/2022 22:48:26,20,7,73,Masculino,170,20,50,4,5,Una o más veces al mes,Sí,Menos de una hora,6,6,Carnes,Comida de restaurante
27/09/2022 22:50:18,21,5,59,Masculino,158,60,72,4,6,Una vez a la semana,Sí,Menos de una hora,6,6,Carnes,Comida de restaurante
