,,Edad,Ponderado del anterior ciclo,Sexo,Becado,Tipo de beca,Ciclo,Carrera,Estado socieconómico,Cantidad de cursos que llevas en el actual ciclo,Cursos desaprobados,Metodo de movilización,estudias (camino),Minutos de estudio en el trayecto,Alimentos,Horas de descanso/diario,Horas de estudio (fuera de clases),deporte (si/no),Deporte favorito,Horas de ejercicio,Horas de ocio,Nivel de estres,Nivel de vida saludable,Ponderado,.
,,18,14,Masculino,Sí,Beca 18: todas sus modalidades,4,Ciencias de la Computación,Pobre,6,2,Carro,no,,Un poco de ambos,5,3,No,,,2,5,3,14,
,,17,17.81,Masculino,Sí,Beca UTEC,4,Ing.Industrial,Extrema Pobreza,6,0,Tren,no,,Alimentos saludables,7,2,Si,"Hacer ejercicios o ir al gym,",2,1,3,4,17.81,
,,19,15.78,Femenino,Sí,Beca 18: todas sus modalidades,4,Ing.Ambiental,Pobre,6,2,Caminando,no,,Un poco de ambos,6,4,Si,"Hacer ejercicios o ir al gym,",2,2,4,3,15.78,
,,18,13,Femenino,No,,7,Ing.Industrial,No pobre,5,1,Metropolitano,no,,Un poco de ambos,4,6,No,,,3,7,2,13,
,,19,13.58,Masculino,No,,6,Ciencia de datos,No pobre,4,2,Bicicleta,no,,Un poco de ambos,5,6,Si,Fútbol,1,3,6,4,13.58,
,,19,13,Femenino,Sí,Beca 18: todas sus modalidades,7,Ing.Ambiental,Pobre,5,2,Microbus,no,,Un poco de ambos,5,2,No,,,4,7,3,13,
,,20,15,Femenino,No,,3,Ing.Industrial,Pobre,8,0,Metropolitano,si,30,Un poco de ambos,5,2,No,,,2,4,4,15,
,,21,10,Masculino,Sí,Beca 18: todas sus modalidades,10,Ing. Civil,Pobre,7,9,Tren,no,,Un poco de ambos,8,6,Si,Fútbol,1,5,8,2,10,
,,18,16.3,Masculino,Sí,Beca Hijo de Docentes,3,Ing.Industrial,No pobre,6,0,Tren,no,,Un poco de ambos,4,2,Si,Fútbol,1,2,3,3,16.3,
,,17,12,Femenino,Sí,Beca 18: todas sus modalidades,7,Ing.Ambiental,No pobre,5,1,Bicicleta,si,20,Un poco de ambos,6,3,No,,,4,7,2,12,
,,19,12.75,Femenino,Sí,Beca 18: todas sus modalidades,6,Ing. Civil,Pobre,6,2,Metropolitano,no,,Alimentos saludables,6,5,No,,,4,7,2,12.75,
,,19,14.45,Femenino,Sí,Beca 18: todas sus modalidades,4,Bioingeniería,Pobre,5,1,Metropolitano,si,50,Alimentos saludables,9,5,No,,,2,5,4,14.45,
,,19,13,Femenino,Sí,Beca 18: todas sus modalidades,6,Ing.Ambiental,Pobre,5,1,Metropolitano,si,30,Alimentos saludables,5,6,No,,,4,7,2,13,
,,19,13,Femenino,Sí,Beca 18: todas sus modalidades,7,Ing.Industrial,Pobre,6,0,Caminando,si,15,Un poco de ambos,5,4,No,,,4,7,2,13,
,,18,16,Femenino,Sí,Beca 18: todas sus modalidades,3,Ing. Civil,Extrema Pobreza,6,0,Bus,si,20,Un poco de ambos,7,5,No,,,2,4,4,16,
,,23,15.7,Masculino,No,,3,Ing.Industrial,No pobre,5,1,Carro,no,,Alimentos no saludables,5,3,No,,,2,4,4,15.7,
,,18,11,Masculino,Sí,Beca 18: todas sus modalidades,7,Ing. Civil,Extrema Pobreza,5,3,Caminando,no,,Un poco de ambos,7,1,No,,,5,8,1,11,
,,18,15.9,Masculino,Sí,Beca 18: todas sus modalidades,3,Ing.Química,Pobre,5,0,Carro,si,30,Alimentos saludables,6,4,No,,,2,4,4,15.9,
,,20,14.3,Masculino,Sí,Beca 18: todas sus modalidades,4,Ing.Industrial,Pobre,7,1,Bus,no,,Un poco de ambos,5,2,No,,,3,5,3,14.3,
,,20,13.64,Femenino,Sí,Beca 18: todas sus modalidades,5,Ing.Industrial,Pobre,6,1,Bus,no,,Un poco de ambos,3,4,No,,,4,6,3,13.64,
,,17,14,Femenino,Sí,Beca 18: todas sus modalidades,4,Ing. Civil,Pobre,6,1,Metropolitano,si,20,Alimentos saludables,5,4,No,,,3,5,3,14,
,,19,14,Femenino,Sí,Beca 18: todas sus modalidades,6,Ing.Ambiental,Pobre,6,0,Caminando,no,,Un poco de ambos,4,6,No,,,3,5,3,14,
,,18,17.8,Femenino,Sí,Beca 18: todas sus modalidades,3,Ciencias de la Computación,Pobre,6,0,Metropolitano,si,10,Alimentos saludables,5,5,No,,,1,3,4,17.8,
,,19,11,Masculino,No,,6,Ing.Industrial,No pobre,5,4,Metropolitano,si,90,Un poco de ambos,8,3,No,,,5,8,1,11,
,,18,13,Masculino,Sí,Beca 18: todas sus modalidades,4,Ing.Mecatrónica,Pobre,6,2,Metropolitano,no,,Un poco de ambos,6,5,No,,,4,6,2,13,
,,18,12.5,Masculino,Sí,Beca 18: todas sus modalidades,5,Ing. Civil,Pobre,8,0,Bus,no,,Alimentos saludables,3,5,Si,Fútbol,3,4,6,2,12.5,
,,19,15,Femenino,No,,3,Bioingeniería,No pobre,5,2,Bus,no,,Un poco de ambos,6,4,No,,,2,4,4,15,
,,20,13.1,Femenino,Sí,Beca 18: todas sus modalidades,5,Ing.Química,Pobre,6,2,Metropolitano,no,,Un poco de ambos,5,5,No,,,4,6,2,13.1,
,,19,15,Femenino,No,,3,Ing.Ambiental,No pobre,5,0,Metropolitano,no,,Un poco de ambos,2,4,No,,,2,4,4,15,
,,19,12,Femenino,Sí,Beca 18: todas sus modalidades,5,Ing. Civil,Pobre,6,1,"Carro, Microbus",si,59,Alimentos saludables,8,4,No,,,4,6,4,12,
,,23,16.72,Masculino,No,,3,Ciencia de datos,No pobre,5,0,"Tren, Bus",no,,Un poco de ambos,4,5,No,,,2,4,4,16.72,
,,17,12,Femenino,Sí,Beca 18: todas sus modalidades,4,Ing. Civil,Extrema Pobreza,7,0,Microbus,si,15,Alimentos saludables,6,5,No,,,4,6,4,12,
,,17,15.5,Masculino,Sí,Beca 18: todas sus modalidades,3,Ing. Civil,Pobre,6,2,Bus,no,,Alimentos saludables,5,5,No,,,2,4,4,15.5,
,,19,12,Femenino,Sí,Beca 18: todas sus modalidades,5,Ing. Civil,Extrema Pobreza,7,0,Caminando,si,20,Alimentos saludables,5,4,No,,,4,7,2,12,
,,18,15,Femenino,Sí,Beca 18: todas sus modalidades,1,Ing. Civil,Extrema Pobreza,7,0,Caminando,no,,Alimentos saludables,5,3,Si,Básquet,1,2,4,4,15,
,,17,13,Masculino,Sí,Beca 18: todas sus modalidades,4,Ing. Civil,Pobre,7,0,Microbus,no,,Un poco de ambos,6,5,No,,,4,6,2,13,
,,19,16.1,Femenino,Sí,Beca 18: todas sus modalidades,3,Ing.Ambiental,Pobre,6,0,Tren,si,45,Alimentos saludables,8,4,No,,,2,4,4,16.1,
,,23,15.5,Femenino,Sí,Beca 18: todas sus modalidades,3,Ing.Ambiental,Pobre,5,0,Metropolitano,si,20,Alimentos saludables,8,3,No,,,2,4,4,15.5,
,,19,13,Masculino,Sí,Beca 18: todas sus modalidades,5,Ing.Mecatrónica,Pobre,6,1,Metropolitano,no,,Un poco de ambos,6,6,Si,Básquet,0,4,6,2,13,
,,17,18.15,Femenino,Sí,Beca UTEC,2,Ing. Mecánica,No pobre,6,0,Carro,si,60,Alimentos saludables,7,4,No,,,1,2,5,18.15,
,,19,14,Femenino,Sí,Beca 18: todas sus modalidades,7,Ciencias de la Computación,Pobre,4,2,Bus,no,,Alimentos saludables,6,4,No,,,4,10,4,14,
,,18,16.8,Masculino,No,,3,Ciencias de la Computación,No pobre,4,0,Metropolitano,si,40,Alimentos saludables,7,5,No,,,2,4,2,16.8,
,,17,16.93,Masculino,No,,2,Ciencias de la Computación,No pobre,6,0,Caminando,no,,Alimentos saludables,6,3,No,,,2,3,3,16.93,
,,18,15,Femenino,Sí,Beca 18: todas sus modalidades,3,Ing.Industrial,Pobre,6,0,Microbus,si,45,Alimentos no saludables,5,2,No,,,1,4,3,15,
,,19,14,Masculino,Sí,Beca 18: todas sus modalidades,4,Ing. Electrónica,Extrema Pobreza,6,0,Carro,si,30,Alimentos saludables,4,3,No,,,2,5,3,14,
