"Marca temporal","Edad (años) ","Ingreso mensual (en soles) OPCIONAL","Sexo","Grado de instrucción","¿Cree usted que hay más ventajas de ser hombre, o más ventajas de ser mujer, o no hay diferencia?","¿Piensa usted que las mujeres jóvenes en Perú viven mejor, igual o peor que la generación de sus padres? 1. Mejor 2. Igual 3. Peor","Un hombre que se queda en casa para cuidar a los niños es menos hombre","Me sentiría incómodo si mi jefe fuera mujer","Las mujeres no lograrán la igualdad en Perú a menos que los hombres también tomen acciones para apoyar los derechos de la mujer","Cuidado de los niños y del hogar","“En los negocios“","En el deporte","En los medios de comunicación, incluso la televisión","En las ciencias","En la educación"
"2022/10/05 8:46:15 a. m. GMT-5","18","900","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","De acuerdo","No se apoya","Poco","Poco","Lo necesario","Poco","Poco"
"2022/10/05 8:47:18 a. m. GMT-5","18","1000","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Lo necesario","No se apoya","Poco","Lo necesario","Poco","Poco"
"2022/10/05 8:50:35 a. m. GMT-5","41","5000","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Lo necesario","Poco","Poco","Poco","Poco"
"2022/10/05 8:52:52 a. m. GMT-5","18","300","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Lo necesario","Lo necesario","Poco","Lo necesario","Poco"
"2022/10/05 9:17:10 a. m. GMT-5","28","1200","Femenino","Superior universitaria incompleta","No hay diferencia","Peor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Poco","Poco","Lo necesario","Poco","Lo necesario"
"2022/10/05 9:41:42 a. m. GMT-5","18","700","Masculino","Secundaria completa","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Lo necesario","Demasiado","Poco","Poco"
"2022/10/05 9:56:23 a. m. GMT-5","24","400","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Poco","Lo necesario","Poco","Poco"
"2022/10/05 9:57:23 a. m. GMT-5","17","0","Femenino","Secundaria completa","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Poco","Lo necesario","Poco"
"2022/10/05 10:04:39 a. m. GMT-5","25","1020","Masculino","Superior universitaria completa","No hay diferencia","Mejor","Ni de acuerdo ni en desacuerdo","Desacuerdo","De acuerdo","Poco","Demasiado","Demasiado","Lo necesario","Lo necesario","Demasiado"
"2022/10/05 10:38:03 a. m. GMT-5","43","2400","Femenino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Lo necesario","Poco","Poco","Poco","Poco"
"2022/10/05 12:21:01 p. m. GMT-5","19","1000","Femenino","Secundaria completa","No hay diferencia","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/05 8:43:04 p. m. GMT-5","46","3500","Femenino","Superior universitaria completa","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/07 8:49:02 p. m. GMT-5","19","0","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Poco","No se apoya","Lo necesario","Poco","Poco"
"2022/10/07 8:58:09 p. m. GMT-5","16","1401.361","Masculino","Secundaria completa","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Lo necesario","Poco","Lo necesario","Demasiado","Lo necesario","Lo necesario"
"2022/10/07 10:27:58 p. m. GMT-5","16","1401.361","Masculino","Secundaria completa","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Poco","Poco","Lo necesario","No se apoya","Lo necesario"
