"Latitud","Longitud","Profundidad","Magnitud","Año","Mes","Día","Hora","Minuto","Segundo"
-15.1594,-75.9062,17,4.8,2010,"09","17","18","08","58"
-5.693,-77.004,64,5.3,1977,"05","13","13","35","20"
-15.1919,-70.7216,208,4.9,2015,"02","12","06","24","11"
-10.008,-79.0303,52,4.5,1996,"02","16","03","12","44"
-15.6119,-71.9295,10,4.2,2021,"10","09","05","49","58"
-18.4722,-70.4428,33,5.6,2007,"11","18","07","02","46"
-15.519,-76.36,0,4.5,1973,"10","17","17","15","23"
-18.17,-70.71,47,4.5,1992,"10","28","06","22","20"
-13.6398,-77.0934,15,4.9,2006,"03","27","17","28","17"
-2.7389,-75.4364,14,6.2,2017,"04","18","17","49","55"
-5.8314,-76.2061,36,6.2,2012,"10","25","20","49","35"
-15.7775,-72.0952,9,3.6,2021,"03","06","22","47","44"
-18.0512,-70.0611,98,6.2,2012,"05","14","10","00","40"
-9.7868,-78.6803,39,4.5,2001,"09","30","22","49","08"
-5.14,-78.7,33,4.6,1964,"08","04","13","06","22"
-11.4293,-77.3915,79,4.5,2016,"12","31","07","01","39"
-13.6,-76.9,38,4.6,1963,"10","28","02","50","30"
-12.14,-78.1,31,4.7,1992,"11","20","21","46","16"
-8.046,-74.7541,137,4.7,2016,"05","26","09","14","40"
-14.9227,-72.1275,50,4.8,2000,"08","29","03","55","50"
-11.4963,-77.9581,40,4.9,2016,"11","03","05","10","01"
-6.22,-77.23,14,4.8,1990,"05","31","11","11","02"
-10.582,-75.408,145,4.7,2016,"10","22","01","23","01"
-11.7079,-76.9556,90,4,2020,"03","02","22","15","16"
-8.8207,-79.9111,17,4.5,2000,"03","04","04","30","09"
-17.74,-69.89,139,4.5,1968,"03","11","17","06","47"
-13.76,-76.928,0,4.9,1974,"11","08","00","04","48"
-15.775,-71.811,33,4.2,2002,"12","14","03","42","23"
-7.5117,-80.7603,34,4.5,2013,"11","09","02","03","39"
-7.131,-74.371,160,5.4,1982,"01","27","17","14","29"
-15.6812,-74.5347,40,4.7,2000,"08","28","08","19","23"
-4.4448,-78.5328,224,4.5,2011,"10","16","02","42","24"
-2.464,-77.336,33,4.4,1995,"10","05","00","17","52"
-14.994,-75.5931,39,4.5,1998,"11","14","23","19","50"
-15.943,-71.9346,135,4.3,2019,"01","13","16","53","12"
