"Sexo","Carrera","Edad","Ciclo","Frecuencia_INC","Tiempo_de_demora","Nivel_confianza","Estrategia_veracidad","Acciones_INC","Medida_responsabilidad","Tmax_estudio_tradicional","Tmax_estudio_digital","Tmin_estudio_tradicional","Tmin_estudio_digital","Herramientas_D","Frecuencia_herramientas_D","Capacitacion_INC","Consideracion_info","Acciones_responsables","Percepcion_efectividad"
"Femenino","Ingeniería Ambiental",19,"3","Rara vez",5,"Neutral","Consultar a un profesor o experto en el tema","No la utilizo y busco fuentes confiables","Neutral",15,25,0,0,"Plataformas de aprendizaje en línea","Con frecuencia","C1","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Industrial",19,"3","Con frecuencia",10,"Neutral","Comparar la información con otras fuentes confiables","La utilizo, pero la verifico con otras fuentes confiables","Responsable",17,20,14,15,"Herramientas de toma de notas","Rara vez","C2","Noticias falsas","A2","Neutral"
"Femenino","Ingeniería Ambiental",20,"4","Rara vez",8,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",10,12,12,13,"Herramientas de toma de notas","Con frecuencia","C1","Información engañosa o sesgada","A2","Neutral"
"Masculino","Ingeniería Mecatrónica",18,"3","Con frecuencia",6,"Neutral","Verificar la fuente de la información","No la utilizo y busco fuentes confiables","Responsable",7,24,2,10,"Aplicaciones de gestión del tiempo","Siempre","C2","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Mecatrónica",18,"3","A veces",9,"Neutral","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Muy responsable",20,30,10,20,"Plataformas de aprendizaje en línea","Siempre","C1","Información engañosa o sesgada","A1","Positiva"
"Femenino","Ingeniería Mecatrónica",18,"3","Con frecuencia",3,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",20,15,18,13,"Aplicaciones de gestión del tiempo","A veces","C3","Información engañosa o sesgada","A2","Neutral"
"Masculino","Ingeniería Mecánica",18,"3","A veces",4,"Poco confiable","Utilizar bases de datos académicas y fuentes confiables","No la utilizo y busco fuentes confiables","Neutral",6,20,2,10,"Herramientas de toma de notas","Con frecuencia","C3","Información engañosa o sesgada","A1","Neutral"
"Masculino","Ingeniería Civil",18,"3","Con frecuencia",5,"Neutral","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Poco responsable",8,20,2,10,"Plataformas de aprendizaje en línea","Siempre","C1","Información engañosa o sesgada","A1","Positiva"
"Masculino","Ingeniería Ambiental",19,"4","Rara vez",10,"Neutral","Consultar a un profesor o experto en el tema","La utilizo, pero la verifico con otras fuentes confiables","Responsable",1,22,15,11,"Aplicaciones de gestión del tiempo","Rara vez","C3","Información engañosa o sesgada","A3","Neutral"
"Femenino","Bioingeniería",19,"4","Con frecuencia",15,"Poco confiable","Comparar la información con otras fuentes confiables","No la utilizo y busco fuentes confiables","Responsable",15,40,13,35,"Herramientas de toma de notas","Con frecuencia","C1","Noticias falsas","A1","Positiva"
