Marca temporal,Edad,Sexo,Ciclo,Promedio_ponderado,Distrito,Transporte,Tiempo_transporte,Horas_dormidas,Min_pasaje,Max_pasaje,Hora_salida_hogar,Hora_salida_de_UTEC,Faltas,Max_pasaje_no_planeado,Min_pasaje_no_planeado,Max_pasaje_bus,Min_pasaje_bus
28/04/2023 13:33:06,18,Mujer,2,18.06,San Juan de Miraflores,Bus,150,5,2.5,4,8:00:00,7:00:00,0,13,9,2,1.5
28/04/2023 13:41:33,18,Mujer,2,15,Ate,Metropolitano,120,2,8,14,5:30:00,2:00:00,2,30,14,7,5
28/04/2023 13:52:06,19,Mujer,2,15,San Juan de Miraflores,Bus,50,6,5,5,7:00:00,7:00:00,0,6,6,3,3
28/04/2023 13:54:31,19,Hombre,2,13.5,Chorrillos,Bus,15,6,1,2,9:00:00,8:00:00,3,12,10,1,1
28/04/2023 13:56:40,18,Hombre,3,14.5,Santiago de Surco,Bus,45,6,5,8,12:06:00,19:03:00,2,18,10,2,1
28/04/2023 13:58:59,17,Mujer,2,13,Santa Anita,Metropolitano,2,5,6,15,8:00:00,6:00:00,2,35,19,5,3
28/04/2023 13:59:50,20,Mujer,2,15.89,Comas,Metropolitano,120,6,4,5,7:00:00,17:00:00,5,7,3.2,3.5,1.5
28/04/2023 14:00:22,18,Mujer,2,14.5,Barranco,Caminando,10,6,0,0,8:00:00,8:00:00,0,0,0,3,2
28/04/2023 14:00:37,19,Mujer,4,16.08,Villa el Salvador,Metropolitano,40,5,3,3,12:45:00,6:00:00,6,50,8,4.8,1.9
28/04/2023 14:02:44,20,Mujer,2,15.68,San Luis,Metropolitano,60,7,1.5,2.15,6:00:00,13:00:00,4,18,16,3,1.25
28/04/2023 15:33:58,18,Hombre,2,16.25,Cercado de Lima,Metropolitano,40,6,2.5,5,6:00:00,8:00:00,5,100,20,1,0.5
28/04/2023 17:34:50,19,Mujer,4,13.56,Barranco,Bus,15,7,1,5,10:00:00,20:00:00,3,30,10,5,0.5
28/04/2023 17:55:46,20,Mujer,3,11.42,Santiago de Surco,Bus,120,7,4.5,5,11:00:00,10:00:00,0,5,3,3,1.3
28/04/2023 18:00:41,18,Mujer,2,16,San Martin de Porres,Metropolitano,80,4,7,10,6:00:00,10:00:00,10 a más,50,20,1,1
28/04/2023 18:52:50,18,Hombre,3,18.5,Comas,Metropolitano,90,6,1.5,4.5,6:00:00,17:00:00,8,5.5,3.5,2,2
28/04/2023 19:05:05,22,Mujer,6,15.55,Villa Maria del Triunfo,Bus,120,5,2,4,6:00:00,7:00:00,4,40,15,3,1.5
28/04/2023 19:52:22,20,Mujer,4,12.9,El agustino,Bus,40,6,3,20,7:00:00,6:00:00,0,20,39,1.5,1
28/04/2023 22:05:16,18,Mujer,3,14.32,Cercado de Lima,Metropolitano,50,4,8,42,5:30:00,10:00:00,4,30,24,3,2.5
