Edad ,Selecciona tu género:,Desde tu perspectiva cual es tu nivel socioeconómico:,¿En cuántos cursos te matriculaste este ciclo?,¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Lunes],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Martes],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Miercoles ],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Jueves],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Viernes ],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Sabados ],¿Cuántas horas estudias por día habitualmente?(FUERA DE TUS HORAS DE CLASE) [Domingo],¿Cuántas horas DUERMES habitualmente? [Lunes],¿Cuántas horas DUERMES habitualmente? [Martes],¿Cuántas horas DUERMES habitualmente? [Miercoles ],¿Cuántas horas DUERMES habitualmente? [Jueves],¿Cuántas horas DUERMES habitualmente? [Viernes ],¿Cuántas horas DUERMES habitualmente? [Sabados ],¿Cuántas horas DUERMES habitualmente? [Domingo],¿Qué factores crees que contribuyen en tu agotamiento mental?,¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Lunes],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Martes],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Miercoles ],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Jueves],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Viernes ],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Sabados ],¿Cuántas horas dedicas a realizar actividades físicas semanalmente?     [Domingo],¿Consumes cafeína? ,¿Que tanto usas aparatos electrónicos antes de  ir a dormir? Siendo 1 poco y 5 mucho,¿Qué tan adecuado consideras que son tus hábitos alimenticios? ,¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Lunes],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Martes],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Miercoles ],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Jueves],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Viernes ],¿Cuánto tiempo pasa en el transporte para llegar a la Universidad?   [Sabados ],¿Consideras que el agotamiento mental tiene efectos en la salud física y mental?,¿El efecto del agotamiento mental puede estar influenciando en tu rendimiento académico?,¿Crees que el efecto del agotamiento mental tiene influencia en tus relaciones sociales?,,,,
17,Masculino,Medio Alto,23,,,,,,,,1,1,1,1,1,1,2,Falta de sueño,3,3,3,3,3,1,1,Sí,Muy poco,Normal,1,1,1,1,1,1,Sí tiene efecto,No considero que sea uno de los factores,Puede que tenga influencia,,,,
20,Masculino,Medio,20,1,3,1,3,2,2,3,1,2,1,2,1,1,2,Falta de sueño,1,2,1,1,2,1,1,No,Poco,bueno,3,1,3,1,1,1,Sí tiene efecto,Considero que es uno de los factores,Sí tiene influencia,,,,
19,Masculino,Medio,21,2,6,2,7,3,5,7,2,2,2,2,2,2,2,Agotamiento mental,3,1,3,2,3,3,2,Sí,Mucho,bueno,1,1,1,1,1,1,Sí tiene efecto,Puede que sea uno de los factores,Sí tiene influencia,,,,
18,Masculino,Medio Bajo,17,1,4,6,,6,,,1,1,1,1,1,1,1,"Problemas académicos producto del mal rendimiento, Falta de actividades recreativas",2,1,2,1,2,1,1,Sí,Mucho,Normal,1,1,1,1,1,1,Sí tiene efecto,Considero que es uno de los factores,Sí tiene influencia,,,,
18,Masculino,"Medio, Medio Bajo",19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Problemas académicos producto del mal rendimiento, Falta de sueño, Falta de actividades recreativas",1,1,1,1,1,1,1,Sí,Muy poco,bueno,1,1,1,1,1,1,Sí tiene efecto,Considero que es uno de los factores,Sí tiene influencia,,,,
19,Masculino,Medio,23,2,2,3,2,2,2,2,4,3,4,3,3,3,3,"Problemas académicos producto del mal rendimiento, Falta de sueño",2,2,2,2,2,2,2,Sí,Mucho,Normal,1,1,1,1,1,1,Sí tiene efecto,Considero que es uno de los factores,Sí tiene influencia,,,,
19,Masculino,Medio Bajo,6,4,2,2,,4,4,1,1,1,1,2,2,1,1,"Falta de sueño, Falta de actividades recreativas",1,1,1,1,1,1,1,No,Mucho,Normal,1,1,1,1,1,1,Sí tiene efecto,"Considero que es uno de los factores, Puede que sea uno de los factores",Sí tiene influencia,,,,
20,Masculino,Bajo,6,4,4,4,4,4,4,4,5,4,5,5,4,5,5,Carga académica: La cantidad de trabajo y la presión de tener éxito,1,1,1,1,1,1,1,Sí,3,Bueno,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
16,Masculino,Medio Bajo,7,2,3,4,4,6,3,,4,4,4,4,4,4,4,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Tiempo de transporte: Los desplazamientos pueden ser extenuantes, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,2,Menos de 1 o nada,Sí,4,Normal,1,1,1,1,1,1,Sí tiene efecto,Tiene mediana influencia,Definitivamente influye,,,,
17,Masculino,Medio Alto,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir",2,2,2,2,1,1,1,Sí,4,Bueno,1,1,1,1,1,1,Sí tiene efecto,Tiene mediana influencia,Definitivamente influye,,,,
18,Masculino,Medio Bajo,6,4,4,4,4,4,4,4,5,5,5,5,5,5,5,"Carga académica: La cantidad de trabajo y la presión de tener éxito, Presión y expectativas: La presión de cumplir con las expectativas de los padres u otros, Falta de descanso: No tener tiempo para actividades desestresantes o dormir, Uno mismo",Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Menos de 1 o nada,Sí,4,Bueno,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Definitivamente influye,,,,
19,Masculino,Medio,7,3,5,2,7,3,5,7,5,5,5,5,5,5,5,Simplemente el gasto energético diario,3,2,2,2,3,3,2,Sí,5,Normal,1,1,1,1,1,1,Sí tiene efecto,Definitivamente influye,Tiene mediana influencia,,,,
