Marca temporal,Dirección de correo electrónico,¿Qué ciclo estás cursando este 2023-1?,Edad (años),Peso (Kg),Sexo,Carrera,"Si te encuentras en la universidad. ¿Cuánto tiempo en minutos te demoras en comprar un almuerzo dentro de UTEC? 
Desde que tomas la decisión de almorzar hasta obtener tu almuerzo.","Si te encuentras en la universidad. ¿Cuánto tiempo en minutos te demoras en comprar un almuerzo fuera de UTEC? 
Desde que tomas la decisión de almorzar hasta obtener tu almuerzo.",¿Cuántas veces a la semana compras almuerzos en UTEC? ,¿Cuán satisfecho estas con los almuerzos que compras en UTEC? En caso no consumas coloca la última opción,"¿ Cuánto es lo mínimo de dinero, en soles, que gastas en un almuerzo?
Ejemplo: 10.5","¿ Cuánto es lo máximo de dinero, en soles, que gastas en un almuerzo?
Ejemplo: 15.5",¿Cuál es tu nivel de conocimiento sobre el vegetarianismo? [Nivel],¿Eres vegano o vegetariano?,"¿Cuál es el motivo para adoptar o por el que adoptaste el vegetarianismo a tu vida? 
Si no adoptarías ninguno coloca la última opción ","¿Cuál es la razón principal por la cual no adoptarías una dieta vegetariana? (salud, gusto personal, costo, entre otros)",En caso seas vegano o vegetariano. ¿Hace cuánto tiempo lo eres?,¿Qué tan preocupado estás por la crueldad animal en la producción de alimentos? [Nivel],¿Qué tan importante es para ti la sostenibilidad y el medio ambiente en la elección de alimentos?,"¿Qué tanto conocimiento tienes acerca de las implicaciones ambientales y éticas de la producción de alimentos? (del 1 al 5, donde 1 es muy bajo y 5 es muy alto)","¿Qué tan interesado estarías en aprender más acerca de la dieta vegetariana? 
","¿Qué tan interesado estarías en adoptar una dieta vegetariana en el futuro? (del 1 al 5, donde 1 es nada interesado y 5 es muy interesado)",¿Qué tan fácil es para ti encontrar opciones vegetarianas en UTEC?,"¿Cuánto es lo mínimo de dinero, en soles, que estarías dispuesto a pagar por un almuerzo vegetariano en UTEC?","¿Cuánto es lo máximo de dinero, en soles, que estarías dispuesto a pagar por un almuerzo vegetariano en UTEC?",¿Qué tan fácil es para ti encontrar opciones vegetarianas en UTEC?
30/04/2023 23:30:17,,5,22,68,Masculino,Ingenieria Civil,20,40,2,Nada satisfecho,9,13,Avanzado,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,0,Mucho,Muy importante,5,Muy interesado,5,Regular,13,15,
30/04/2023 21:21:52,,4,20,50,Femenino,Ingenieria Civil,0,20,0,No compro alimentos en UTEC,10,22.5,Básico,"No, pero desearía serlo",Salud,Sí adoptaría una dieta vegetariana,0,Bastante,Muy importante,3,Muy interesado,5,No tengo conocimiento sobre alimentos vegetarianos,10,20,
30/04/2023 21:23:02,,4,22,65,Femenino,Ingenieria Civil,0,20,0,No compro alimentos en UTEC,10,12,Básico,"No, pero desearía serlo",Interés por los derechos de los animales,Gusto personal,0,Bastante,Importante,4,Interesado,4,Regular,12,15,
30/04/2023 21:21:33,,4,19,54,Femenino,Ingenieria Civil,0,25,0,No compro alimentos en UTEC,10,17,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Bastante,Muy importante,3,Interesado,3,No me importa conseguir alimentos vegetarianos,15,18,
30/04/2023 21:43:13,,4,19,65,Masculino,Ingenieria Civil,10,30,0,No compro alimentos en UTEC,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Nada,No tengo conocimiento sobre su implicancia,1,Nada interesado,1,No tengo conocimiento sobre alimentos vegetarianos,0,0,
30/04/2023 21:55:59,,4,20,70.5,Masculino,Ingenieria Civil,5,15,1,Satisfecho,12.5,15.5,Básico,No,No adoptaría el veganismo o el vegetarianismo,Costo,0,Regular,Importante,3,Muy interesado,4,Difícil,20,25,
30/04/2023 21:56:30,,4,20,86,Masculino,Ingenieria Civil,0,0,0,No compro alimentos en UTEC,12,20,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Poco,Importante,3,Muy poco interesado,1,Regular,0,0,
30/04/2023 21:56:56,,4,20,65.4,Femenino,Ingenieria Ambiental,0,10,0,No compro alimentos en UTEC,10,12,Básico,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Costo,0,Poco,Importante,4,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,12,15,
30/04/2023 21:57:17,,4,20,53,Femenino,Ingenieria Civil,5,13,4,Medianamente satisfecho,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,0,Regular,Muy importante,4,Interesado,3,Difícil,11,15,
30/04/2023 21:58:13,,4,20,65,Masculino,Ingenieria Civil,15,20,7,No compro alimentos en UTEC,10,11,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,0,Regular,Muy importante,3,Muy interesado,5,Regular,12,15,
