Ciclo,Edad,Peso,Sexo,Carrera,TiempoUtec,TiempoFuera,VecesUtec,Satisfaccion,PrecioMinimo,PrecioMaximo,Conocimiento,Vegetarianismo,MotivoSí,MotivoNo,TiempoVeg,CrueldadAnimal,MedioAmbiente,ConocAmbien,AprenderVeg,AdoptarVeg,OpcionesVeg,VegMin,VegMax
5,22,68,Masculino,Ingenieria Civil,20,40,2,Nada satisfecho,9,13,Avanzado,"No, pero desearía serlo",Interés por los derechos de los animales,Sí adoptaría una dieta vegetariana,NA,Mucho,Muy importante,5,Muy interesado,5,Regular,13,15
4,20,50,Femenino,Ingenieria Civil,NA,20,NA,No compro alimentos en UTEC,10,NA,Básico,"No, pero desearía serlo",Salud,Sí adoptaría una dieta vegetariana,NA,Bastante,Muy importante,3,Muy interesado,5,No tengo conocimiento sobre alimentos vegetarianos,10,20
4,22,65,Femenino,Ingenieria Civil,NA,20,NA,No compro alimentos en UTEC,10,12,Básico,"No, pero desearía serlo",Interés por los derechos de los animales,Gusto personal,NA,Bastante,Importante,4,Interesado,4,Regular,12,15
4,19,54,Femenino,Ingenieria Civil,NA,25,NA,No compro alimentos en UTEC,10,17,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Bastante,Muy importante,3,Interesado,3,No me importa conseguir alimentos vegetarianos,15,18
4,19,65,Masculino,Ingenieria Civil,10,30,NA,No compro alimentos en UTEC,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,No tengo conocimiento sobre su implicancia,1,Nada interesado,1,No tengo conocimiento sobre alimentos vegetarianos,NA,NA
4,20,70.5,Masculino,Ingenieria Civil,5,15,1,Satisfecho,NA,NA,Básico,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Regular,Importante,3,Muy interesado,4,Difícil,20,25
4,20,86,Masculino,Ingenieria Civil,NA,NA,NA,No compro alimentos en UTEC,12,20,Nada,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Importante,3,Muy poco interesado,1,Regular,NA,NA
4,20,65.4,Femenino,Ingenieria Ambiental,NA,10,NA,No compro alimentos en UTEC,10,12,Básico,"No, pero desearía serlo",No adoptaría el veganismo o el vegetarianismo,Costo,NA,Poco,Importante,4,Interesado,3,No tengo conocimiento sobre alimentos vegetarianos,12,15
4,20,53,Femenino,Ingenieria Civil,5,13,4,Medianamente satisfecho,11,15,Básico,No,No adoptaría el veganismo o el vegetarianismo,Salud,NA,Regular,Muy importante,4,Interesado,3,Difícil,11,15
4,20,65,Masculino,Ingenieria Civil,15,20,7,No compro alimentos en UTEC,10,11,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Regular,Muy importante,3,Muy interesado,5,Regular,12,15
4,20,64.44,Masculino,Ingenieria Civil,NA,20,NA,No compro alimentos en UTEC,11,15,Intermedio,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Muy poco importante,3,Muy poco interesado,3,No me importa conseguir alimentos vegetarianos,NA,16
4,19,78,Masculino,Ingenieria Civil,NA,60,1,No compro alimentos en UTEC,15,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Nada,Muy importante,3,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
4,20,47.6,Femenino,Ingenieria Civil,NA,10,NA,Medianamente satisfecho,20,25,Básico,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Bastante,Muy importante,5,Interesado,4,No me importa conseguir alimentos vegetarianos,NA,20
5,24,50.3,Femenino,Ingenieria Industrial,6,30,4,Satisfecho,NA,NA,Nada,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Poco,No tengo conocimiento sobre su implicancia,1,Muy poco interesado,2,Regular,NA,20.5
5,19,57,Masculino,Ingenieria Civil,5,20,1,Medianamente satisfecho,10,13,Básico,No,Salud,Gusto personal,NA,Regular,Importante,4,Muy poco interesado,2,No me importa conseguir alimentos vegetarianos,NA,NA
5,22,78,Femenino,Ingenieria Industrial,20,NA,1,Satisfecho,13,17,Avanzado,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Mucho,Nada importante,5,Muy interesado,1,No me importa conseguir alimentos vegetarianos,13,18
4,19,60,Masculino,Ingenieria Civil,NA,30,NA,No compro alimentos en UTEC,10,13,Básico,No,No adoptaría el veganismo o el vegetarianismo,Costo,NA,Poco,Muy importante,2,Nada interesado,1,No me importa conseguir alimentos vegetarianos,10,12
4,20,60,Masculino,Ingenieria Civil,8,24,NA,No compro alimentos en UTEC,12,NA,Intermedio,No,Salud,Sí adoptaría una dieta vegetariana,NA,Regular,Muy importante,4,Interesado,4,Regular,13,18
4,18,62.3,Masculino,Bioingenieria,NA,30,NA,No compro alimentos en UTEC,10,30,Básico,No,No adoptaría el veganismo o el vegetarianismo,Gusto personal,NA,Poco,Muy importante,1,Muy interesado,5,Difícil,14,20
4,20,58.6,Masculino,Ingenieria Civil,NA,30,NA,No compro alimentos en UTEC,10,18,Nada,No,Salud,Gusto personal,NA,Bastante,Muy importante,3,Muy poco interesado,4,No me importa conseguir alimentos vegetarianos,10,15
