Marca temporal,Selecciona tu sexo,Edad en años (Ejemplo: 19),¿En qué ciclo de te encuentras?,Indicar cual es el recurso tecnológico que más te ayuda académicamente,Cuantos dispositivos tecnológicos electrónicos dispones para fines de estudio ?,¿En qué ciclo lo adquiriste?,"De esas horas de estudio, ¿cuántas se ven acompañadas de recursos tecnológicos aproximadamente?","En una escala del 1 al 10, ¿Cuánto consideras que incluir recursos tecnológicos es beneficioso para el rendimiento académico?",¿Cuál consideras el grupo de cursos donde mejor aprovechaste los recursos tecnológicos?,De acuerdo con ese grupo ¿cuál consideras el curso donde se puede aprovecha mejor el uso de recursos  tecnológicos? (Todo en mayúscula y el nombre completo),¿Cuántas horas aproximadas dispones de uso de internet diariamente?(libre),Empleas activamente algún recurso de H,¿Aproximadamente cuantas horas le dedicas semanalmente al estudio?,¿Cuál es tu promedio ponderado previo a ese ciclo que?,¿Cuál era tu promedio ponderado posterior al empleo de dicho recurso tecnológico?,¿Empleas activamente aplicaciones de software para el estudio de tus cursos?,Que carrera estudias?,¿Qué tipo de aplicaciones más empleas?,¿Cuántos días estudias por semana?
03/05/2023 13:53:19,Masculino,18,3,Laptop,3,2,2,9,Ciencias Generales,Ecuaciones diferenciales,4,Sí,33,12.34,15.89,Sí,Bioingeniería,Inteligencias Artificiales (ChatGPT. Youchat. etc.),6
04/05/2023 9:33:34,Masculino,19,4,Laptop,2,4,10,6,Otros,GENERALES,24,Sí,35,14.25,15.38,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
04/05/2023 9:44:28,Masculino,19,4,No uso activamente recursos tecnologicos con fines académicos,0,4,24,9,Ciencias Generales,TERMODINÁMICA,14,No,39,15.23,16.64,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 9:55:11,Femenino,20,4,No uso activamente recursos tecnologicos con fines académicos,20,1,16,8,Cursos de carrera,GEOMETRÍA DESCRIPTIVA,24,No,40,16.54,16.74,"Sí, pero no activamente",Ingeniería Civil,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",6
04/05/2023 9:55:14,Masculino,19,4,Tablet,3,1,5,6,Ciencias Generales,Ciencia de los materiales,15,Sí,35,13.32,15.34,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 9:57:00,Masculino,19,4,No uso activamente recursos tecnologicos con fines académicos,0,2,5,10,Cursos de carrera,PROGRAMACIÓN 1 Y 2,24,No,40,16.35,14.62,"Sí, pero no activamente",Ciencias de la computación,"Lenguajes de programación (Python, C++, etc.)",5
04/05/2023 9:59:01,Masculino,18,4,Laptop,2,1,8,10,Otros,Todos,24,Sí,37,15.23,16.66,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",6
04/05/2023 10:01:46,Masculino,21,4,No uso activamente recursos tecnologicos con fines académicos,-1,2,5,6,Ciencias Generales,INTRODUCCIÒN A LA MECÀNICA,24,No,40,15.34,14.75,"Sí, pero no activamente",Ingeniería Industrial,"Aplicaciones de texto y notas(word, outlook, etc.)",5
04/05/2023 10:03:56,Femenino,18,4,Laptop,3,1,10,8,Cursos de carrera.,Modelado y simulación,20,Sí,35,14.32,3.84,Sí,Bioingeniería,"Aplicaciones de calculo (Mathlab, Geogebra, Symbolab, etc.)",7
04/05/2023 10:05:33,Masculino,21,4,No uso activamente recursos tecnologicos con fines académicos,0,1,16,8,Cursos de carrera,DINÁMICA,79,No,42,18.32,18.32,Sí,Ingeniería Civil,"Aplicaciones de texto y notas(word, outlook, etc.)",7
