"UBIGEO","VIVIENDA","PERSONA","P1172$01","P1172$02","P1172$13","P1172$14","P408F5","P408G4","IT","P300A","P301C","P301A","P301D","P302","P314A","P315A"
"070101","001",1,45,58,NA,15,NA,NA,591,4,NA,5,"Estatal",NA,"Si",NA
"070101","001",2,NA,0,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","001",3,25,60,NA,0,NA,NA,NA,4,6,4,"Estatal",NA,"Si",NA
"070101","001",4,NA,NA,NA,NA,NA,NA,NA,4,5,3,"Estatal",1,"Si",NA
"070101","001",5,NA,NA,NA,NA,NA,NA,NA,4,3,3,"Estatal",1,"Si",NA
"070101","001",6,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"No",NA
"070101","001",7,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",6
"070101","001",8,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","002",1,30,0,NA,NA,NA,NA,80,4,NA,5,"Estatal",NA,"Si",NA
"070101","002",2,NA,0,NA,NA,NA,NA,50,4,NA,5,"Estatal",NA,"Si",NA
"070101","002",3,NA,NA,NA,NA,NA,NA,NA,4,6,4,"Estatal",NA,"Si",NA
"070101","002",4,28,15,NA,44,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",10
"070101","002",5,NA,NA,NA,NA,NA,NA,600,4,NA,5,"Privado",NA,"Si",20
"070101","002",6,NA,NA,NA,NA,0.17,10,NA,4,NA,7,"Privado",NA,"Si",NA
"070101","002",7,NA,NA,NA,NA,NA,NA,NA,4,2,3,"Estatal",1,"Si",NA
"070101","002",8,NA,NA,NA,NA,0.5,15,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","002",9,NA,NA,NA,NA,NA,NA,NA,4,NA,2,"Estatal",2,NA,NA
"070101","003",1,60,100,60,90,NA,NA,NA,4,NA,3,"Estatal",2,"No",NA
"070101","003",2,NA,NA,NA,NA,NA,NA,1025,4,NA,7,"Privado",NA,"Si",NA
"070101","003",3,NA,NA,NA,NA,NA,NA,NA,4,NA,7,"Privado",NA,"Si",NA
"070101","003",4,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Privado",NA,"Si",NA
"070101","003",5,NA,NA,NA,NA,NA,NA,1025,4,NA,6,"Privado",NA,"Si",NA
"070101","003",6,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,2,NA,NA
"070101","004",1,NA,0,0,0,NA,NA,NA,4,NA,5,"Estatal",NA,"No",NA
"070101","004",2,NA,0,NA,NA,NA,NA,900,4,NA,4,"Estatal",NA,"Si",NA
"070101","004",3,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"No",NA
"070101","005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","008",1,70,200,30,0,NA,NA,NA,1,NA,4,"Estatal",NA,"No",NA
"070101","008",2,NA,NA,NA,NA,NA,NA,440,1,NA,6,"Estatal",NA,"No",NA
"070101","008",3,NA,NA,NA,NA,NA,NA,280,4,NA,7,"Estatal",NA,"Si",NA
"070101","008",4,NA,NA,NA,NA,NA,NA,900,4,NA,8,"Estatal",NA,"Si",NA
"070101","008",5,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","013",1,68,95,NA,0,NA,NA,520,4,NA,6,"Privado",NA,"Si",NA
"070101","013",2,NA,NA,NA,NA,NA,NA,919,4,NA,10,"Estatal",NA,"Si",NA
"070101","015",1,NA,0,NA,60,NA,NA,600,4,NA,5,"Privado",NA,"Si",NA
"070101","015",2,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","015",3,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","015",4,NA,NA,NA,NA,NA,NA,NA,4,6,4,"Estatal",NA,"Si",NA
"070101","018",1,NA,32,NA,13,NA,NA,1138,4,NA,7,"Privado",NA,"Si",NA
"070101","018",2,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Privado",NA,"Si",NA
"070101","019",1,110,170,NA,NA,NA,NA,980,4,NA,6,"Estatal",NA,"Si",NA
"070101","019",2,NA,NA,NA,NA,NA,NA,NA,4,1,3,"Estatal",1,"Si",NA
"070101","019",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","020",1,50,60,NA,70,NA,NA,1350,4,NA,6,"Estatal",NA,"Si",NA
"070101","020",2,25,30,80,110,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","020",3,NA,NA,NA,NA,NA,NA,NA,4,NA,7,"Privado",NA,"Si",NA
"070101","020",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","020",5,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"No",NA
"070101","020",6,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","021",1,NA,40,NA,NA,NA,NA,152,4,NA,5,"Estatal",NA,"No",NA
"070101","022",1,64,90,NA,45,NA,NA,NA,4,NA,3,"Estatal",1,"No",NA
"070101","022",2,50,90,70,80,NA,NA,250,4,NA,6,"Estatal",NA,"Si",NA
"070101","022",3,36,0,NA,NA,NA,NA,NA,4,NA,5,"Privado",NA,"Si",NA
"070101","022",4,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","022",5,NA,NA,NA,NA,NA,NA,1204,4,NA,6,"Estatal",NA,"No",NA
"070101","022",6,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","022",7,NA,NA,NA,NA,NA,NA,NA,4,NA,7,"Privado",NA,"Si",NA
"070101","022",8,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","022",9,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Privado",NA,"Si",NA
"070101","022",10,NA,NA,NA,NA,NA,NA,1182,4,NA,5,"Estatal",NA,"Si",NA
"070101","022",11,NA,NA,NA,NA,NA,NA,1000,4,NA,5,"Estatal",NA,"Si",NA
"070101","022",12,NA,NA,NA,NA,NA,NA,NA,4,NA,2,"Estatal",2,"Si",NA
"070101","022",13,NA,NA,NA,NA,3,10,NA,4,0,1,NA,2,NA,NA
"070101","023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","025",1,40,100,15,15,NA,10,NA,1,NA,7,"Privado",NA,"No",NA
"070101","025",2,NA,NA,NA,NA,NA,NA,NA,1,NA,3,"Estatal",2,"No",NA
"070101","025",3,NA,NA,NA,NA,168,45,960,4,NA,6,"Estatal",NA,"Si",NA
"070101","025",4,NA,NA,NA,NA,NA,NA,NA,4,NA,8,"Privado",NA,"No",NA
"070101","026",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","027",1,35,40,30,NA,NA,NA,1020,4,NA,6,"Estatal",NA,"Si",NA
"070101","027",2,NA,NA,NA,NA,NA,NA,1594,4,NA,6,"Estatal",NA,"Si",NA
"070101","027",3,NA,NA,NA,NA,NA,NA,NA,4,5,3,"Estatal",1,"Si",NA
"070101","027",4,NA,NA,NA,NA,NA,NA,NA,4,NA,2,"Estatal",1,"No",NA
"070101","027",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","029",1,NA,0,20,NA,NA,NA,1410,4,6,4,"Estatal",NA,"Si",NA
"070101","029",2,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","029",3,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,2,NA,NA
"070101","029",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","030",1,30,30,NA,35,NA,NA,50,1,NA,5,"Estatal",NA,"Si",NA
"070101","030",2,NA,NA,NA,NA,NA,NA,NA,4,2,3,"Estatal",1,"Si",NA
"070101","031",1,NA,50,NA,30,NA,NA,950,1,NA,5,"Estatal",NA,"Si",NA
"070101","031",2,NA,NA,NA,NA,NA,NA,528,1,NA,5,"Estatal",NA,"Si",NA
"070101","031",3,NA,NA,NA,NA,NA,NA,NA,4,3,3,"Estatal",1,"Si",NA
"070101","031",4,NA,NA,NA,NA,24,3,NA,4,0,1,NA,2,"No",NA
"070101","037",1,NA,0,NA,79,NA,NA,660,4,NA,6,"Estatal",NA,"Si",NA
"070101","037",2,NA,30,NA,20,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","037",3,NA,NA,NA,NA,NA,NA,1000,4,NA,6,"Estatal",NA,"Si",NA
"070101","037",4,NA,NA,NA,NA,NA,NA,1000,4,NA,6,"Estatal",NA,"Si",NA
"070101","037",5,NA,NA,NA,NA,NA,NA,547,4,NA,5,"Estatal",NA,"Si",NA
"070101","037",6,NA,NA,NA,NA,NA,NA,1400,4,NA,7,"Privado",NA,"Si",NA
"070101","037",7,NA,NA,NA,NA,0.33,20,NA,4,3,3,"Estatal",1,"Si",NA
"070101","037",8,NA,NA,NA,NA,NA,NA,NA,4,4,3,"Estatal",1,"Si",NA
"070101","037",9,NA,NA,NA,NA,0.02,10,NA,NA,NA,NA,NA,NA,NA,NA
"070101","038",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","038",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","038",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","041",1,40,80,NA,50,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","041",2,NA,NA,NA,NA,NA,NA,1250,4,NA,5,"Estatal",NA,"Si",NA
"070101","041",3,NA,NA,NA,NA,NA,NA,NA,4,6,4,"Estatal",NA,"No",NA
"070101","041",4,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,2,NA,NA
"070101","041",5,NA,NA,NA,NA,NA,NA,NA,4,NA,8,"Privado",NA,"Si",NA
"070101","041",6,NA,NA,NA,NA,NA,NA,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","041",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","046",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","046",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","047",1,35,35,NA,100,NA,NA,1150,4,NA,6,"Privado",NA,"Si",NA
"070101","047",2,NA,NA,NA,NA,NA,NA,1025,4,NA,6,"Estatal",NA,"Si",NA
"070101","048",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"070101","051",1,NA,0,NA,55,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","051",2,NA,NA,NA,NA,NA,NA,1120,4,NA,6,"Estatal",NA,"Si",NA
"070101","051",3,NA,NA,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"Si",NA
"070101","051",4,NA,NA,NA,NA,NA,NA,NA,4,4,3,"Privado",1,"Si",NA
"070101","053",1,72,0,36,40,0.17,10,1025,4,NA,8,"Privado",NA,"Si",NA
"070101","053",2,NA,NA,NA,NA,0.17,15,NA,4,NA,5,"Estatal",NA,"Si",NA
"070101","053",3,NA,NA,NA,NA,NA,NA,NA,4,NA,2,"Estatal",2,"Si",NA
"070101","054",1,NA,60,0,10,NA,NA,20,4,NA,6,"Estatal",NA,"Si",NA
"070101","054",2,NA,NA,NA,NA,NA,NA,277,4,NA,6,"Estatal",NA,"Si",NA
"070101","054",3,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,2,NA,NA
"070101","055",1,NA,NA,NA,NA,NA,NA,NA,4,NA,10,"Estatal",NA,"No",NA
"070101","055",2,68,95,NA,NA,NA,NA,NA,4,NA,6,"Estatal",NA,"No",NA
"070101","057",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
