City;Price;Para cuando los reservan;Room Type;Shared Room;Private Room;Person Capacity;Superhost;Multiple Rooms;Business (ofertas);Cleanliness Rating;Guest Satisfaction;Bedrooms;City Center (km);Metro Distance (km);Normalised Attraction Index;Normalised Restraunt Index
Amsterdam;194.03;Weekday;Private room;False;True;2;False;1;0;10;93;1;5.02;2.54;4.17;6.85
Amsterdam;344.25;Weekday;Private room;False;True;4;False;0;0;8;85;1;0.49;0.24;33.42;58.34
Amsterdam;264.1;Weekday;Private room;False;True;2;False;0;1;9;87;1;5.75;3.65;3.99;6.65
Amsterdam;433.53;Weekday;Private room;False;True;4;False;0;1;9;90;2;0.38;0.44;26.12;60.97
Amsterdam;485.55;Weekday;Private room;False;True;2;True;0;0;10;98;1;0.54;0.32;29.27;56.81
Amsterdam;552.81;Weekday;Private room;False;True;3;False;0;0;8;100;2;2.13;1.9;9.26;15.69
Amsterdam;215.12;Weekday;Private room;False;True;2;False;0;0;10;94;1;1.88;0.73;10.6;16.92
Amsterdam;2,771.31;Weekday;Entire home/apt;False;False;4;True;0;0;10;100;3;1.69;1.46;11.06;18.98
Amsterdam;1,001.80;Weekday;Entire home/apt;False;False;4;False;0;0;9;96;2;3.72;1.2;5.63;9.33
Amsterdam;276.52;Weekday;Private room;False;True;2;False;1;0;10;88;1;3.14;0.92;10.92;16.6
Amsterdam;909.47;Weekday;Entire home/apt;False;False;2;False;0;0;10;96;1;1.01;0.92;21.7;38.68
Amsterdam;319.64;Weekday;Private room;False;True;2;True;1;0;10;97;1;2.18;1.59;10.14;15.98
Amsterdam;675.6;Weekday;Entire home/apt;False;False;4;False;0;0;8;87;1;2.93;0.63;11.38;18.79
Amsterdam;552.81;Weekday;Entire home/apt;False;False;2;True;0;0;10;100;1;1.31;1.34;17.22;27.24
Amsterdam;209.03;Weekday;Private room;False;True;2;False;1;0;8;96;1;7.3;3.72;3.17;5.28
Amsterdam;368.85;Weekday;Private room;False;True;2;True;0;0;10;98;1;1.03;0.56;19.06;30.66
Amsterdam;368.85;Weekday;Private room;False;True;2;False;0;0;10;90;1;1.33;0.12;28.54;39.99
Amsterdam;337.92;Weekday;Private room;False;True;2;True;1;0;10;97;1;1.37;0.53;30.5;58.95
Amsterdam;313.55;Weekday;Private room;False;True;2;True;1;0;10;96;1;1.29;0.55;28.01;71.35
Amsterdam;447.59;Weekday;Entire home/apt;False;False;2;False;1;0;9;93;1;1.06;1.07;22.39;33.22
Amsterdam;243.25;Weekday;Private room;False;True;2;True;1;0;10;96;1;2.87;1.28;8.99;14.65
Amsterdam;933.85;Weekday;Entire home/apt;False;False;4;False;0;0;10;96;2;1.01;0.38;25.3;46.27
Amsterdam;251.92;Weekday;Private room;False;True;2;False;1;0;10;97;1;1.25;1.1;14.16;25.54
Amsterdam;377.29;Weekday;Private room;False;True;2;False;0;0;10;98;1;1.17;0.98;14.76;26.73
Amsterdam;245.59;Weekday;Private room;False;True;2;True;1;0;10;96;1;4.23;2.69;4.88;8.1
Amsterdam;217.7;Weekday;Private room;False;True;2;False;1;0;8;93;1;4.18;2.81;4.94;8.21
Amsterdam;295.03;Weekday;Private room;False;True;2;False;1;0;10;95;1;3.37;0.23;9;15.13
Amsterdam;295.03;Weekday;Private room;False;True;2;False;0;0;10;94;1;4.13;0.84;6.84;11.46
Amsterdam;1,032.97;Weekday;Entire home/apt;False;False;4;False;1;0;9;96;2;2.16;1.42;9.71;15.5
Amsterdam;270.43;Weekday;Private room;False;True;4;True;0;0;10;98;1;4.89;1.09;4.85;7.99
Amsterdam;524.69;Weekday;Entire home/apt;False;False;2;False;0;1;9;89;1;1.13;1.12;20.46;32.25
Amsterdam;599.68;Weekday;Entire home/apt;False;False;4;False;0;0;9;94;3;3.36;0.7;8.27;13.86
Amsterdam;516.02;Weekday;Entire home/apt;False;False;4;False;0;0;9;100;2;1.07;0.38;25.83;48.98
Amsterdam;602.25;Weekday;Entire home/apt;False;False;3;False;0;0;10;100;2;3.86;0.73;7.88;12.84
Amsterdam;504.07;Weekday;Entire home/apt;False;False;4;False;0;0;9;94;2;4.08;1.87;5.22;8.51
Amsterdam;1,609.92;Weekday;Entire home/apt;False;False;6;False;1;0;10;96;3;2.99;1.75;11.01;16.85
Amsterdam;310.97;Weekday;Entire home/apt;False;False;2;False;1;0;9;94;0;4.15;0.04;6.29;10.55
Amsterdam;202.7;Weekday;Private room;False;True;2;False;0;0;10;94;1;5.61;3.91;3.78;6.21
Amsterdam;796.29;Weekday;Entire home/apt;False;False;4;False;0;0;10;94;2;2.85;1.7;10.74;18.91
Amsterdam;504.07;Weekday;Private room;False;True;2;False;0;0;9;96;1;6.41;4.14;3.56;5.85
Amsterdam;319.64;Weekday;Private room;False;True;2;False;0;1;10;95;1;0.54;0.34;29.58;56.92
Amsterdam;614.44;Weekday;Private room;False;True;4;False;0;1;9;96;1;0.5;0.33;37.99;59.12
Amsterdam;467.04;Weekday;Private room;False;True;3;False;0;1;10;94;1;0.51;0.28;31.2;60.86
Amsterdam;716.38;Weekday;Entire home/apt;False;False;5;True;0;0;10;96;2;3.7;0.4;6.18;10.26
Amsterdam;350.1;Weekday;Private room;False;True;2;False;1;0;10;91;0;1.1;0.96;15.52;29.72
Amsterdam;319.64;Weekday;Private room;False;True;2;False;0;1;10;97;1;0.38;0.31;35.31;56.55
Amsterdam;467.04;Weekday;Private room;False;True;3;False;0;1;10;96;1;0.47;0.14;40.62;57.49
Amsterdam;983.29;Weekday;Entire home/apt;False;False;3;True;0;0;10;100;2;1.43;1.35;17.05;29.5
Amsterdam;298.78;Weekday;Private room;False;True;2;True;0;0;9;94;0;4.22;1.52;5.76;9.67
Amsterdam;196.61;Weekday;Private room;False;True;4;False;0;0;9;94;1;6.2;2.37;3.48;5.67
