"Fecha","Gastos Corrientes"
Ene95,1007.84880064029
Feb95,1004.80578803231
Mar95,1257.33597238695
Abr95,1075.65871874096
May95,1082.24003813158
Jun95,1121.84786587684
Jul95,1230.20123019816
Ago95,1182.72892365727
Sep95,1125.01804692172
Oct95,1229.18069734277
Nov95,1145.93311467967
Dic95,1288.6192278227
Ene96,1127.93008052739
Feb96,1081.30734636087
Mar96,1090.90848387116
Abr96,1482.37863208581
May96,1288.96100304435
Jun96,1192.39208691725
Jul96,1448.99494311564
Ago96,1188.50962553852
Sep96,1305.15660922104
Oct96,1353.55601027279
Nov96,1466.38749674665
Dic96,1722.67141482173
Ene97,1196.31966343379
Feb97,1242.34416997336
Mar97,1524.19102690584
Abr97,1292.71442659249
May97,1317.0042076397
Jun97,1327.74190234133
Jul97,1628.7916173002
Ago97,1508.38131512159
Sep97,1562.82547130516
Oct97,1575.99543245287
Nov97,1602.94736564126
Dic97,2218.56041502146
Ene98,1374.38790162773
Feb98,1426.72236321274
Mar98,1724.6151051098
Abr98,1451.77849238326
May98,1465.0951093386
Jun98,1535.30249421945
Jul98,1801.50606868485
Ago98,1651.50265258899
Sep98,1582.62826911318
Oct98,1605.08571382097
Nov98,1597.79568569067
Dic98,2645.91992336269
Ene99,1438.73038666898
Feb99,1864.59331379431
Mar99,1614.2321901954
Abr99,1668.64591624644
May99,1728.38231186584
Jun99,1722.87804946654
Jul99,2153.23923263497
Ago99,1813.94383315747
Sep99,1828.13368633468
Oct99,1803.32975822114
Nov99,1822.61138983423
Dic99,2470.982609067
Ene00,1702.89190460183
Feb00,1979.88887345599
Mar00,2285.62263921154
Abr00,1885.81311999842
May00,2027.81022989163
Jun00,1990.60005895183
Jul00,2288.75708462934
Ago00,1966.63418860312
Sep00,1893.46631129401
Oct00,1878.86238688119
Nov00,1864.77714084354
Dic00,2336.09486412814
Ene01,1625.73153338128
Feb01,1820.4884143466
Mar01,1821.13031770561
Abr01,2281.96897154504
May01,2043.03576864427
Jun01,1919.6504227041
Jul01,2324.06941818586
Ago01,1916.15668459189
Sep01,1897.53451687907
Oct01,1965.58667511833
Nov01,2080.99665635416
Dic01,2652.52697963993
