
"Fecha","Impuestos a los Ingresos"
Ene95,293.5361
Feb95,216.6595
Mar95,311.7614
Abr95,535.3085
May95,250.7002
Jun95,239.8247
Jul95,238.3911
Ago95,254.4923
Sep95,276.9045
Oct95,274.0837
Nov95,278.1078
Dic95,292.2978
Ene96,357.303
Feb96,304.2401
Mar96,322.4443
Abr96,1065.2534
May96,338.0868
Jun96,343.2041
Jul96,367.0961
Ago96,362.5104
Sep96,357.4169
Oct96,363.8566
Nov96,372.9851
Dic96,426.3653
Ene97,489.8421
Feb97,407.3941
Mar97,431.7816
Abr97,806.4727
May97,405.5851
Jun97,538.992286
Jul97,449.10298
Ago97,392.2969
Sep97,426.1055
Oct97,425.2585
Nov97,456.1042
Dic97,481.0153
Ene98,496.92074766
Feb98,420.97484893
Mar98,541.76515107
Abr98,850.42492637
May98,418.29602383
Jun98,427.92454321
Jul98,412.81145693
Ago98,444.20533306
Sep98,481.28366941
Oct98,446.92633141
Nov98,446.42065517
Dic98,473.34374513
Ene99,497.72645662
Feb99,463.17284524
Mar99,460.61744424
Abr99,698.35956522
May99,372.84321973
Jun99,338.22264003
Jul99,354.72363312
Ago99,352.10138297
Sep99,361.57128072
Oct99,387.27863512
Nov99,376.85868377
Dic99,408.29660788
Ene00,481.71003701
Feb00,376.67543594
Mar00,411.37872857
Abr00,803.70311997
May00,377.74477878
Jun00,372.03028564
Jul00,373.79935068
Ago00,389.24403919
Sep00,366.00328179
Oct00,385.23133506
Nov00,392.04316537
Dic00,399.96908622
Ene01,495.48165818
Feb01,391.99840385
Mar01,485.48122237
Abr01,1028.61588885
May01,402.87661763
Jun01,409.08257717
Jul01,409.05697485
Ago01,396.05202159
Sep01,414.75373897
Oct01,399.69138618
Nov01,397.91134676
Dic01,399.33498562
Ene02,513.0203995
Feb02,394.64465197
Mar02,409.2409767
Abr02,963.52568067
May02,427.23958554
Jun02,448.08598573
Jul02,413.99620691
Ago02,531.68425243
Sep02,483.85200443
Oct02,459.74186644
Nov02,461.961226
Dic02,504.34394021
Ene03,594.62298794
Feb03,540.79737999
Mar03,807.46358912
Abr03,1180.76374059
May03,676.18398525
Jun03,587.93415587
Jul03,635.30686246
Ago03,599.02735869
Sep03,572.6010423
Oct03,589.98331941
Nov03,595.28089733
Dic03,591.88477928
Ene04,792.50596942
Feb04,561.43907554
Mar04,892.83263597
Abr04,1178.69718527
May04,720.46893703
Jun04,648.93363611
Jul04,733.77721289
Ago04,673.35783666
Sep04,707.655200249999
Oct04,707.83120417
Nov04,682.04182955
Dic04,726.57086837
Ene05,824.45482735
Feb05,664.56697237
Mar05,1226.58232226
Abr05,2185.76808719
May05,738.90609097
Jun05,753.33468439
Jul05,756.02654267
Ago05,734.30539017
Sep05,766.83141802
Oct05,797.09102133
Nov05,848.66352021
Dic05,891.00009505
Ene06,1409.45802851
Feb06,960.26779702
Mar06,1491.9371257
Abr06,3792.43251166
May06,1289.74441796
Jun06,1281.82440161
Jul06,1643.44695842
Ago06,1321.58147646
Sep06,1273.38112479
Oct06,1320.17338432
Nov06,1301.78028364
Dic06,1328.155728
Ene07,1679.9569236
Feb07,1186.87532411
Mar07,1917.3944125
Abr07,4837.13788526
May07,1506.84783973
Jun07,1556.51788436
Jul07,1656.56693158
Ago07,1733.44197813
Sep07,1597.26295263
Oct07,1730.98010786
Nov07,1718.05658697
Dic07,1726.25947598
Ene08,2008.33841048
Feb08,1631.60894938
Mar08,2250.48342138
Abr08,3803.23684365
May08,1853.43670712
Jun08,1915.54293614
Jul08,1952.05050025
Ago08,1838.45298932
Sep08,1820.69423382
Oct08,1909.58779398
Nov08,1554.35674707
Dic08,1608.2481898
Ene09,1932.45966198
Feb09,1386.26504987
Mar09,2082.19968984
Abr09,3143.85740457
May09,1345.26986492
Jun09,1296.05826167
Jul09,1403.10180106
Ago09,1415.67923137
Sep09,1462.65425116
Oct09,1594.3056721
Nov09,1562.94602782
Dic09,1721.5420231
Ene10,2315.34829698
Feb10,1854.58513527
Mar10,2642.58752948
Abr10,3990.52616819
May10,1849.727568
Jun10,1742.02844679
Jul10,1914.33813637
Ago10,1754.48557484
Sep10,1753.33340371
Oct10,1956.00297271
Nov10,1922.78954582
Dic10,2105.96367063
Ene11,2742.33534368
Feb11,2158.49873136
Mar11,3776.26971305
Abr11,5041.60863265
May11,2379.32192796
Jun11,2404.90566528
Jul11,2551.52318531
Ago11,2639.81248543
Sep11,2552.75583594
Oct11,2642.49789036
Nov11,2307.42505774
Dic11,2430.97646636
Ene12,3310.54164931
Feb12,2580.70843874
Mar12,4416.45509835
Abr12,5528.87853451
May12,2606.232991
Jun12,2488.43427807
Jul12,2867.59405048
Ago12,2537.03985202
Sep12,2548.17172393
Oct12,2748.59990211
Nov12,2761.12028183
Dic12,2884.25859961
Ene13,3436.87545266
Feb13,2870.76019935
Mar13,3803.09120433
Abr13,4651.14300912
May13,2609.63829679
Jun13,2467.74109604
Jul13,2682.36286294
Ago13,2622.84362963
Sep13,2798.07761066
Oct13,2786.22420976
Nov13,2824.24078067
Dic13,2959.40889116
Ene14,3498.4285319
Feb14,2890.30746482
Mar14,4986.07177289
Abr14,4860.77033583
May14,2527.25918099
Jun14,2415.99049078
Jul14,2581.54059199
Ago14,3988.37224117
Sep14,2703.88896639
Oct14,2734.37760192
Nov14,4134.44070479
Dic14,2835.61166069
Ene15,3683.92432809
Feb15,2830.76097198
Mar15,4163.97345201
Abr15,4349.65927512
May15,2198.37998213
Jun15,2246.94253942
Jul15,2418.1149686
Ago15,2681.17571196
Sep15,2456.29710808
Oct15,2553.52580429
Nov15,2508.76966518
Dic15,2653.9121456
Ene16,3538.28521739
Feb16,2937.26583992
Mar16,4784.98477914
Abr16,5081.09491581
May16,2526.71042268
Jun16,2501.19350257
Jul16,2418.60583875
Ago16,2491.31889373
Sep16,2378.22681715
Oct16,2447.45725385
Nov16,2460.53476094
Dic16,3648.08551102
Ene17,3696.51079795
Feb17,2847.4746695
Mar17,4164.76007066
Abr17,4470.360805
May17,2386.25103513
Jun17,2270.21387954
Jul17,2461.87840906
Ago17,2482.96781433
Sep17,2440.12006361
Oct17,2741.23830666
Nov17,2874.97494627
Dic17,3918.66203781
Ene18,3929.04302747
Feb18,3159.98217125
Mar18,4723.00666649
Abr18,6859.82742437
May18,2765.91162783
Jun18,2729.68020192
Jul18,2873.65790317
Ago18,2759.27967058
Sep18,2738.33048456
Oct18,2881.2706528
Nov18,2872.24234925
Dic18,3305.92079661
Ene19,4119.61405464
Feb19,3134.33280877
Mar19,5012.42293014
Abr19,6857.18371353
May19,3405.7940624
Jun19,2856.32441014
Jul19,2846.82265528
Ago19,2840.04879713
Sep19,3026.08627266
Oct19,3349.9592932
Nov19,3382.67801825
Dic19,3184.12941358
Ene20,4374.6741067
Feb20,3405.63301308
Mar20,3854.52667067
Abr20,4617.79576801
May20,4234.66725087
Jun20,1586.3009797
Jul20,2376.65860718
Ago20,2468.41939986
Sep20,2428.57976332
Oct20,2980.26093501
Nov20,2781.36742935
Dic20,3057.82783642
Ene21,4471.94626227
Feb21,3695.70754704
Mar21,5752.79692241
Abr21,8125.56388429
May21,3353.3452669
Jun21,3649.27513054
Jul21,4165.68576824
Ago21,3827.28500664
Sep21,3933.31156223
Oct21,4317.14656088
Nov21,4163.7431396
Dic21,5421.18171332
Ene22,5455.390215
Feb22,4269.62716835
Mar22,10690.65227156
Abr22,13604.51763161
May22,4678.81526039
Jun22,4406.27838489
Jul22,4218.29690787
Ago22,4219.64562692
Sep22,4366.68376822
Oct22,5011.90276358
Nov22,4264.0878449
Dic22,4735.6417138
Ene23,5886.40572243
Feb23,5171.73363116
Mar23,8904.57399687
Abr23,9694.01149325
