Fecha, "Indice Precios al por Mayor"
Ene92,22.6041802588206
Feb92,22.8906593615698
Mar92,23.6845427592328
Abr92,24.2860211725828
May92,25.5702818753975
Jun92,26.2100710157125
Jul92,26.9882044478454
Ago92,28.0741007199303
Sep92,28.9514163674281
Oct92,31.069999568591
Nov92,32.5104829024739
Dic92,33.3924809721563
Ene93,34.3625937138582
Feb93,35.2688552439517
Mar93,36.5539672962545
Abr93,38.0604302154659
May93,39.3293666274946
Jun93,40.0768514780555
Jul93,40.7638905149607
Ago93,41.6633412491494
Sep93,42.6956025034833
Oct93,43.5512087390343
Nov93,44.2531463919814
Dic93,44.7720439049847
Ene94,45.0142528343521
Feb94,45.2160226630343
Mar94,45.6846905562391
Abr94,46.1516557504677
May94,46.300641910887
Jun94,46.5841412904278
Jul94,47.0579172805613
Ago94,48.366015769043
Sep94,49.1241424882053
Oct94,49.1628788899143
Nov94,49.3463447046021
Dic94,49.4808579237236
Ene95,50.0770229596957
Feb95,50.7042103196627
Mar95,51.2832078283907
Abr95,51.8022206744476
May95,52.1031347311554
Jun95,52.3338757840071
Jul95,52.3726429329571
Ago95,52.7243724290146
Sep95,52.9792970778335
Oct95,53.2967392873641
Nov95,53.6833386932468
Dic95,53.835830410514
Ene96,54.4452406662531
Feb96,55.184557001186
Mar96,55.5195403335922
Abr96,55.794728166736
May96,56.3302899735907
Jun96,56.8821458435501
Jul96,57.4066562511683
Ago96,57.8516068936892
Sep96,58.362053001881
Oct96,59.0470543744058
Nov96,59.620586479352
Dic96,59.9472735775674
Ene97,60.1728594546274
Feb97,60.178796348205
Mar97,60.2698113764161
Abr97,60.4509031823318
May97,61.0506689416855
Jun97,61.4747222295544
Jul97,61.6585204909381
Ago97,61.7809271867995
Sep97,61.9872221794546
Oct97,62.1969353549024
Nov97,62.6972347378591
Dic97,62.9646186345827
Ene98,63.7736795182512
Feb98,64.3615577761026
Mar98,65.1109139589447
Abr98,65.3098060416058
May98,65.5408951551292
Jun98,65.7274476357416
Jul98,66.2357363352588
Ago98,66.6315536740405
Sep98,66.9328243037734
Oct98,66.9712325151558
Nov98,67.0083581986281
Dic98,67.0390840110803
Ene99,67.1247896953217
Feb99,67.8968615660806
Mar99,68.3299705792257
Abr99,68.7253396007292
May99,68.8478725631659
Jun99,68.9269092914385
Jul99,69.3138799305105
Ago99,69.3953611229302
Sep99,69.7222747443274
Oct99,70.0766771193478
Nov99,70.4268133865966
Dic99,70.712976480705
Ene00,70.7709952626526
Feb00,71.0264632833626
Mar00,71.2969433121759
Abr00,71.6169387548135
May00,71.7197173824943
Jun00,71.8362340027218
Jul00,72.2586841307031
Ago00,72.2743676689067
Sep00,72.7974437449795
Oct00,73.0419885246622
Nov00,73.3573977004594
Dic00,73.426511862136
Ene01,73.5112641627982
Feb01,73.6852609221675
Mar01,73.7279579409303
Abr01,73.6369556812493
May01,73.6808723310889
Jun01,73.5987730472317
Jul01,73.1282191373624
Ago01,72.8683407717818
Sep01,73.0126800190486
Oct01,72.5695647344993
Nov01,72.1769589174863
Dic01,71.8214433158065
Ene02,71.6925450046719
Feb02,71.3758769463908
Mar02,71.462133096151
Abr02,71.9393488683613
May02,71.9494965394135
Jun02,71.9303125323345
Jul02,72.3496991589142
Ago02,72.485917148143
Sep02,73.152334161594
Oct02,73.5326325343376
Nov02,73.3366601888875
Dic02,73.0223278257937
Ene03,72.9040798874694
Feb03,73.222727540821
Mar03,73.8272587993448
Abr03,73.6701155538612
May03,73.5656864754407
Jun03,73.3422873273837
Jul03,73.1318340500999
Ago03,73.2470236890163
Sep03,73.7375655504511
Oct03,73.8642090337557
Nov03,74.0050506495983
Dic03,74.4859636206288
Ene04,74.8923514106809
Feb04,75.8467985610826
Mar04,76.5941429910747
Abr04,77.0556780625325
May04,77.5538876627331
Jun04,78.0399874944264
Jul04,78.2062200416913
Ago04,78.0640050995026
Sep04,78.1417290337198
Oct04,78.1261930429748
Nov04,78.3995161978187
Dic04,78.1260242146327
Ene05,78.403744
Feb05,78.129461
Mar05,78.387935
Abr05,78.480362
May05,78.674412
Jun05,78.841993
Jul05,78.873225
Ago05,79.239044
Sep05,79.825639
Oct05,80.267298
Nov05,80.227014
Dic05,80.934776
Ene06,81.327659
Feb06,81.175971
Mar06,81.482787
Abr06,81.830414
May06,81.657581
Jun06,81.763951
Jul06,81.687622
Ago06,81.848829
Sep06,81.972023
Oct06,82.022421
Nov06,81.860681
Dic06,82.014668
Ene07,81.734275
Feb07,81.341103
Mar07,81.676264
Abr07,81.92504
May07,82.64451
Jun07,83.682767
Jul07,84.314495
Ago07,84.861397
Sep07,85.392806
Oct07,85.490575
Nov07,85.680582
Dic07,86.308489
Ene08,86.5468
Feb08,87.518756
Mar08,88.234389
Abr08,88.486069
May08,89.537376
Jun08,91.053295
Jul08,92.049672
Ago08,93.333704
Sep08,94.484618
Oct08,94.781253
Nov08,94.654736
Dic08,93.891712
Ene09,92.476885
Feb09,91.04532
Mar09,90.59181
Abr09,89.953482
May09,89.341132
Jun09,89.002058
Jul09,89.046927
Ago09,88.672576
Sep09,88.620061
Oct09,88.762422
Nov09,88.702522
Dic09,89.146929
Ene10,89.873999
Feb10,89.935178
Mar10,90.17055
Abr10,90.383057
May10,91.111791
Jun10,91.208873
Jul10,91.220282
Ago10,91.553394
Sep10,91.758878
Oct10,91.902109
Nov10,92.723306
Dic10,93.218581
Ene11,94.126677
Feb11,94.724743
Mar11,95.356216
Abr11,96.414997
May11,96.705141
Jun11,97.000249
Jul11,97.309443
Ago11,97.741892
Sep11,98.397795
Oct11,98.60872
Nov11,99.02183
Dic11,99.055683
Ene12,98.541925
Feb12,98.668118
Mar12,99.267855
Abr12,99.385498
May12,99.052024
Jun12,98.983909
Jul12,98.152412
Ago12,98.387716
Sep12,98.782712
Oct12,98.806767
Nov12,98.583945
