"Fecha","Ingresos Tributarios"
Ene95,1347.65591049416
Feb95,1156.4075285149
Mar95,1333.89208533151
Abr95,1522.3077303306
May95,1354.39796572991
Jun95,1259.98482331675
Jul95,1333.05208781686
Ago95,1355.72512095402
Sep95,1342.26505525281
Oct95,1391.43426925807
Nov95,1386.82362649395
Dic95,1673.73335314158
Ene96,1544.93384932628
Feb96,1347.81082653377
Mar96,1418.3653417306
Abr96,2252.40742309516
May96,1597.22725117864
Jun96,1490.94295043525
Jul96,1627.72567325623
Ago96,1572.03386877384
Sep96,1465.7391415096
Oct96,1569.84573150544
Nov96,1582.11385904225
Dic96,1786.69680732722
Ene97,1877.14088790161
Feb97,1649.70440771793
Mar97,1722.62481027987
Abr97,2281.48858194866
May97,1810.8600355981
Jun97,1922.80898221093
Jul97,1832.40550588183
Ago97,1835.14249624306
Sep97,1775.51114438113
Oct97,1803.50850291048
Nov97,1893.54885014431
Dic97,1899.58866410387
Ene98,2083.62550477529
Feb98,1801.36314680556
Mar98,1939.45508395056
Abr98,2271.82193282199
May98,1908.39132994906
Jun98,1825.66328530863
Jul98,1896.52453809955
Ago98,1966.45970471128
Sep98,1916.09271905888
Oct98,1759.47003937138
Nov98,1871.50541939712
Dic98,1903.44097573621
Ene99,1941.48289611409
Feb99,1763.57958310312
Mar99,1859.42433969742
Abr99,2058.69590166638
May99,1730.0146830628
Jun99,1707.03663415287
Jul99,1678.68180462928
Ago99,1807.9548794257
Sep99,1793.71918760262
Oct99,1777.00261846014
Nov99,1938.85230247724
Dic99,2015.38088474526
Ene00,2124.69361556982
Feb00,1781.55983457294
Mar00,1854.25363867114
Abr00,2180.55365850346
May00,1979.14403595133
Jun00,1810.84393543991
Jul00,1856.86756523477
Ago00,1898.17350838564
Sep00,1772.25736256199
Oct00,1859.07081580548
Nov00,1858.75001045285
Dic00,1936.81567364869
Ene01,2006.35664131074
Feb01,1912.61939216604
Mar01,1684.44458607186
Abr01,2255.44753989622
May01,1949.6004504108
Jun01,1766.06310419382
Jul01,1957.56489858723
Ago01,1891.24764915531
Sep01,1919.11237292033
Oct01,1906.98632703555
Nov01,2004.5094680256
Dic01,1930.34926737331
Ene02,2088.47215199527
Feb02,1607.63137013234
Mar02,1626.49739906245
Abr02,2508.57205703412
May02,1850.08238127078
Jun02,1956.18887506159
Jul02,2002.15775536275
Ago02,2067.43579240181
Sep02,2137.99347686588
Oct02,2027.43242685316
Nov02,2065.692823159
Dic02,2229.81577599569
Ene03,2219.79620297316
Feb03,1909.60059354057
Mar03,2325.79062204515
Abr03,2650.94708735247
May03,2200.6456642169
Jun03,2156.0508522554
Jul03,2176.90661827649
Ago03,2352.89034811646
Sep03,2241.05331619696
Oct03,2293.89060347273
Nov03,2432.68332060598
Dic03,2549.7379276091
Ene04,2495.78345989296
Feb04,2262.72525606181
Mar04,2539.98897097397
Abr04,2970.68895811925
May04,2650.08530954319
Jun04,2632.53729394444
Jul04,2515.38477571973
Ago04,2598.84095505353
Sep04,2610.39229646536
Oct04,2512.65792310928
Nov04,2506.29025165788
Dic04,2793.64931757317
Ene05,2854.06905433408
Feb05,2398.89300169422
Mar05,3043.35101517401
Abr05,4351.36043876745
May05,2844.56664101471
Jun05,2766.77239960962
Jul05,2546.25394203602
Ago05,2789.76343463255
Sep05,2932.19379908397
Oct05,2838.44446294091
Nov05,3038.583562638
Dic05,3152.824870325
Ene06,3854.77885275664
Feb06,2868.17617641929
Mar06,3604.94924036947
Abr06,6137.61584141597
May06,3578.6771258935
Jun06,3529.46652092188
Jul06,3783.52122951664
Ago06,3573.3813078432
Sep06,3432.2949967293
Oct06,3757.16710034466
Nov06,3795.79302022437
Dic06,3881.8122727497
Ene07,4167.6292520233
Feb07,3290.2412253292
Mar07,4000.3924453471
Abr07,7407.2591845266
May07,3879.01896683384
Jun07,4066.9938240026
Jul07,4368.3073690417
Ago07,4395.8281585571
Sep07,4124.358592506
Oct07,4406.7544578012
Nov07,4292.2276448157
Dic07,3963.0804618861
Ene08,4968.31686393074
Feb08,3907.44516863608
Mar08,4560.52677439135
Abr08,6807.07962463265
May08,4577.71564787921
Jun08,4810.56800143544
Jul08,5084.73783758325
Ago08,4741.7154907238
Sep08,4949.57074774884
Oct08,4934.73978520202
Nov08,4483.20815059096
Dic08,4478.55292354374
Ene09,4831.17505920941
Feb09,3756.79700717654
Mar09,4411.03553089075
Abr09,5883.54285914298
May09,3819.76701691066
Jun09,3923.93643202252
Jul09,3847.42876756938
Ago09,4309.28703251562
Sep09,4172.29729541806
Oct09,4421.19354217893
Nov09,4460.0756952576
Dic09,4778.5112707334
Ene10,5627.4468460062
Feb10,4339.0713227923
Mar10,5522.8755507718
Abr10,7510.4057093417
May10,4884.5435804738
Jun10,4894.2860437597
Jul10,5044.3449566916
Ago10,5347.2320719568
Sep10,5088.3651493788
Oct10,5436.833017938
Nov10,5482.4532778685
Dic10,5284.3389048954
Ene11,6499.1461714793
Feb11,5193.4945265136
Mar11,6824.3142451462
Abr11,8916.3595110695
May11,5867.645472777
Jun11,5709.1100910461
Jul11,5727.8838317429
Ago11,6120.81472596679
Sep11,6095.2839257662
Oct11,6217.4045811513
Nov11,6269.6060581923
Dic11,6104.3096861576
Ene12,7741.3692065679
Feb12,5630.1267324948
Mar12,7506.358152239
Abr12,9279.9941119109
May12,6677.081564757
Jun12,6182.0607917601
Jul12,6912.4069814626
Ago12,6546.6440463417
Sep12,6488.5997192499
Oct12,6917.4498565342
Nov12,6907.2441378161
Dic12,7290.0269603902
Ene13,8036.3174073439
Feb13,6190.01503830149
Mar13,7486.0696675406
Abr13,9003.0317281242
May13,7000.1245275125
Jun13,6522.9808875193
Jul13,7164.8100025117
Ago13,7210.0159834115
Sep13,7296.1641279134
Oct13,7506.579520493
Nov13,7657.4450275461
Dic13,8252.5014709881
Ene14,8693.9657405799
Feb14,6779.5906274753
Mar14,8768.9168488457
Abr14,9982.0493145593
May14,7169.9296865387
Jun14,6934.1438222975
Jul14,7147.7978582765
Ago14,7727.4267645208
Sep14,7613.6048796809
Oct14,7616.9095995243
Nov14,8939.3779169881
Dic14,7942.4253292827
Ene15,8447.4431983
Feb15,6802.94174490598
Mar15,8050.47689269
Abr15,8885.50193806
May15,6871.8566146
Jun15,6684.84258065
Jul15,6938.40022426
Ago15,7131.34093511096
Sep15,6851.18182129001
Oct15,7273.04494747099
Nov15,7683.48029031
Dic15,8556.24852202043
Ene16,8373.2473421
Feb16,6143.81259122
Mar16,8766.20730324398
Abr16,8897.134201618
May16,6859.31143155734
Jun16,6920.90728477057
Jul16,6043.22348607242
Ago16,7367.65011192385
Sep16,7296.47875889
Oct16,6859.63253378
Nov16,7233.11418164
Dic16,8536.81518115
Ene17,7920.37903834
Feb17,6378.07608439
Mar17,7860.03470572
Abr17,8792.04846502
May17,6655.63019350584
Jun17,6386.99790319
Jul17,6669.99392101
Ago17,7456.69551179
Sep17,7148.49132253
Oct17,7836.07150591
Nov17,7790.01818578
Dic17,9743.58504475
Ene18,9165.39000841
Feb18,7087.11889511
Mar18,9195.21345621
Abr18,12404.0693912014
May18,8194.06496575035
Jun18,8187.57715799018
Jul18,7980.7934662
Ago18,8102.5332752049
Sep18,8274.11353047
Oct18,8427.25791364
Nov18,8599.72790607
Dic18,8899.51817299
Ene19,10289.88948297
Feb19,8038.57498287
Mar19,9306.09715474999
Abr19,12978.21194507
May19,8930.83196716
Jun19,8396.30347088
Jul19,7911.60175777
Ago19,8001.15051954999
Sep19,8822.33751192
Oct19,9091.34082685
Nov19,9433.23806399
Dic19,9481.67716667
Ene20,10997.75366081
Feb20,8023.88216971713
Mar20,7779.19762699
Abr20,7758.05412544
May20,7295.33256429
Jun20,4518.25657438249
Jul20,6403.62753094996
Ago20,7076.76582338
Sep20,7196.2831934835
Oct20,8053.78188797
Nov20,8596.87104901
Dic20,9365.13114023794
Ene21,10873.06717936
Feb21,9532.07367411
Mar21,11345.11097427
Abr21,14819.87918688
May21,9919.57709435
Jun21,9787.57167793
Jul21,10330.74199557
Ago21,13977.81885046
Sep21,11347.92763506
Oct21,11214.39216629
Nov21,13018.02674664
Dic21,13695.0472135
Ene22,12795.32086065
Feb22,10647.23086265
Mar22,16482.2110038585
Abr22,20907.79346437
May22,12636.89236967
Jun22,11034.04776507
Jul22,11265.96721416
Ago22,12502.27118421
Sep22,12933.583078017
Oct22,12298.6922100137
Nov22,12206.71495131
Dic22,11975.6438965508
Ene23,13378.62045829
Feb23,11845.3996009637
Mar23,15249.70833314
Abr23,16524.8264186155
