"Fecha","Remuneracion Minima Vital 2000"
Ene91,356.897197597948
Feb91,326.165402807113
Mar91,302.845848318582
Abr91,286.135503391217
May91,265.829219493964
Jun91,243.299613116062
Jul91,223.093968089876
Ago91,208.032417985196
Sep91,197.074794074645
Oct91,189.582564110467
Nov91,182.361021868106
Dic91,175.7872208179
Ene92,169.777064300343
Feb92,307.124927917119
Mar92,285.847240808228
Abr92,277.056327011283
May92,267.848182275738
Jun92,258.573460397651
Jul92,249.884662117202
Ago92,243.015977013358
Sep92,236.812106184411
Oct92,228.498866408561
Nov92,220.686541663214
Dic92,212.506983518437
Ene93,202.685082791464
Feb93,196.908518713114
Mar93,188.905636264606
Abr93,180.897099677878
May93,175.572405770282
Jun93,172.439137312679
Jul93,167.841640529953
Ago93,163.693867577532
Sep93,161.083029412284
Oct93,158.689877768895
Nov93,156.184605579975
Dic93,152.356922238585
Ene94,149.60857720934
Feb94,146.933371960484
Mar94,143.595591734997
Abr94,259.253259481245
May94,257.41085861966
Jun94,254.507947926517
Jul94,252.263057623189
Ago94,248.454425251884
Sep94,247.181091590276
Oct94,246.474384654759
Nov94,243.501736490205
Dic94,242.080084126497
Ene95,241.182429750364
Feb95,238.472686503752
Mar95,235.245076806181
Abr95,232.951509925508
May95,231.023138122399
Jun95,229.169809794266
Jul95,227.870597259538
Ago95,225.530091822356
Sep95,224.650635075432
Oct95,223.512805480412
Nov95,220.768513593194
Dic95,219.617210861755
Ene96,216.921892802591
Feb96,213.64506695078
Mar96,210.736565005166
Abr96,208.916380174253
May96,207.407495864027
Jun96,206.446537103322
Jul96,203.648407504166
Ago96,201.783237964257
Sep96,201.131321016498
Oct96,325.21140291616
Nov96,323.696584888112
Dic96,319.840725864097
Ene97,318.309283216351
Feb97,318.026453854606
Mar97,314.025699337423
Abr97,385.561846615437
May97,433.213847178097
Jun97,428.558902406938
Jul97,425.03659954739
Ago97,424.075021698505
Sep97,486.2640621048
Oct97,485.528383229326
Nov97,485.151672897186
Dic97,482.076082868292
Ene98,477.746227601543
Feb98,471.919916858927
Mar98,465.777070264658
Abr98,462.947953807617
May98,460.216737538488
Jun98,457.78870355022
Jul98,454.931432998147
Ago98,453.731589199626
Sep98,456.185775984699
Oct98,457.718523380408
Nov98,457.579362465152
Dic98,454.759610972002
Ene99,454.695863623821
Feb99,453.268283072165
Mar99,450.510724420853
Abr99,447.86971161124
May99,445.769383031529
Jun99,444.970177066918
Jul99,443.80193358971
Ago99,443.043877871372
Sep99,441.015308254936
Oct99,441.548562771587
Nov99,440.327196546375
Dic99,438.422231489099
Ene00,438.118593293392
Feb00,436.025107159805
Mar00,491.663697450463
Abr00,512.761931613717
May00,512.676001671374
Jun00,512.346635439014
Jul00,509.714866995251
Ago00,507.340197984439
Sep00,504.534677695926
Oct00,503.363517997314
Nov00,503.042511533722
Dic00,502.267665004912
Ene01,501.326761273711
Feb01,500.099696704171
Mar01,497.572477377928
Abr01,499.652692632017
May01,499.531433423602
Jun01,499.818492742965
Jul01,498.956547991758
Ago01,500.472879734744
Sep01,500.158989563683
Oct01,499.971617464887
Nov01,502.44801250071
Dic01,502.908127577979
Ene02,505.536543750963
Feb02,505.735409595108
Mar02,503.027044991426
Abr02,499.384940455167
May02,498.692652883994
Jun02,499.828662391815
Jul02,499.657235136696
Ago02,499.153624157847
Sep02,496.801001415107
Oct02,493.259583726928
Nov02,495.237422497457
Dic02,495.398658719006
Ene03,494.25485390815
Feb03,491.94847725208
Mar03,486.510361092499
Abr03,486.757911297109
May03,486.913845986633
Jun03,489.228530161207
Jul03,489.959633659811
Ago03,489.893713735244
Sep03,516.878009767283
Oct03,546.315772321619
Nov03,545.401219012037
Dic03,542.34267322873
Ene04,539.44344822009
Feb04,533.647582153015
Mar04,531.201671834855
Abr04,531.322654402508
May04,529.449226285345
Jun04,526.480890025559
Jul04,525.466169596994
Ago04,525.516307205135
Sep04,525.428614680158
Oct04,525.553418317682
Nov04,524.049353965627
Dic04,524.098385571891
Ene05,523.574028775014
Feb05,524.805328882436
Mar05,521.415107907537
Abr05,520.796278489424
May05,520.139184270466
Jun05,518.770966170889
Jul05,518.2288402799
Ago05,519.161283660132
Sep05,519.651203334263
Oct05,518.899937547008
Nov05,518.547093719959
Dic05,516.382289888059
Ene06,558.494808237848
Feb06,555.449403002982
Mar06,552.921651831318
Abr06,550.11602056897
May06,553.035783195948
Jun06,553.769734304383
Jul06,554.71519285589
Ago06,553.943291296387
Sep06,553.791728899012
Oct06,553.549332859023
Nov06,555.115620258549
Dic06,554.972372087886
Ene07,554.920054942857
Feb07,553.483945096739
Mar07,551.55990849577
Abr07,550.578739741121
May07,547.883854496162
Jun07,545.322517915481
Jul07,542.741536428779
Ago07,541.999497718225
Sep07,538.699957117329
Oct07,569.234474790227
Nov07,568.603284394185
Dic07,566.03853583944
Ene08,586.097074086187
Feb08,580.82885037306
Mar08,574.839877307013
Abr08,573.954723571196
May08,571.84181848859
Jun08,567.474520987276
Jul08,564.339772026022
Ago08,561.026991120748
Sep08,557.862785878306
Oct08,554.463212620946
Nov08,552.755069454931
Dic08,550.771062965019
Ene09,550.189077978538
Feb09,550.600854194156
Mar09,548.624603605008
Abr09,548.5203225483
May09,548.756320625188
Jun09,550.626116957592
Jul09,549.600078007237
Ago09,550.742340092788
Sep09,551.22293217286
Oct09,550.547817099927
Nov09,551.165494554786
Dic09,549.423237462242
Ene10,547.80220113498
Feb10,546.041174185099
Mar10,544.512118280546
Abr10,544.374078980919
May10,543.082304498467
Jun10,541.723398239151
Jul10,539.758916581771
Ago10,538.313462356434
Sep10,538.485821536145
Oct10,539.250055535402
Nov10,539.20742899996
Dic10,567.605760611292
Ene11,565.398239907481
Feb11,582.667070532635
Mar11,578.602571028239
Abr11,574.689435913201
May11,574.825703745218
Jun11,574.256368390667
Jul11,569.738612755416
Ago11,606.110036170753
Sep11,637.127497745088
Oct11,635.127794863395
Nov11,632.399477924719
Dic11,630.690881496463
Ene12,631.330556083717
Feb12,629.285950071502
Mar12,624.502161910836
Abr12,621.200233210531
May12,620.956440899201
Jun12,690.204873788769
Jul12,689.581775548947
Ago12,686.093668068981
Sep12,682.390291635141
Oct12,683.506617146035
Nov12,684.447518070099
Dic12,682.680910509553
Ene13,681.893884437425
Feb13,682.488627623749
Mar13,676.361195167026
Abr13,674.658448763046
May13,673.354930609158
Jun13,671.596705855767
Jul13,667.933234320098
Ago13,664.326571888346
Sep13,663.604700200606
Oct13,663.350820617149
Nov13,664.801705827993
Dic13,663.701173130761
Ene14,661.604901056193
Feb14,657.653464553965
Mar14,654.260737402273
Abr14,651.69811674885
May14,650.234889984678
Jun14,649.201507248543
Jul14,646.400572279973
Ago14,646.954492349776
Sep14,645.917778111741
Oct14,643.479900866688
Nov14,644.44308968186
Dic14,642.971382338235
Ene15,641.878291300475
Feb15,639.936283506722
Mar15,635.080054127111
Abr15,632.609672291489
May15,629.0594780769
Jun15,626.975778320626
Jul15,624.162140346852
Ago15,621.81648613593
Sep15,621.645296338686
Oct15,620.758856513519
Nov15,618.630324417166
Dic15,615.885191708185
Ene16,613.599409890812
Feb16,612.533043503387
Mar16,608.891155299037
Abr16,608.821709679488
May16,688.554976088389
Jun16,687.595721413782
Jul16,687.034091367144
Ago16,684.581333292054
Sep16,683.170830836679
Oct16,680.358538063823
Nov16,678.390770258927
Dic16,676.131172024626
Ene17,674.526856707387
Feb17,672.354001057637
Mar17,663.695704420854
Abr17,665.412825365637
May17,668.241746530465
Jun17,669.307275474024
Jul17,667.982760355141
Ago17,663.522392772283
Sep17,663.627046596534
Oct17,666.755766154853
Nov17,668.073456452826
Dic17,667.027211877341
Ene18,666.178386646362
Feb18,664.515632171272
Mar18,661.294306533764
Abr18,724.526902046136
