"Fecha","Gastos No Financieros"
Ene95,1395.73607464145
Feb95,1350.4944744771
Mar95,1729.86362481484
Abr95,1523.6069153029
May95,1609.46217964938
Jun95,1453.44507114846
Jul95,1627.23861435379
Ago95,1498.48792754125
Sep95,1574.85222918499
Oct95,1691.81270079322
Nov95,1599.16908613662
Dic95,1727.80827012352
Ene96,1628.58762024028
Feb96,1409.32512030915
Mar96,1446.4276954081
Abr96,1853.80080217509
May96,1682.54445190911
Jun96,1548.28152682676
Jul96,1800.57757787119
Ago96,1566.15538216445
Sep96,1723.94485294572
Oct96,1775.63673518725
Nov96,1927.25953606612
Dic96,2435.04095275
Ene97,1496.09226994488
Feb97,1593.52654989924
Mar97,1934.09614482187
Abr97,1670.15918584278
May97,1747.21161913898
Jun97,1692.86620293399
Jul97,2071.67486129046
Ago97,1919.73221569578
Sep97,2063.85643614373
Oct97,2188.35498700017
Nov97,2218.87704741041
Dic97,3196.19632757989
Ene98,1711.86861029287
Feb98,1817.65162613341
Mar98,2230.78279126638
Abr98,1991.44219486374
May98,1877.62424014725
Jun98,1899.36600017664
Jul98,2169.6336471557
Ago98,2145.52428330563
Sep98,2087.04888276573
Oct98,2064.33310390016
Nov98,2013.70550688705
Dic98,3475.88608942074
Ene99,1726.77981615498
Feb99,2226.94618412921
Mar99,1988.69564196315
Abr99,2115.31996333175
May99,2186.65032314613
Jun99,2255.18264527401
Jul99,2711.22266783381
Ago99,2398.96716881199
Sep99,2466.62472205884
Oct99,2352.60654387846
Nov99,2271.27844533308
Dic99,3135.20743317115
Ene00,2071.49754364007
Feb00,2362.43334198901
Mar00,2683.18253049075
Abr00,2385.68240480393
May00,2532.07669646163
Jun00,2519.24721567183
Jul00,2745.482400236
Ago00,2407.98705340979
Sep00,2240.47956474068
Oct00,2236.99611244382
Nov00,2171.04743386737
Dic00,3004.09039559491
Ene01,1732.43963253945
Feb01,2098.15156386796
Mar01,2068.36849485268
Abr01,2594.99399552491
May01,2406.06144156094
Jun01,2378.80035507757
Jul01,2613.18635743752
Ago01,2231.94670108146
Sep01,2280.13589036874
Oct01,2295.96295396079
Nov01,2457.40719915923
Dic01,3422.56303373578
Ene02,1844.52328351003
Feb02,2143.64561002344
Mar02,2117.58449474278
Abr02,2578.95704221173
May02,2388.06717578809
Jun02,2224.93863127411
Jul02,2901.42420607861
