"Fecha","Ingresos Tributarios - IGV"
Ene95,647.834537551006
Feb95,578.482972362395
Mar95,623.005871856717
Abr95,600.129934442501
May95,654.744036626791
Jun95,627.852547124592
Jul95,638.933828689001
Ago95,663.715507554481
Sep95,635.386283260184
Oct95,661.122471795049
Nov95,677.647600219591
Dic95,646.469903660279
Ene96,731.335463812588
Feb96,608.937389233595
Mar96,662.28512715581
Abr96,706.385348462429
May96,743.969560370299
Jun96,694.803813854601
Jul96,756.565253817275
Ago96,731.673327591671
Sep96,677.198630803129
Oct96,728.628664926077
Nov96,723.854876575899
Dic96,823.823970229749
Ene97,845.217766884472
Feb97,750.229319494926
Mar97,741.715316111624
Abr97,885.576455472616
May97,857.873327357827
Jun97,865.603964473331
Jul97,877.367821415853
Ago97,893.68690392396
Sep97,873.617025602308
Oct97,896.216008390106
Nov97,921.58345220805
Dic97,948.31999983919
Ene98,990.669520624384
Feb98,857.495820110705
Mar98,920.018684331783
Abr98,894.986489176981
May98,926.973364163781
Jun98,938.23252059438
Jul98,907.127386263348
Ago98,968.637393098331
Sep98,943.159640440396
Oct98,871.534169969014
Nov98,926.613831187884
Dic98,908.595886288239
Ene99,898.233838223319
Feb99,818.811740066902
Mar99,893.325449149838
Abr99,878.5847325016
May99,853.271922512868
Jun99,894.497940008782
Jul99,860.367644787184
Ago99,916.626465888127
Sep99,951.153043686042
Oct99,936.947271295659
Nov99,1045.56926530316
Dic99,1095.22694708283
Ene00,1056.63537106406
Feb00,960.47310393598
Mar00,964.985969126388
Abr00,914.48941075362
May00,1080.46267953861
Jun00,1009.38557534299
Jul00,996.148658028493
Ago00,1038.66166388521
Sep00,969.574292452602
Oct00,992.671129593142
Nov00,1020.09218674205
Dic00,1009.81240220882
Ene01,1075.92846261865
Feb01,953.367070129517
Mar01,929.783216787983
Abr01,942.331044979449
May01,1047.95528442686
Jun01,971.797329983633
Jul01,1015.71094814935
Ago01,1011.01250340182
Sep01,925.447999884611
Oct01,969.219002550702
Nov01,994.82937771202
Dic01,977.240559780379
Ene02,1102.18195465313
Feb02,890.216478379515
Mar02,862.547354951852
Abr02,1052.4083501757
May02,988.088051138145
Jun02,984.463899409206
Jul02,1069.6408283222
Ago02,1102.59594634937
Sep02,1124.42458369673
Oct02,1103.51657700445
Nov02,1137.59148616492
Dic02,1195.77236637243
Ene03,1277.45363180536
Feb03,1035.23471483892
Mar03,1116.18944403693
Abr03,1065.97243750737
May03,1115.00643230295
Jun03,1114.11172243294
Jul03,1111.8934812137
Ago03,1226.10529160569
Sep03,1157.95344885888
Oct03,1289.60986746104
Nov03,1278.85420372239
Dic03,1327.87496604724
Ene04,1338.69196349811
Feb04,1219.1442168772
Mar04,1218.0149828665
Abr04,1321.220822503
May04,1341.35357550155
Jun04,1377.33352956399
Jul04,1371.53780089613
Ago04,1384.1158084471
Sep04,1348.05481528508
