"","Edad","Altura","Peso","Sexo","Hora.desayuno","Hora.desgaste","Tipo.de.producto","Producto.principal","Porción.producto.principal","Costo.producto.principal","Unidades.producto.principal","Tipo.producto.secundario","Producto.secundario","Porción.producto.secundario","Costo.unidad.producto.secundario","Unidades.producto.secundario","Actividad.pre.desgasto","Tiempo.pre.desgaste"
"1",20,150,50,"Femenino","06:30","09:00","Bebida","Cafe","En tamaño, como un vaso de jugo",2,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",2.5,1,"Poco",2.5
"2",18,175,70,"Masculino","09:00","12:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"3","snaks (galletas, chocolates, etc.)","Fruta","Una porción estandar (normal)",0,2,"Poco",3
"3",18,167,52,"Masculino","06:30","08:30","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,1,"Normal",2
"4",20,157,50,"Femenino","00:00","13:30","Ninguno","No desayuno","0",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción pequeña",0,1,"Poco",13.5
"5",19,160,70,"Femenino","00:00","14:00","Bebida","Jugo de fruta(s)","En tamaño, como un vaso de jugo",0,"1","No consumí producto secundario",NA,"0",0,0,"Poco",14
"6",18,165,80,"Masculino","07:00","13:00","Bebida","Quinua","En tamaño, como un vaso de jugo",0,"2","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Pan","Una porción estandar (normal)",0,2,"Poco",6
"7",24,170,58,"Masculino","00:00","11:30","Bebida","Agua","En tamaño, como un vaso de jugo",0,"2","No consumí producto secundario",NA,"0",0,0,"Normal",11.5
"8",23,158,70,"Femenino","08:00","11:00","Comida","Caldo o sopa","Un plato de sopa",0,"1","Fruta","Fruta","Una porción pequeña",0,1,"Normal",3
"9",21,175,73,"Masculino","00:00","13:00","Comida","Avena","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"2","snaks (galletas, chocolates, etc.)","Keke","Una porción estandar (normal)",0,2,"Normal",13
"10",19,154,55,"Femenino","00:00","12:31","Bebida","Quaker","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","No consumí producto secundario",NA,"Una porción pequeña",0,0,"Normal",12.5167
"11",21,182,90,"Masculino","00:00","17:00","Comida","Arroz (con alguna proteina(carne))","Un plato de sopa",0,"2","Empanadas","Empanada","Una porción estandar (normal)",2.9,2,"Poco",17
"13",19,165,68,"Masculino","08:00","13:00","Bebida","Quinua","En tamaño, una botella de los que te dan en carretilla. (de tapas naranjas*)",0,"1","pan (pan ciabatta, francés, trigo, pan con palta, pan con queso, etc.)","Fruta","Una porción pequeña",0,1,"Poco",5
