tipo_musica,horas_estudio,horas_musica,importancia,genero_relajacion,genero_motivacion,concentracion,animo,estres,momentos,beneficios
Pop,1,15,5,Pop,Pop,5,No,Sí,Siempre que puedo,No es beneficioso en absoluto
BTS,2,3,5,BTS,BTS,5,Sí,Sí,"Después de desayunar ,cuando voy a la universidad, cuando visito a mis padres, cuando paseo a mi 🐕.",Es muy beneficioso
Pop,12,6,3,Música Clásica,Electrónica,3,Sí,Sí,En casa ,Es beneficioso
Electrónica,14,0.5,5,Música electrónica,Electrónica,5,Sí,Sí,Tarde-noche,Es muy beneficioso
Pop,15,8,5,Música Clásica,Rock and Roll,4,Sí,Sí,"cuando camino, cuando estudio, antes de dormir, cuando juego",Es muy beneficioso
Pop,10,14,4,Pop,Pop,2,Sí,Sí,Todo el día,Es beneficioso
Rock indie ,28,2,5,Jazz,soundtracks  hans zimmer ,5,Sí,Sí,Cuando estoy de camino a la universidad o saliendo de clases,Es muy beneficioso
Pop,12,2,3,Música Clásica,Electrónica,2,Sí,Sí,Cuando viajo,Es moderadamente beneficioso
Electrónica,30,1,4,Pop,Pop,4,Sí,Sí,En la noche ,Es beneficioso
Pop,6,4,4,Jazz,Electrónica,4,Sí,Sí,Cuando estoy estudiando y cuando estoy en el transporte publico,Es muy beneficioso
Rock and Roll,10,1,3,Rock and Roll,Rock and Roll,1,Sí,Sí,Mañana,Es poco beneficioso
Reggae,3,3,4,Hip Hop,Rock and Roll,2,Sí,Sí,En el carro,Es moderadamente beneficioso
Jazz,7,2,2,Jazz,Rock and Roll,2,No,No,Solo cuando estoy en mis tiempos libres,Es poco beneficioso
Rock and Roll,40,2,4,Reggae,Reggae,4,Sí,Sí,Mañana,Es beneficioso
Reggaeton,10,4,3,Pop,Pop,3,Sí,Sí,Mientras estudio y mientras como,Es moderadamente beneficioso
Electrónica,11,2,2,Música Clásica,Electrónica,3,Sí,Sí,En el gimnasio,Es moderadamente beneficioso
Hip Hop,8,5,4,Pop,Rock and Roll,4,Sí,Sí,Mientras hago tareas o estudio y cocino,Es beneficioso
Electrónica,4,4,5,Música Clásica,Electrónica,4,No,Sí,3,No es beneficioso en absoluto
Reggae,10,3,4,Reggae,Clásica,4,Sí,Sí,En la noche,Es muy beneficioso
Electrónica,12,2,5,Música electrónica,Electrónica,5,No,Sí,12,Es poco beneficioso
Pop,3,1,4,Baladas,Cumbia,4,No,Sí,Cuando estoy en camino a la universidad y de regreso a casa ,Es beneficioso
Rock and Roll,1,22,5,Varias musica no sólo uno,Rock and Roll,5,Sí,Sí,Todo el dia ,Es beneficioso
Pop,3,4,5,Música Clásica,Pop,4,Sí,Sí,En mis ratos libres ,Es muy beneficioso
Electrónica,6,2,3,Música electrónica,Pop,3,Sí,Sí,Cuando estudio,Es moderadamente beneficioso
Rock and Roll,42,2,5,Rock and Roll,Rock and Roll,4,Sí,Sí,En la mañana,Es muy beneficioso
Hip Hop,8,1,2,Jazz,Hip Hop,2,No,No,Noches,Es poco beneficioso
Pop,5,3,4,Pop,Pop,4,Sí,Sí,En la tarde y en la noche ,Es beneficioso
Rock and Roll,8,8,5,Música electrónica,Electrónica,2,Sí,Sí,Cuando pueda todo el día ,Es muy beneficioso
Pop,8,3,5,Música Clásica,Pop,4,Sí,Sí,Tarde-noche,Es muy beneficioso
Pop,9,3,3,Jazz,Pop,3,Sí,Sí,estudiando,Es moderadamente beneficioso
Jazz,10,2,2,Blues,Hip Hop,2,No,No,En el metropolitano,Es poco beneficioso
Pop,7,5,3,Trova,Jazz,3,No,Sí,En la mañana ,Es moderadamente beneficioso
Pop,11,7,4,Pop,Rock and Roll,4,Sí,Sí,Transporte publico,Es beneficioso
Electrónica,5,1,2,Música electrónica,Electrónica,1,No,No,Casi nunca,Es poco beneficioso
Pop,8,2,4,Pop,Hip Hop,2,Sí,Sí,Noches ,Es muy beneficioso
Pop,30,16,5,Blues,Pop,3,Sí,Sí,Cuando hago tareas,Es muy beneficioso
