tipo_instrumento,horas_estudio,horas_instrumento,habilidad,importancia,tocar_en_vivo?,sentimiento,desempeño_academico,salud_mental,instrumento_dominante,tiempo_tocando,beneficios
Instrumento de cuerda,40,1h,3,5,No,Me siento concentrado/a y en un estado de fluidez.,No es importante en absoluto,Es muy importante,Piano,desde mi niñez,Beneficios de aprendizaje
Instrumento de cuerda,8,4,3,5,Sí,Me siento feliz y relajado/a.,Es importante,Es muy importante,Guitarra,3,Me trae paz y me ayuda a relajarme en momentos dificiles
"Instrumento de viento, Instrumento de percusión",3,0,3,5,No,Me siento concentrado/a y en un estado de fluidez.,No es importante en absoluto,Es muy importante,Cajón,11,"Me relaja, y me ayuda con mi concentración y coordinación"
Instrumento de cuerda,14,1,3,4,Sí,Me siento concentrado/a y en un estado de fluidez.,Es moderadamente importante,Es importante,Guitarra,3,Paz y creatividad
"Instrumento de cuerda, Voz",30,3,4,5,Sí,Me siento feliz y relajado/a.,Es poco importante,Es muy importante,Piano,5,"Permite estimular mi creatividad, y me permite relajarme "
Instrumento de cuerda,20,5,3,3,Sí,Me siento concentrado/a y en un estado de fluidez.,Es moderadamente importante,Es muy importante,Guitarra,10,Agilidad mental
Instrumento de cuerda,10,4,4,5,Sí,Me siento emocionado/a y lleno/a de energía.,Es poco importante,Es muy importante,Guitarra,4,"Paz, creatividad y felicidad"
Instrumento de cuerda,3,2,3,5,No,Me siento feliz y relajado/a.,Es muy importante,Es muy importante,"No domino, pero si practico tocar la guitarra.",1,Da tranquilidad y felicidad.
Instrumento de cuerda,10,2,3,5,Sí,Me siento feliz y relajado/a.,Es moderadamente importante,Es muy importante,Guitarra,3,Esta de ptmre
Instrumento de cuerda,8,1,5,5,Sí,Me siento emocionado/a y lleno/a de energía.,Es moderadamente importante,Es muy importante,Guitarra ,7,"Fomenta la creatividad, reduce el estrés y la ansiedad, mejora la función cerebral y muchos más beneficios "
Instrumento de viento,6,4,4,5,Sí,Me siento feliz y relajado/a.,Es moderadamente importante,Es importante,Clarinete soprano y clarinete bajo,9,Me hizo conocer más personas y desarrollar maa confianza en mi
Instrumento de cuerda,28,2,2,3,No,Me siento feliz y relajado/a.,No es importante en absoluto,Es importante,Ninguno,1,Relaja y mejora articulaciones.
Instrumento de viento,8,0,2,5,Sí,Me siento concentrado/a y en un estado de fluidez.,Es poco importante,Es muy importante,Flauta,2,Control y paciencia.
"Instrumento de viento, Instrumento de cuerda, Voz",4,0,2,3,Sí,Me siento concentrado/a y en un estado de fluidez.,Es poco importante,Es importante,"Piano, ukelele y trompeta",3,Ayuda en la coordinacion
Instrumento de cuerda,12,4,3,4,Sí,Me siento feliz y relajado/a.,Es importante,Es importante,Guitarra,5,Te quita el estrés
"Instrumento de cuerda, Instrumento de percusión",2,1,3,4,Sí,Me siento emocionado/a y lleno/a de energía.,Es moderadamente importante,Es moderadamente importante,Guitarra/Piano,3,"Que te puede relajar, y sientes buenas vibras en tus momentos tristes."
Voz,6,4,3,3,No,Me siento concentrado/a y en un estado de fluidez.,Es moderadamente importante,Es importante,Voz,2,Me ayuda a desarrollar la respiracion
Instrumento de viento,5,3,2,3,No,Me siento indiferente o sin emoción.,Es poco importante,Es moderadamente importante,Trompeta,1,Te ayuda a desarrollar la constancia 
"Instrumento de cuerda, Voz",10,4,3,5,Sí,Me siento feliz y relajado/a.,Es muy importante,Es muy importante,Viola,9,"Te ayuda mucho a despejarte, darte una escapada de la realidad."
Voz,8,0,3,3,No,Me siento feliz y relajado/a.,Es moderadamente importante,Es importante,Guitarra,2,Buenos
Instrumento de cuerda,82,7,3,5,No,Me siento feliz y relajado/a.,Es importante,Es muy importante,Guitarra ,2,Ayuda a liberar el estrés
"Instrumento de viento, Instrumento de cuerda",15,6,3,5,Sí,Me siento feliz y relajado/a.,Es poco importante,Es importante,Guitarra,6,Muchos
"Instrumento de cuerda, Voz",7,3,4,5,Sí,Me siento concentrado/a y en un estado de fluidez.,Es importante,Es muy importante,Voz ,3,Es una manera de conseguir paz y fluidez mental.
Instrumento de viento,10,0,4,5,No,Me siento concentrado/a y en un estado de fluidez.,Es poco importante,Es muy importante,Piano,3,La concentración 
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc), Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",6,4,3,5,Sí,Me siento emocionado/a y lleno/a de energía.,Es moderadamente importante,Es muy importante,Zampoña,10,"Te ayuda a relajarte, mantenerte en calma y sereno"
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc)",4,1,3,5,No,Me siento feliz y relajado/a.,Es muy importante,Es muy importante,Flauta dulce ,3,"Pues tiene muchos beneficios, desde fortalecer la mente como permitir un relajo de las actividades diarias "
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",16,2,3,5,Sí,Me siento feliz y relajado/a.,Es importante,Es muy importante,guitarra,6,relajacion 
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",10,1,2,3,Sí,Me siento concentrado/a y en un estado de fluidez.,Es moderadamente importante,Es moderadamente importante,órgano eléctrico ,3,Desarrollar mi nivel auditivo y creatividad al momento de tratar de componer melodías por mi propia cuenta 
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",8,14,2,4,No,Me siento feliz y relajado/a.,Es muy importante,Es muy importante,Ninguno,0,Me relaja 
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc), Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",2,1,3,3,Sí,Me siento emocionado/a y lleno/a de energía.,Es moderadamente importante,Es importante,Saxofón ,2,Relaja en momentos de estres
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",7,3,4,4,Sí,Me siento emocionado/a y lleno/a de energía.,Es importante,Es importante,Guitarra,4,Me relaja 
"Instrumento de percusión(cajón, xilófono, batería, maracas, etc)",7,4,3,4,No,Me siento feliz y relajado/a.,Es moderadamente importante,Es moderadamente importante,Bateria,2,Me desconecta de la rutina
"Instrumento de percusión(cajón, xilófono, batería, maracas, etc)",6,1,1,1,No,Me siento feliz y relajado/a.,Es poco importante,Es moderadamente importante,Piano,1,Satisfactoria 
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",20,2,3,3,No,Me siento emocionado/a y lleno/a de energía.,Es importante,Es importante,Violín,2,Relajación
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",4,2,3,5,No,Me siento emocionado/a y lleno/a de energía.,Es importante,Es muy importante,Guitarra,5,Ayuda a relajarme
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",6,1,2,3,Sí,Me siento emocionado/a y lleno/a de energía.,Es poco importante,Es moderadamente importante,Ukulele,2,Relajación
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",8,6,4,4,No,Me siento frustrado/a y con dificultades.,Es moderadamente importante,Es muy importante,0,12,0
"Instrumento de percusión(cajón, xilófono, batería, maracas, etc)",12,2,4,3,No,Me siento feliz y relajado/a.,Es moderadamente importante,Es importante,Batería,3,Te quita el estrés
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",12,2,3,4,Sí,Me siento feliz y relajado/a.,Es importante,Es importante,Guitarra,5,Te quita el estrés
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",20,1,3,4,No,Me siento concentrado/a y en un estado de fluidez.,Es poco importante,Es importante,Guitarrra,4,Realizar una actividad que te libere del estrés o la carga académica
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc), Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",5,1,3,4,Sí,Me siento feliz y relajado/a.,Es moderadamente importante,Es importante,Flauta,0,Relajación y pasar tiempo libre
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",4,5,5,5,Sí,Me siento emocionado/a y lleno/a de energía.,Es muy importante,Es muy importante,Guitarra,8,"Me relaja, hace que no piense en los problemas"
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",7,1,3,2,No,Me siento feliz y relajado/a.,Es poco importante,Es poco importante,Piano,1,Es relajado 
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",14,3,3,4,Sí,Me siento concentrado/a y en un estado de fluidez.,No es importante en absoluto,Es muy importante,Ukelele,2,Me calma  
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",20,5,2,3,No,Me siento feliz y relajado/a.,Es moderadamente importante,Es moderadamente importante,Guitarra,2,Mucho
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",30,5,3,4,No,Me siento feliz y relajado/a.,Es moderadamente importante,Es moderadamente importante,Guitarra,2,Relajación 
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc), Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",20,2,3,5,Sí,Me siento feliz y relajado/a.,Es importante,Es muy importante,Guitarra,1,Mejora el estado de ánimo
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc), Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc), Instrumento de percusión(cajón, xilófono, batería, maracas, etc)",10,0,2,5,Sí,Me siento feliz y relajado/a.,Es poco importante,Es importante,Flauta,2,Mejor movimiento en las manos
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",12,3,3,5,No,Me siento feliz y relajado/a.,Es moderadamente importante,Es muy importante,Guitarra,8,"Es anti estresante, mejora la concentración y siempre hay algo nuevo que aprender "
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc), Voz",8,1,2,5,Sí,Me siento feliz y relajado/a.,Es muy importante,Es muy importante,Guitarra,3,Hace que no esté tan deprimida y o estresada
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc)",3,0,3,3,Sí,Me siento feliz y relajado/a.,Es poco importante,Es importante,Saxofon tenor,3,Salud mental 
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc)",42,4,3,5,Sí,Me siento feliz y relajado/a.,Es moderadamente importante,Es importante,Clarinete,2,Genera un bienestar emocional en quién lo toca.
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",42,5,3,4,No,Me siento feliz y relajado/a.,Es moderadamente importante,Es muy importante,Guitarra,4,Te inspira y alza tu creatividad 
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc), Voz",8,4,3,5,Sí,Me siento concentrado/a y en un estado de fluidez.,Es poco importante,Es importante,Saxofón ,11,Descargas todo tu estrés y te dejas llevar por lo que quieres transmitir por el instrumento.
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc), Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",5,1,3,2,No,Me siento concentrado/a y en un estado de fluidez.,No es importante en absoluto,Es moderadamente importante,Guitarra,1,Me relaja
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",40,0,4,5,No,Me siento feliz y relajado/a.,Es muy importante,Es muy importante,Ninguno,0,"imaginación, creatividad, reduce el estrés, etc"
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",5,2,3,5,No,Me siento feliz y relajado/a.,Es importante,Es muy importante,guitarra electrica,1,"una capacidad de reflejos , movimento rapido "
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc), Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",6,2,2,5,Sí,Me siento concentrado/a y en un estado de fluidez.,Es importante,Es muy importante,Guitarra,3,Relajacion
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",35,1,2,4,No,Me siento concentrado/a y en un estado de fluidez.,Es moderadamente importante,Es importante,Guitarra clásica ,1,Método de relajación 
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",10,2,3,3,No,Me siento feliz y relajado/a.,Es moderadamente importante,Es moderadamente importante,Ukulele,2,Reducción del estrés
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",12,1,3,3,No,Me siento concentrado/a y en un estado de fluidez.,Es poco importante,Es moderadamente importante,Guitarra,1,Mayor concentración
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc)",12,1,4,3,No,Me siento feliz y relajado/a.,Es importante,Es importante,saxofón,2,me relaja
"Instrumento de percusión(cajón, xilófono, batería, maracas, etc)",8,0,3,4,No,Me siento feliz y relajado/a.,Es moderadamente importante,Es moderadamente importante,Cajón,1,Conocer nuevas habilidades que no he podido explorar aún 
"Instrumento de viento(flauta, saxofón, trompeta, clarinete, etc), Voz",4,10,5,5,Sí,Me siento emocionado/a y lleno/a de energía.,Es muy importante,Es muy importante,Flauta,3,Me relaja y me ayuda a desestresarme
"Instrumento de cuerda(guitarra, bajo, piano , ukulele, charango, violin, arpa, etc)",23,10,3,4,Sí,Me siento feliz y relajado/a.,Es importante,Es muy importante,Guitarra,1,Me duelen los dedos :v
