Marca temporal,¿Cuál es su edad?,Género,¿En qué ciclo te encuentras actualmente? (Escriba un número del 2 al 10),Carrera que estudias,¿Cuántas horas solías dormir?,¿Usted organizaba su tiempo cada semana?,¿Usted trabajó en el 2022-2?,¿Qué días solías trabajar durante la semana? (Seleccione ninguno si usted no trabajó durante el periodo 2022-2),¿Cuántas horas tuvo su jornada laboral al día? (ingrese 0 si no trabajo),"¿Ha llevado satisfactoriamente sus cursos de la universidad, teniendo un horario de trabajo?",Seleccione el nivel de estrés que le generó el trabajo que había desempeñado,¿Con qué frecuencia has faltado a clases por trabajar?,¿Alguna vez has faltado a algún examen o presentación de proyectos por motivos de trabajo?,"¿A cuántos cursos se ha matriculado en el 2022-2? 
",¿A cuántos cursos usualmente se matricula por ciclo?,¿Cuántas horas al día te dedicaste a estudiar? (Número entero entre 0-12),"¿Con qué frecuencia realizabas las tareas semanales de los diferentes cursos (quizzes, lecturas, informes, etc.)?",¿Con qué frecuencia asistías a las asesorías de los cursos?,¿Cuánto fue su promedio ponderado en el ciclo 2022-2? (Número con dos decimales)
25/04/2023 17:38:00,17,Femenino,3,Ingeniería Industrial,8 - 10 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,4,Frecuentemente,Casi nunca,13
25/04/2023 17:46:08,18,Masculino,3,Ingeniería Mecatrónica,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,6,A menudo,Casi nunca,14
25/04/2023 17:46:11,18,Masculino,3,Ingeniería Mecatrónica,8 - 10 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,3,Frecuentemente,A veces,14.65
25/04/2023 18:12:20,21,Masculino,6,Ingeniería Mecatrónica,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,4,5,1,A veces,A veces,11
25/04/2023 22:04:07,20,Masculino,4,Ingeniería Civil,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,7,6,A menudo,A veces,14.6
26/04/2023 0:25:37,21,Masculino,6,Ingeniería Civil,4 - 6 horas,Sí,Sí,"Sábado, Domingo",5,Sí,Moderado,A veces,No,7,7,6,A menudo,Casi nunca,17.05
26/04/2023 7:44:11,22,Masculino,6,Ingeniería Civil,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,5,7,A menudo,A veces,15
26/04/2023 8:37:51,19,Masculino,3,Ingeniería Química,8 - 10 horas,No,Sí,"Lunes, Miércoles, Viernes, Domingo",6,No,Moderado,A veces,Sí,5,6,3,A menudo,Casi nunca,12.56
26/04/2023 8:39:50,22,Femenino,4,Bioingeniería,4 - 6 horas,No,Sí,"Viernes, Sábado, Domingo",8,Sí,Moderado,A veces,No,4,6,5,A menudo,A veces,15.70
26/04/2023 8:41:10,20,Masculino,6,Ingeniería Mecatrónica,4 - 6 horas,No,Sí,"Martes, Jueves, Sábado",5,Sí,Moderado,A veces,Sí,6,7,5,Frecuentemente,Casi nunca,15.56
